variable,tipo,n_presentes,n_unicos,n_nan,pct_nan,pct_unicos_presentes
QUESTID2,int64,58633,58633,0,0.0,100.0
FILEDATE,str,58633,1,0,0.0,0.002
ANALWT2_C,float64,58633,58596,0,0.0,99.937
VESTR_C,int64,58633,50,0,0.0,0.085
VEREP,int64,58633,2,0,0.0,0.003
PDEN10,int64,58633,3,0,0.0,0.005
COUTYP4,int64,58633,3,0,0.0,0.005
MAIIN102,int64,58633,2,0,0.0,0.003
AIIND102,int64,58633,2,0,0.0,0.003
AGE3,int64,58633,11,0,0.0,0.019
SERVICE,int64,58633,6,0,0.0,0.01
MILSTAT,int64,58633,7,0,0.0,0.012
ACTDEVER,int64,58633,6,0,0.0,0.01
ACTD2001,int64,58633,7,0,0.0,0.012
ACTD9001,int64,58633,7,0,0.0,0.012
ACTD7590,int64,58633,7,0,0.0,0.012
ACTDVIET,int64,58633,7,0,0.0,0.012
ACTDPRIV,int64,58633,7,0,0.0,0.012
COMBATPY,int64,58633,7,0,0.0,0.012
NOMARR2,int64,58633,5,0,0.0,0.009
HEALTH,int64,58633,7,0,0.0,0.012
MOVSINPYR2,int64,58633,8,0,0.0,0.014
SPEAKENGL,int64,58633,8,0,0.0,0.014
LVLDIFSEE2,int64,58633,7,0,0.0,0.012
LVLDIFHEAR2,int64,58633,7,0,0.0,0.012
LVLDIFWALK2,int64,58633,7,0,0.0,0.012
LVLDIFMEM2,int64,58633,7,0,0.0,0.012
LVLDIFCARE2,int64,58633,7,0,0.0,0.012
LVLDIFCOMM2,int64,58633,7,0,0.0,0.012
IRSEX,int64,58633,2,0,0.0,0.003
IRMARIT,int64,58633,5,0,0.0,0.009
IIMARIT,int64,58633,3,0,0.0,0.005
IREDUHIGHST2,int64,58633,11,0,0.0,0.019
IIEDUHIGHST2,int64,58633,2,0,0.0,0.003
CATAGE,int64,58633,4,0,0.0,0.007
CATAG2,int64,58633,3,0,0.0,0.005
CATAG3,int64,58633,5,0,0.0,0.009
CATAG6,int64,58633,6,0,0.0,0.01
CATAG7,int64,58633,7,0,0.0,0.012
PREGAGE2,int64,58633,4,0,0.0,0.007
DRVINAGE,int64,58633,3,0,0.0,0.005
DRVINDETAG,int64,58633,4,0,0.0,0.007
SEXAGE,int64,58633,5,0,0.0,0.009
NEWRACE2,int64,58633,7,0,0.0,0.012
SEXRACE,int64,58633,7,0,0.0,0.012
EDUHIGHCAT,int64,58633,5,0,0.0,0.009
HEALTH2,float64,58599,4,34,0.058,0.007
EDUSCHLGO,int64,58633,7,0,0.0,0.012
EDUSCHGRD2,int64,58633,13,0,0.0,0.022
EDUFULPAR,int64,58633,7,0,0.0,0.012
EDUSCKMON,int64,58633,36,0,0.0,0.061
EDUSCKEST,int64,58633,10,0,0.0,0.017
EDUSCKCOM,int64,58633,35,0,0.0,0.06
EDUSKPMON,int64,58633,34,0,0.0,0.058
EDUSKPEST,int64,58633,9,0,0.0,0.015
EDUSKPCOM,int64,58633,33,0,0.0,0.056
MILTFAMLY,int64,58633,6,0,0.0,0.01
MILTSPPAR,int64,58633,7,0,0.0,0.012
MILTPARNT,int64,58633,7,0,0.0,0.012
MILTCHLDR,int64,58633,7,0,0.0,0.012
MILTSIBLN,int64,58633,7,0,0.0,0.012
ENRLCOLLFT2,int64,58633,3,0,0.0,0.005
ENRLCOLLST2,int64,58633,5,0,0.0,0.009
WRKSTATWK2,int64,58633,11,0,0.0,0.019
WRKDPSTWK,int64,58633,8,0,0.0,0.014
WRKHADJOB,int64,58633,8,0,0.0,0.014
WRKDHRSWK2,int64,58633,66,0,0.0,0.113
WRK35WKUS,int64,58633,7,0,0.0,0.012
WRKRSNNOT,int64,58633,11,0,0.0,0.019
WRKRSNJOB,int64,58633,13,0,0.0,0.022
WRKEFFORT,int64,58633,6,0,0.0,0.01
WRKDPSTYR,int64,58633,7,0,0.0,0.012
WRKSELFEM,int64,58633,8,0,0.0,0.014
WRKNUMJOB2,int64,58633,9,0,0.0,0.015
WRKNJBPYR,int64,58633,7,0,0.0,0.012
WRKNJBWKS,int64,58633,57,0,0.0,0.097
WRKLASTYR2,int64,58633,46,0,0.0,0.078
WRKSICKMO,int64,58633,36,0,0.0,0.061
WRKSKIPMO,int64,58633,35,0,0.0,0.06
IRWRKSTAT,int64,58633,5,0,0.0,0.009
IIWRKSTAT,int64,58633,3,0,0.0,0.005
II2WRKSTAT,int64,58633,4,0,0.0,0.007
IRWRKSTAT18,int64,58633,5,0,0.0,0.009
IIWRKSTAT18,int64,58633,3,0,0.0,0.005
II2WRKST18,int64,58633,4,0,0.0,0.007
EDFAM18,int64,58633,3,0,0.0,0.005
IMOTHER,int64,58633,4,0,0.0,0.007
IFATHER,int64,58633,4,0,0.0,0.007
NRCH17_2,float64,56890,4,1743,2.973,0.007
IRHHSIZ2,int64,58633,6,0,0.0,0.01
IIHHSIZ2,int64,58633,2,0,0.0,0.003
IRKI17_2,int64,58633,4,0,0.0,0.007
IIKI17_2,int64,58633,2,0,0.0,0.003
IRHH65_2,int64,58633,3,0,0.0,0.005
IIHH65_2,int64,58633,2,0,0.0,0.003
PRXRETRY,int64,58633,5,0,0.0,0.009
PRXYDATA,int64,58633,6,0,0.0,0.01
MEDICARE,int64,58633,5,0,0.0,0.009
CAIDCHIP,int64,58633,6,0,0.0,0.01
CHAMPUS,int64,58633,5,0,0.0,0.009
PRVHLTIN,int64,58633,5,0,0.0,0.009
GRPHLTIN,int64,58633,6,0,0.0,0.01
HLTINALC,int64,58633,6,0,0.0,0.01
HLTINDRG,int64,58633,6,0,0.0,0.01
HLTINMNT,int64,58633,6,0,0.0,0.01
HLTINNOS,int64,58633,6,0,0.0,0.01
HLCNOTYR,int64,58633,7,0,0.0,0.012
HLCNOTMO,int64,58633,16,0,0.0,0.027
HLCLAST,int64,58633,9,0,0.0,0.015
HLLOSRSN,int64,58633,17,0,0.0,0.029
HLNVCOST,int64,58633,6,0,0.0,0.01
HLNVOFFR,int64,58633,6,0,0.0,0.01
HLNVREF,int64,58633,6,0,0.0,0.01
HLNVNEED,int64,58633,6,0,0.0,0.01
HLNVSOR,int64,58633,6,0,0.0,0.01
