variable,tipo,n_presentes,n_unicos,n_nan,pct_nan
QUESTID2,int64,47299,47299,0,0.0
FILEDATE,str,47299,1,0,0.0
ANALWT2_C,float64,47299,47267,0,0.0
VESTR_C,int64,47299,50,0,0.0
VEREP,int64,47299,2,0,0.0
PDEN10,int64,47299,3,0,0.0
COUTYP4,int64,47299,3,0,0.0
MAIIN102,int64,47299,2,0,0.0
AIIND102,int64,47299,2,0,0.0
AGE3,int64,47299,8,0,0.0
SERVICE,int64,47299,5,0,0.0
MILSTAT,int64,47299,7,0,0.0
ACTDEVER,int64,47299,6,0,0.0
ACTD2001,int64,47299,7,0,0.0
ACTD9001,int64,47299,7,0,0.0
ACTD7590,int64,47299,7,0,0.0
ACTDVIET,int64,47299,7,0,0.0
ACTDPRIV,int64,47299,7,0,0.0
COMBATPY,int64,47299,7,0,0.0
NOMARR2,int64,47299,5,0,0.0
HEALTH,int64,47299,7,0,0.0
MOVSINPYR2,int64,47299,8,0,0.0
SPEAKENGL,int64,47299,8,0,0.0
LVLDIFSEE2,int64,47299,7,0,0.0
LVLDIFHEAR2,int64,47299,7,0,0.0
LVLDIFWALK2,int64,47299,7,0,0.0
LVLDIFMEM2,int64,47299,7,0,0.0
LVLDIFCARE2,int64,47299,7,0,0.0
LVLDIFCOMM2,int64,47299,7,0,0.0
IRSEX,int64,47299,2,0,0.0
IRMARIT,int64,47299,4,0,0.0
IIMARIT,int64,47299,2,0,0.0
IREDUHIGHST2,int64,47299,11,0,0.0
IIEDUHIGHST2,int64,47299,2,0,0.0
CATAGE,int64,47299,3,0,0.0
CATAG2,int64,47299,2,0,0.0
CATAG3,int64,47299,4,0,0.0
CATAG6,int64,47299,5,0,0.0
CATAG7,int64,47299,4,0,0.0
PREGAGE2,int64,47299,3,0,0.0
DRVINAGE,int64,47299,2,0,0.0
DRVINDETAG,int64,47299,3,0,0.0
SEXAGE,int64,47299,3,0,0.0
NEWRACE2,int64,47299,7,0,0.0
SEXRACE,int64,47299,7,0,0.0
EDUHIGHCAT,int64,47299,4,0,0.0
HEALTH2,float64,47274,4,25,0.053
EDUSCHLGO,int64,47299,7,0,0.0
EDUSCHGRD2,int64,47299,13,0,0.0
EDUFULPAR,int64,47299,7,0,0.0
EDUSCKMON,int64,47299,31,0,0.0
EDUSCKEST,int64,47299,10,0,0.0
EDUSCKCOM,int64,47299,30,0,0.0
EDUSKPMON,int64,47299,25,0,0.0
EDUSKPEST,int64,47299,9,0,0.0
EDUSKPCOM,int64,47299,25,0,0.0
MILTFAMLY,int64,47299,6,0,0.0
MILTSPPAR,int64,47299,7,0,0.0
MILTPARNT,int64,47299,7,0,0.0
MILTCHLDR,int64,47299,7,0,0.0
MILTSIBLN,int64,47299,7,0,0.0
ENRLCOLLFT2,int64,47299,3,0,0.0
ENRLCOLLST2,int64,47299,5,0,0.0
WRKSTATWK2,int64,47299,10,0,0.0
WRKDPSTWK,int64,47299,7,0,0.0
WRKHADJOB,int64,47299,8,0,0.0
WRKDHRSWK2,int64,47299,66,0,0.0
WRK35WKUS,int64,47299,7,0,0.0
WRKRSNNOT,int64,47299,11,0,0.0
WRKRSNJOB,int64,47299,13,0,0.0
WRKEFFORT,int64,47299,6,0,0.0
WRKDPSTYR,int64,47299,7,0,0.0
WRKSELFEM,int64,47299,8,0,0.0
WRKNUMJOB2,int64,47299,9,0,0.0
WRKNJBPYR,int64,47299,7,0,0.0
WRKNJBWKS,int64,47299,57,0,0.0
WRKLASTYR2,int64,47299,46,0,0.0
WRKSICKMO,int64,47299,36,0,0.0
WRKSKIPMO,int64,47299,34,0,0.0
IRWRKSTAT,int64,47299,4,0,0.0
IIWRKSTAT,int64,47299,2,0,0.0
II2WRKSTAT,int64,47299,3,0,0.0
IRWRKSTAT18,int64,47299,4,0,0.0
IIWRKSTAT18,int64,47299,2,0,0.0
II2WRKST18,int64,47299,3,0,0.0
EDFAM18,int64,47299,3,0,0.0
IMOTHER,int64,47299,1,0,0.0
IFATHER,int64,47299,1,0,0.0
NRCH17_2,float64,45600,4,1699,3.592
IRHHSIZ2,int64,47299,6,0,0.0
IIHHSIZ2,int64,47299,2,0,0.0
IRKI17_2,int64,47299,4,0,0.0
IIKI17_2,int64,47299,2,0,0.0
IRHH65_2,int64,47299,3,0,0.0
IIHH65_2,int64,47299,2,0,0.0
PRXRETRY,int64,47299,5,0,0.0
PRXYDATA,int64,47299,6,0,0.0
