variable,tipo,n_presentes,n_unicos,n_nan,pct_nan,valor_constante,motivo,modulo,notas,decision,motivo_decision
YGADSCED,float64,0,0,47299,100.0,,Variable sin datos en población adulta,YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
SCHFELT,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
TCHGJOB,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
AVGGRADE,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
STNDSCIG,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
STNDSMJ,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
STNDALC,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
STNDDNK,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
PARCHKHW,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
PARHLPHW,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
PRCHORE2,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
PRLMTELEC,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
PARLMTSN,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
PRGDJOB2,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
PRPROUD2,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
ARGUPAR,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
YOFIGHT2,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
YOGRPFT2,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
YOHGUN2,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
YOSELL2,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
YOSTOLE2,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
YOATTAK2,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
PRFLCLCIGDL,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
PRFLCLMJTRY,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
PRFLCLMJMON,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
PRFLCLALCDL,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
YFLCLCIGDL,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
YFLCLMJTRY,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
YFLCLMJMON,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
YFLCLALCDL,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
TALKPROB,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
PRBSOLV2,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
PREVIOL2,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
PRVDRGO2,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
YTHACT2,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
ANYEDUC3,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
RLGIMPT,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
RLGDCSN,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
RLGFRND,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
YGADTOTSC,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
YGADSEVSYMP,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
YGADMODOSEV,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
YUSUITHKYR,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
YUSUIPLNYR,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED YOUTH EXPERIENCES,,Eliminar,Sin datos o constante en población adulta
YMDELT,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YMDEYR,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YMDEAUD5YR,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YMIUD5YANY,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YMSUD5YANY,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YMDERSUD5ANY,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YMDESUD5ANYO,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YTXMDEYR,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YRXMDEYR,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YMDETXRX,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YDOCMDE,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOMDMDE,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YPSY1MDE,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YPSY2MDE,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YSOCMDE,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YCOUNMDE,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YOMHMDE,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
YNURSMDE,float64,0,0,47299,100.0,,Variable sin datos en población adulta,RECODED ADOLESCENT DEPRESSION,,Eliminar,Sin datos o constante en población adulta
