variable_objetivo,variable_vinculada,tipo_vinculo,nivel,modulo,rol_provisional,n_unicos,pct_nan,etiqueta_codebook,presente_eda,predictor_candidato
IRAMDEYR,AMDEYR,Variable de origen,1,ADULT DEPRESSION,Predictor candidato,2.0,3.467,ADULT: PAST YEAR MAJOR DEPRESSIVE EPISODE (MDE),True,True
IRAMDEYR,ADPB2WK,Variable de origen,2,ADULT DEPRESSION,Predictor candidato,6.0,0.0,FELT THIS 2 WKS+ W/OTH PRBS DURING PAST 12 MOS,True,True
IRAMDEYR,AMDELT,Variable de origen,2,ADULT DEPRESSION,Predictor candidato,2.0,3.281,ADULT: LIFETIME MAJOR DEPRESSIVE EPISODE (MDE),True,True
IRAMDEYR,AD38,Variable de origen,3,,,,,,False,False
IRAMDEYR,ADDPPROB,Variable de origen,3,ADULT DEPRESSION,Predictor candidato,6.0,0.0,EVER HAVE OTH PRBLMS DURING 2 WKS OR LONGER,True,True
IRAMDEYR,ADDPR2WK,Variable de origen,3,ADULT DEPRESSION,Predictor candidato,7.0,0.0,TIME WHEN [FEELFILL] LSTD EVRYDY 2 WKS OR LNGR,True,True
IRAMDEYR,ADDPREV,Variable de origen,3,ADULT DEPRESSION,Predictor candidato,6.0,0.0,SEVERAL DAYS OR LNGR WHEN FELT SAD/EMPTY/DPRSD,True,True
IRAMDEYR,ADDSCEV,Variable de origen,3,ADULT DEPRESSION,Predictor candidato,6.0,0.0,SEVERAL DAYS OR LNGR FELT DISCOURAGED ABT LIFE,True,True
IRAMDEYR,ADLOSEV,Variable de origen,3,ADULT DEPRESSION,Predictor candidato,6.0,0.0,EVER HAD PER OF TIME LST INTRST IN ENJOYABLE THGS,True,True
IRAMDEYR,ADLSI2WK,Variable de origen,3,ADULT DEPRESSION,Predictor candidato,6.0,0.0,PERIOD OF TIME LASTED EVERY DAY FOR 2 WKS /LNGR,True,True
IRAMDEYR,ADSMMDEA,Variable de origen,3,ADULT DEPRESSION,Predictor candidato,5.0,0.0,SCORE OF SYMPTOM INDICATORS 1 THRU 9,True,True
IRAMDEYR,ADWRCHR,Variable de origen,3,ADULT DEPRESSION,Predictor candidato,8.0,0.0,EMOT DISTRSS SO SEVERE NOTHING COULD CHEER YOU UP,True,True
IRAMDEYR,ADWRDST,Variable de origen,3,ADULT DEPRESSION,Predictor candidato,8.0,0.0,HOW SEVERE WAS EMOTIONAL DISTRESS DURING 2 WKS,True,True
IRAMDEYR,ADWRHRS,Variable de origen,3,ADULT DEPRESSION,Predictor candidato,9.0,0.0,TIME THAT MOST SEVERE/FREQUENT MOOD LASTED,True,True
IRAMDEYR,ADWRIMP,Variable de origen,3,ADULT DEPRESSION,Predictor candidato,8.0,0.0,EMOT DISTRSS SO SEVERE COULD NT DO DLY ACTIVITIES,True,True
IRAMDEYR,AD09,Variable de origen,4,,,,,,False,False
IRAMDEYR,AD12,Variable de origen,4,,,,,,False,False
IRAMDEYR,AD16,Variable de origen,4,,,,,,False,False
