variable,tipo,n_presentes,n_unicos,n_nan,pct_nan,modulo,notas,rol_provisional,etiqueta_codebook,ref_fuente,n_ref,documentada_codebook,tipo_version,variable_objetivo,tipo_vinculo,nivel
SUICTHNK,int64,47299,6,0,0.0,ADULT MENTAL HEALTH,,Predictor candidato,SERIOUSLY THINK ABOUT KILLING SELF PST 12 MOS,SUI01,1,True,Original u otra,IRSUICTHNK,Variable de origen,1.0
SUIPLANYR,int64,47299,6,0,0.0,ADULT MENTAL HEALTH,,Predictor candidato,ADULT MAKE PLANS TO KILL SELF PST 12 MOS,SUI02,1,True,Original u otra,IRSUIPLANYR,Variable de origen,1.0
IRSUICTHNK,float64,47299,2,0,0.0,IMPUTED ADULT MENTAL HEALTH,,Variable objetivo,ADULT SERIOUSLY THOUGHT ABOUT KILLING SELF PST YR - IMP REV,SUICTHNK,1,True,Imputada,,,
IISUICTHNK,int64,47299,2,0,0.0,IMPUTED ADULT MENTAL HEALTH,,Indicador de imputación de variable objetivo,ADULT SERIOUSLY THOUGHT ABOUT KILLING SELF PST YR - IMP IND,SUICTHNK,1,True,Imputada,,,
IRSUIPLANYR,float64,47299,2,0,0.0,IMPUTED ADULT MENTAL HEALTH,,Variable objetivo,ADULT MADE PLANS TO KILL SELF IN PST YR - IMP REV,SUIPLANYR,1,True,Imputada,,,
IISUIPLANYR,int64,47299,2,0,0.0,IMPUTED ADULT MENTAL HEALTH,,Indicador de imputación de variable objetivo,ADULT MADE PLANS TO KILL SELF IN PST YR - IMP IND,SUIPLANYR,1,True,Imputada,,,
IRSUITRYYR,float64,47299,2,0,0.0,IMPUTED ADULT MENTAL HEALTH,,Variable objetivo,ADULT ATTEMPTED TO KILL SELF IN PST YR - IMP REV,,0,True,Imputada,,,
IISUITRYYR,int64,47299,2,0,0.0,IMPUTED ADULT MENTAL HEALTH,,Indicador de imputación de variable objetivo,ADULT ATTEMPTED TO KILL SELF IN PST YR - IMP IND,,0,True,Imputada,,,
ADSUITPAYR,float64,47299,2,0,0.0,RECODED ADULT MENTAL HEALTH,,Predictor candidato,"RC-ADULT THOUGHT ABOUT, PLANNED, OR ATTEMPTED SUICIDE - PY","IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",3,True,Recodificada,IRSUICTHNK,Variable derivada,1.0
ADSUITPAYR,float64,47299,2,0,0.0,RECODED ADULT MENTAL HEALTH,,Predictor candidato,"RC-ADULT THOUGHT ABOUT, PLANNED, OR ATTEMPTED SUICIDE - PY","IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",3,True,Recodificada,IRSUIPLANYR,Variable derivada,1.0
ADSUITPAYR,float64,47299,2,0,0.0,RECODED ADULT MENTAL HEALTH,,Predictor candidato,"RC-ADULT THOUGHT ABOUT, PLANNED, OR ATTEMPTED SUICIDE - PY","IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",3,True,Recodificada,IRSUITRYYR,Variable derivada,1.0
ADSUITPACOM,float64,47299,8,0,0.0,RECODED ADULT MENTAL HEALTH,,Predictor candidato,RC-ADULT PY SUICIDE THOUGHTS/PLANS/ATTEMPTS COMBINATIONS,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",3,True,Recodificada,IRSUICTHNK,Variable derivada,1.0
ADSUITPACOM,float64,47299,8,0,0.0,RECODED ADULT MENTAL HEALTH,,Predictor candidato,RC-ADULT PY SUICIDE THOUGHTS/PLANS/ATTEMPTS COMBINATIONS,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",3,True,Recodificada,IRSUIPLANYR,Variable derivada,1.0
ADSUITPACOM,float64,47299,8,0,0.0,RECODED ADULT MENTAL HEALTH,,Predictor candidato,RC-ADULT PY SUICIDE THOUGHTS/PLANS/ATTEMPTS COMBINATIONS,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",3,True,Recodificada,IRSUITRYYR,Variable derivada,1.0
