variable,modulo,etiqueta_codebook,objetivos_afectados,tipos_vinculo,nivel_min,nivel_max,n_unicos,pct_nan,decision,motivo_decision
AMDEYR,ADULT DEPRESSION,ADULT: PAST YEAR MAJOR DEPRESSIVE EPISODE (MDE),IRAMDEYR,Variable de origen,1,1,2.0,3.467,Excluir de las variables de entrada,Variable utilizada directa o indirectamente para construir una variable objetivo
ADPB2WK,ADULT DEPRESSION,FELT THIS 2 WKS+ W/OTH PRBS DURING PAST 12 MOS,IRAMDEYR,Variable de origen,2,2,6.0,0.0,Excluir de las variables de entrada,Variable utilizada directa o indirectamente para construir una variable objetivo
AMDELT,ADULT DEPRESSION,ADULT: LIFETIME MAJOR DEPRESSIVE EPISODE (MDE),IRAMDEYR,Variable de origen,2,2,2.0,3.281,Excluir de las variables de entrada,Variable utilizada directa o indirectamente para construir una variable objetivo
ADDPPROB,ADULT DEPRESSION,EVER HAVE OTH PRBLMS DURING 2 WKS OR LONGER,IRAMDEYR,Variable de origen,3,3,6.0,0.0,Excluir de las variables de entrada,Variable utilizada directa o indirectamente para construir una variable objetivo
ADDPR2WK,ADULT DEPRESSION,TIME WHEN [FEELFILL] LSTD EVRYDY 2 WKS OR LNGR,IRAMDEYR,Variable de origen,3,3,7.0,0.0,Excluir de las variables de entrada,Variable utilizada directa o indirectamente para construir una variable objetivo
ADDPREV,ADULT DEPRESSION,SEVERAL DAYS OR LNGR WHEN FELT SAD/EMPTY/DPRSD,IRAMDEYR,Variable de origen,3,3,6.0,0.0,Excluir de las variables de entrada,Variable utilizada directa o indirectamente para construir una variable objetivo
ADDSCEV,ADULT DEPRESSION,SEVERAL DAYS OR LNGR FELT DISCOURAGED ABT LIFE,IRAMDEYR,Variable de origen,3,3,6.0,0.0,Excluir de las variables de entrada,Variable utilizada directa o indirectamente para construir una variable objetivo
ADLOSEV,ADULT DEPRESSION,EVER HAD PER OF TIME LST INTRST IN ENJOYABLE THGS,IRAMDEYR,Variable de origen,3,3,6.0,0.0,Excluir de las variables de entrada,Variable utilizada directa o indirectamente para construir una variable objetivo
ADLSI2WK,ADULT DEPRESSION,PERIOD OF TIME LASTED EVERY DAY FOR 2 WKS /LNGR,IRAMDEYR,Variable de origen,3,3,6.0,0.0,Excluir de las variables de entrada,Variable utilizada directa o indirectamente para construir una variable objetivo
ADSMMDEA,ADULT DEPRESSION,SCORE OF SYMPTOM INDICATORS 1 THRU 9,IRAMDEYR,Variable de origen,3,3,5.0,0.0,Excluir de las variables de entrada,Variable utilizada directa o indirectamente para construir una variable objetivo
ADWRCHR,ADULT DEPRESSION,EMOT DISTRSS SO SEVERE NOTHING COULD CHEER YOU UP,IRAMDEYR,Variable de origen,3,3,8.0,0.0,Excluir de las variables de entrada,Variable utilizada directa o indirectamente para construir una variable objetivo
ADWRDST,ADULT DEPRESSION,HOW SEVERE WAS EMOTIONAL DISTRESS DURING 2 WKS,IRAMDEYR,Variable de origen,3,3,8.0,0.0,Excluir de las variables de entrada,Variable utilizada directa o indirectamente para construir una variable objetivo
ADWRHRS,ADULT DEPRESSION,TIME THAT MOST SEVERE/FREQUENT MOOD LASTED,IRAMDEYR,Variable de origen,3,3,9.0,0.0,Excluir de las variables de entrada,Variable utilizada directa o indirectamente para construir una variable objetivo
