variable,tipo,n_presentes,n_unicos,n_nan,pct_nan,modulo,notas,rol_provisional,etiqueta_codebook,ref_fuente,n_ref,documentada_codebook,tipo_version
QUESTID2,int64,47299,47299,0,0.0,IDENTIFICATION,,Identificador,RESPONDENT IDENTIFICATION,,0,True,Original u otra
ANALWT2_C,float64,47299,47267,0,0.0,SAMPLE WEIGHTING AND ESTIMATION VARS,,Diseño muestral,FIN PRSN-LEVEL SMPLE WGHT 2,,0,True,Original u otra
VESTR_C,int64,47299,50,0,0.0,SAMPLE WEIGHTING AND ESTIMATION VARS,,Diseño muestral,VARIANCE STRATUM,,0,True,Original u otra
VEREP,int64,47299,2,0,0.0,SAMPLE WEIGHTING AND ESTIMATION VARS,,Diseño muestral,VARIANCE PRIMARY SAMPLING UNIT,,0,True,Original u otra
PDEN10,int64,47299,3,0,0.0,COUNTY,,Predictor candidato,POPULATION DENSITY 2010 - THREE LEVELS,,0,True,Original u otra
COUTYP4,int64,47299,3,0,0.0,COUNTY,,Predictor candidato,COUNTY METRO/NONMETRO STATUS (2013 3-LEVEL),,0,True,Original u otra
MAIIN102,int64,47299,2,0,0.0,SEGMENT,,Predictor candidato,MAJORITY AMER INDIAN AREA INDICATOR FOR SEGMENT,,0,True,Original u otra
AIIND102,int64,47299,2,0,0.0,BLOCK,,Predictor candidato,AMER INDIAN AREA INDICATOR,,0,True,Original u otra
AGE3,int64,47299,8,0,0.0,DEMOGRAPHICS,,Predictor demográfico y selección de población adulta,RECODE - FINAL EDITED AGE,,0,True,Original u otra
SERVICE,int64,47299,5,0,0.0,DEMOGRAPHICS,,Predictor candidato,EVER BEEN IN THE US ARMED FORCES,QD09,1,True,Original u otra
MILSTAT,int64,47299,7,0,0.0,DEMOGRAPHICS,,Predictor candidato,CURRENT MILITARY STATUS,QD10,1,True,Original u otra
ACTDEVER,int64,47299,6,0,0.0,DEMOGRAPHICS,,Predictor candidato,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,QD10A,1,True,Original u otra
ACTD2001,int64,47299,7,0,0.0,DEMOGRAPHICS,,Predictor candidato,SEPTEMBER 2001 OR LATER,QD10B1,1,True,Original u otra
ACTD9001,int64,47299,7,0,0.0,DEMOGRAPHICS,,Predictor candidato,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),QD10B2,1,True,Original u otra
ACTD7590,int64,47299,7,0,0.0,DEMOGRAPHICS,,Predictor candidato,MAY 1975 TO JULY 1990,QD10B3,1,True,Original u otra
ACTDVIET,int64,47299,7,0,0.0,DEMOGRAPHICS,,Predictor candidato,VIETNAM ERA (MARCH 1961 TO APRIL 1975),QD10B4,1,True,Original u otra
ACTDPRIV,int64,47299,7,0,0.0,DEMOGRAPHICS,,Predictor candidato,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),"QD10B5, QD10B6, QD10B7, QD10B8, QD10B9",5,True,Original u otra
COMBATPY,int64,47299,7,0,0.0,DEMOGRAPHICS,,Predictor candidato,EVER IN COMBAT ZONE ON ACTIVE DUTY,QD10C,1,True,Original u otra
NOMARR2,int64,47299,5,0,0.0,DEMOGRAPHICS,,Predictor candidato,NUMBER OF TIMES MARRIED,QD08,1,True,Original u otra
HEALTH,int64,47299,7,0,0.0,DEMOGRAPHICS,,Predictor candidato,OVERALL HEALTH,QD12,1,True,Original u otra
MOVSINPYR2,int64,47299,8,0,0.0,DEMOGRAPHICS,,Predictor candidato,# TIMES MOVED PAST 12 MONTHS- RECODED,QD13,1,True,Original u otra
SPEAKENGL,int64,47299,8,0,0.0,DEMOGRAPHICS,,Predictor candidato,HOW WELL SPEAK ENGLISH,QD55,1,True,Original u otra
LVLDIFSEE2,int64,47299,7,0,0.0,DEMOGRAPHICS,,Predictor candidato,LEVEL OF DIFFICULTY SEEING EVEN WITH GLASSES,SEE,1,True,Original u otra
LVLDIFHEAR2,int64,47299,7,0,0.0,DEMOGRAPHICS,,Predictor candidato,LEVEL OF DIFFICULTY HEARING EVEN WITH HEARING AIDS,HEAR,1,True,Original u otra
LVLDIFWALK2,int64,47299,7,0,0.0,DEMOGRAPHICS,,Predictor candidato,LEVEL OF DIFFICULTY WALKING OR CLIMBING STEPS,WALK,1,True,Original u otra
LVLDIFMEM2,int64,47299,7,0,0.0,DEMOGRAPHICS,,Predictor candidato,LEVEL OF DIFFICULTY REMEMBERING OR CONCENTRATING,MEM,1,True,Original u otra
LVLDIFCARE2,int64,47299,7,0,0.0,DEMOGRAPHICS,,Predictor candidato,LEVEL OF DIFFICULTY WITH SELF-CARE,CARE,1,True,Original u otra
LVLDIFCOMM2,int64,47299,7,0,0.0,DEMOGRAPHICS,,Predictor candidato,LEVEL OF DIFFICULTY COMMUNICATING USING YOUR USUAL LANGUAGE,COMM,1,True,Original u otra
IRSEX,int64,47299,2,0,0.0,IMPUTED DEMOGRAPHICS,,Predictor candidato,RESPONDENT SEX - IMPUTATION REVISED,"CONFGI, GICC02, QD01",3,True,Imputada
IRMARIT,int64,47299,4,0,0.0,IMPUTED DEMOGRAPHICS,,Predictor candidato,IMPUTATION REVISED MARITAL STATUS,,0,True,Imputada
IIMARIT,int64,47299,2,0,0.0,IMPUTED DEMOGRAPHICS,,Predictor candidato,IMPUTATION INDICATOR MARITAL STATUS,,0,True,Imputada
IREDUHIGHST2,int64,47299,11,0,0.0,IMPUTED DEMOGRAPHICS,,Predictor candidato,EDUCATION - RECODED IMPUTATION REVISED,,0,True,Imputada
IIEDUHIGHST2,int64,47299,2,0,0.0,IMPUTED DEMOGRAPHICS,,Predictor candidato,EDUCATION INDICATOR - IMPUTATION INDICATOR,,0,True,Imputada
CATAGE,int64,47299,3,0,0.0,RECODED DEMOGRAPHICS,,Predictor candidato,RC-AGE CATEGORY,AGE3,1,True,Recodificada
CATAG2,int64,47299,2,0,0.0,RECODED DEMOGRAPHICS,,Predictor candidato,RC-AGE CATEGORY RECODE (3 LEVELS),AGE3,1,True,Recodificada
CATAG3,int64,47299,4,0,0.0,RECODED DEMOGRAPHICS,,Predictor candidato,RC-AGE CATEGORY RECODE (5 LEVELS),AGE3,1,True,Recodificada
CATAG6,int64,47299,5,0,0.0,RECODED DEMOGRAPHICS,,Predictor candidato,RC-AGE CATEGORY RECODE (6 LEVELS),AGE3,1,True,Recodificada
CATAG7,int64,47299,4,0,0.0,RECODED DEMOGRAPHICS,,Predictor candidato,RC-AGE CATEGORY RECODE (7 LEVELS),AGE3,1,True,Recodificada
PREGAGE2,int64,47299,3,0,0.0,RECODED DEMOGRAPHICS,,Predictor candidato,RC-PREGNANCY AGE CATEGORY RECODE,AGE3,1,True,Recodificada
DRVINAGE,int64,47299,2,0,0.0,RECODED DEMOGRAPHICS,,Predictor candidato,RC-DUI AGE CATEGORY RECODE,AGE3,1,True,Recodificada
DRVINDETAG,int64,47299,3,0,0.0,RECODED DEMOGRAPHICS,,Predictor candidato,RC-DUI DETAILED AGE CATEGORY RECODE,AGE3,1,True,Recodificada
SEXAGE,int64,47299,3,0,0.0,RECODED DEMOGRAPHICS,,Predictor candidato,RC-COMBINED SEX BY AGE CATEGORY INDICATOR,"CATAGE, IRSEX",2,True,Recodificada
NEWRACE2,int64,47299,7,0,0.0,RECODED DEMOGRAPHICS,,Predictor candidato,RC-RACE/HISPANICITY RECODE (7 LEVELS),,0,True,Recodificada
SEXRACE,int64,47299,7,0,0.0,RECODED DEMOGRAPHICS,,Predictor candidato,RC-COMBINED SEX BY RACE INDICATOR,"IRSEX, NEWRACE2",2,True,Recodificada
EDUHIGHCAT,int64,47299,4,0,0.0,RECODED DEMOGRAPHICS,,Predictor candidato,RC-EDUCATION CATEGORIES,IREDUHIGHST2,1,True,Recodificada
HEALTH2,float64,47274,4,25,0.053,RECODED DEMOGRAPHICS,,Predictor candidato,RC-OVERALL HEALTH RECODE,HEALTH,1,True,Recodificada
EDUSCHLGO,int64,47299,7,0,0.0,EDUCATION,,Predictor candidato,NOW GOING TO SCHOOL,"QD17, QD17A, QD17B",3,True,Original u otra
EDUSCHGRD2,int64,47299,13,0,0.0,EDUCATION,,Predictor candidato,WHAT GRADE IN NOW/WILL BE IN,QD18,1,True,Original u otra
