variable,modulo,rol_provisional,n_unicos,pct_nan,uso_provisional,motivo_uso
QUESTID2,IDENTIFICATION,Identificador,47299,0.0,Excluir de variables de entrada,Identificador único del registro
ANALWT2_C,SAMPLE WEIGHTING AND ESTIMATION VARS,Diseño muestral,47267,0.0,Uso auxiliar,Variable del diseño muestral
VESTR_C,SAMPLE WEIGHTING AND ESTIMATION VARS,Diseño muestral,50,0.0,Uso auxiliar,Variable del diseño muestral
VEREP,SAMPLE WEIGHTING AND ESTIMATION VARS,Diseño muestral,2,0.0,Uso auxiliar,Variable del diseño muestral
PDEN10,COUNTY,Predictor candidato,3,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
COUTYP4,COUNTY,Predictor candidato,3,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
MAIIN102,SEGMENT,Predictor candidato,2,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
AIIND102,BLOCK,Predictor candidato,2,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
AGE3,DEMOGRAPHICS,Predictor demográfico y selección de población adulta,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SERVICE,DEMOGRAPHICS,Predictor candidato,5,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
MILSTAT,DEMOGRAPHICS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
ACTDEVER,DEMOGRAPHICS,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
ACTD2001,DEMOGRAPHICS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
ACTD9001,DEMOGRAPHICS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
ACTD7590,DEMOGRAPHICS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
ACTDVIET,DEMOGRAPHICS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
ACTDPRIV,DEMOGRAPHICS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
COMBATPY,DEMOGRAPHICS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
NOMARR2,DEMOGRAPHICS,Predictor candidato,5,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
HEALTH,DEMOGRAPHICS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
MOVSINPYR2,DEMOGRAPHICS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SPEAKENGL,DEMOGRAPHICS,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
LVLDIFSEE2,DEMOGRAPHICS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
LVLDIFHEAR2,DEMOGRAPHICS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
LVLDIFWALK2,DEMOGRAPHICS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
LVLDIFMEM2,DEMOGRAPHICS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
LVLDIFCARE2,DEMOGRAPHICS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
