variable,etiqueta_codebook,modulo,tipo_version,codigo_doc,etiqueta_codigo,tipo_codigo_doc,codigo_especial,frecuencia_codebook,pct_codebook,frecuencia_adultos,pct_adultos,presente_adultos
AALTMDE,RC-ADULT: SAW/TALK TO ALT SERV PROF ABT DEPRS FEELINGS IN PY,RECODED ADULT DEPRESSION,Recodificada,.,Aged 12-17/Unknown (Otherwise),Salto legítimo o no aplicable,True,49351,84.17,38017,80.376,True
AALTMDE,RC-ADULT: SAW/TALK TO ALT SERV PROF ABT DEPRS FEELINGS IN PY,RECODED ADULT DEPRESSION,Recodificada,0,No (See comment above),Categoría analítica,False,8727,14.88,8727,18.451,True
AALTMDE,RC-ADULT: SAW/TALK TO ALT SERV PROF ABT DEPRS FEELINGS IN PY,RECODED ADULT DEPRESSION,Recodificada,1,Yes (See comment above),Categoría analítica,False,555,0.95,555,1.173,True
ACOUNMDE,RC-ADULT: SAW/TALK TO COUNSELOR ABT DEPRESSVE FEELINGS IN PY,RECODED ADULT DEPRESSION,Recodificada,.,Aged 12-17/Unknown/Legitimate Skip (Otherwise),Salto legítimo o no aplicable,True,49351,84.17,38017,80.376,True
ACOUNMDE,RC-ADULT: SAW/TALK TO COUNSELOR ABT DEPRESSVE FEELINGS IN PY,RECODED ADULT DEPRESSION,Recodificada,0,No (ADSEEDOC=2 or ADCOUNS=6),Categoría analítica,False,7688,13.11,7688,16.254,True
ACOUNMDE,RC-ADULT: SAW/TALK TO COUNSELOR ABT DEPRESSVE FEELINGS IN PY,RECODED ADULT DEPRESSION,Recodificada,1,"Yes (ADCOUNS=1,3)",Categoría analítica,False,1594,2.72,1594,3.37,True
ACTD2001,SEPTEMBER 2001 OR LATER,DEMOGRAPHICS,Original u otra,1,Yes,Categoría analítica,False,800,1.36,800,1.691,True
ACTD2001,SEPTEMBER 2001 OR LATER,DEMOGRAPHICS,Original u otra,2,No (not entered),Categoría analítica,False,973,1.66,973,2.057,True
ACTD2001,SEPTEMBER 2001 OR LATER,DEMOGRAPHICS,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,22,0.04,22,0.047,True
ACTD2001,SEPTEMBER 2001 OR LATER,DEMOGRAPHICS,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,1,0.00,1,0.002,True
ACTD2001,SEPTEMBER 2001 OR LATER,DEMOGRAPHICS,Original u otra,97,REFUSED,No respuesta o ausencia,True,5,0.01,5,0.011,True
ACTD2001,SEPTEMBER 2001 OR LATER,DEMOGRAPHICS,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,6,0.01,6,0.013,True
ACTD2001,SEPTEMBER 2001 OR LATER,DEMOGRAPHICS,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,56826,96.92,45492,96.18,True
ACTD7590,MAY 1975 TO JULY 1990,DEMOGRAPHICS,Original u otra,1,Yes,Categoría analítica,False,431,0.74,431,0.911,True
ACTD7590,MAY 1975 TO JULY 1990,DEMOGRAPHICS,Original u otra,2,No (not entered),Categoría analítica,False,1340,2.29,1340,2.833,True
ACTD7590,MAY 1975 TO JULY 1990,DEMOGRAPHICS,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,26,0.04,26,0.055,True
ACTD7590,MAY 1975 TO JULY 1990,DEMOGRAPHICS,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,1,0.00,1,0.002,True
ACTD7590,MAY 1975 TO JULY 1990,DEMOGRAPHICS,Original u otra,97,REFUSED,No respuesta o ausencia,True,5,0.01,5,0.011,True
ACTD7590,MAY 1975 TO JULY 1990,DEMOGRAPHICS,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,4,0.01,4,0.008,True
ACTD7590,MAY 1975 TO JULY 1990,DEMOGRAPHICS,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,56826,96.92,45492,96.18,True
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),DEMOGRAPHICS,Original u otra,1,Yes,Categoría analítica,False,416,0.71,416,0.88,True
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),DEMOGRAPHICS,Original u otra,2,No (not entered),Categoría analítica,False,1357,2.31,1357,2.869,True
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),DEMOGRAPHICS,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,21,0.04,21,0.044,True
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),DEMOGRAPHICS,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,1,0.00,1,0.002,True
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),DEMOGRAPHICS,Original u otra,97,REFUSED,No respuesta o ausencia,True,5,0.01,5,0.011,True
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),DEMOGRAPHICS,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,7,0.01,7,0.015,True
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),DEMOGRAPHICS,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,56826,96.92,45492,96.18,True
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,DEMOGRAPHICS,Original u otra,1,Yes,Categoría analítica,False,1783,3.04,1783,3.77,True
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,DEMOGRAPHICS,Original u otra,2,No,Categoría analítica,False,573,0.98,571,1.207,True
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,DEMOGRAPHICS,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,21,0.04,21,0.044,True
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,DEMOGRAPHICS,Original u otra,97,REFUSED,No respuesta o ausencia,True,2,0.00,2,0.004,True
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,DEMOGRAPHICS,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1,0.00,1,0.002,True
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,DEMOGRAPHICS,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,56253,95.94,44921,94.972,True
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,1,Yes,Categoría analítica,False,73,0.12,73,0.154,True
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,2,No (not entered),Categoría analítica,False,1698,2.90,1698,3.59,True
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,25,0.04,25,0.053,True
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,1,0.00,1,0.002,True
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,97,REFUSED,No respuesta o ausencia,True,5,0.01,5,0.011,True
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,5,0.01,5,0.011,True
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,56826,96.92,45492,96.18,True
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,1,Yes,Categoría analítica,False,487,0.83,487,1.03,True
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,2,No (not entered),Categoría analítica,False,1286,2.19,1286,2.719,True
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,21,0.04,21,0.044,True
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,1,0.00,1,0.002,True
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,97,REFUSED,No respuesta o ausencia,True,5,0.01,5,0.011,True
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,7,0.01,7,0.015,True
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,56826,96.92,45492,96.18,True
ADCOUNS,COUNSELOR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,1,Response entered,Categoría analítica,False,1589,2.71,1589,3.359,True
ADCOUNS,COUNSELOR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,3,Response entered LOGICALLY ASSIGNED,Asignación lógica,True,5,0.01,5,0.011,True
