variable,n_nan_adultos,pct_nan_adultos,codigo_nan_doc,etiqueta_nan_doc,interpretacion_nan
HEALTH2,25,0.053,.,Unknown (Otherwise),Salto legítimo o no aplicable
NRCH17_2,1699,3.592,.,Missing,No respuesta o ausencia
POVERTY3,136,0.288,.,Persons Aged 18-22 in a College Dorm (See comment above),Ausencia documental
DRVINALCO2,523,1.106,.,Unknown (Otherwise),Salto legítimo o no aplicable
DRVINMARJ2,316,0.668,.,Unknown (Otherwise),Salto legítimo o no aplicable
DRVINDRG,680,1.438,.,Unknown (Otherwise),Salto legítimo o no aplicable
DRVINDROTMJ,487,1.03,.,Unknown (Otherwise),Salto legítimo o no aplicable
DRVINALDRG,984,2.08,.,Unknown (Otherwise),Salto legítimo o no aplicable
PAROL,641,1.355,.,Unknown Parole/Supervised Rel Status (Otherwise),Salto legítimo o no aplicable
PROB,638,1.349,.,Unknown Probation Status (Otherwise),Salto legítimo o no aplicable
NDSSDEPND,130,0.275,.,Unknown (Otherwise),Salto legítimo o no aplicable
FTNDDEPND,249,0.526,.,Unknown (Otherwise),Salto legítimo o no aplicable
PMNICDEP,250,0.529,.,Unknown (Otherwise),Salto legítimo o no aplicable
UADPEOP,100,0.211,.,Unknown (Otherwise),Salto legítimo o no aplicable
UADCAR,46015,97.285,.,Unknown/No PM Use/Aged 21+ (Otherwise),Salto legítimo o no aplicable
UADHOME,46015,97.285,.,Unknown/No PM Use/Aged 21+ (Otherwise),Salto legítimo o no aplicable
UADOTHM,46015,97.285,.,Unknown/No PM Use/Aged 21+ (Otherwise),Salto legítimo o no aplicable
UADPUBL,46015,97.285,.,Unknown/No PM Use/Aged 21+ (Otherwise),Salto legítimo o no aplicable
UADBAR,46015,97.285,.,Unknown/No PM Use/Aged 21+ (Otherwise),Salto legítimo o no aplicable
UADEVNT,46015,97.285,.,Unknown/No PM Use/Aged 21+ (Otherwise),Salto legítimo o no aplicable
UADSCHL,46015,97.285,.,Unknown/No PM Use/Aged 21+ (Otherwise),Salto legítimo o no aplicable
UADROTH,46031,97.319,.,Unknown/No PM Use/Aged 21+ (See comment above),No respuesta o ausencia
UADOTSP2,125,0.264,.,"Unknown (CADROTS2=70,85,94,97,98)",No respuesta o ausencia
UADPAID,108,0.228,.,Unknown (Otherwise),Salto legítimo o no aplicable
UADMONY,112,0.237,.,Unknown (Otherwise),Salto legítimo o no aplicable
UADBWHO,112,0.237,.,Unknown (Otherwise),Salto legítimo o no aplicable
UADPLACE,115,0.243,.,Unknown (Otherwise),Salto legítimo o no aplicable
UADBUND,112,0.237,.,Unknown (Otherwise),Salto legítimo o no aplicable
UADCAG,119,0.252,.,Unknown (Otherwise),Salto legítimo o no aplicable
UADFWHO,151,0.319,.,Unknown (See comment above),No respuesta o ausencia
UADFRD,151,0.319,.,Unknown (See comment above),No respuesta o ausencia
CADRKMARJ2,356,0.753,.,Unknown (Otherwise),Salto legítimo o no aplicable
CADRKCOCN2,47,0.099,.,Unknown (Otherwise),Salto legítimo o no aplicable
CADRKHERN2,13,0.027,.,Unknown (Otherwise),Salto legítimo o no aplicable
CADRKHALL2,135,0.285,.,Unknown (Otherwise),Salto legítimo o no aplicable
CADRKINHL2,49,0.104,.,Unknown (Otherwise),Salto legítimo o no aplicable
CADRKMETH2,26,0.055,.,Unknown (Otherwise),Salto legítimo o no aplicable
FENTANYYR2,91,0.192,.,Missing,No respuesta o ausencia
FENTNMYR,19,0.04,.,Missing,No respuesta o ausencia
TRBZOANYYR,136,0.288,.,Missing,No respuesta o ausencia
TRBZONMYR,137,0.29,.,Missing,No respuesta o ausencia
SVBZOANYYR,223,0.471,.,Missing,No respuesta o ausencia
SVBZONMYR,219,0.463,.,Missing,No respuesta o ausencia
BZOANYYR,48,0.101,.,Missing,No respuesta o ausencia
BZONMYR,8,0.017,.,Missing,No respuesta o ausencia
PEYOTEEVER,13,0.027,.,Unknown (Otherwise),Salto legítimo o no aplicable
MESCEVER,20,0.042,.,Unknown (Otherwise),Salto legítimo o no aplicable
AMYLNIEVER2,15,0.032,.,Unknown (Otherwise),Salto legítimo o no aplicable
CLEFLUEVER2,5,0.011,.,Unknown (Otherwise),Salto legítimo o no aplicable
GASEVER2,2,0.004,.,Unknown (Otherwise),Salto legítimo o no aplicable
GLUEEVER2,3,0.006,.,Unknown (Otherwise),Salto legítimo o no aplicable
ETHEREVER2,7,0.015,.,Unknown (Otherwise),Salto legítimo o no aplicable
SOLVENEVER2,6,0.013,.,Unknown (Otherwise),Salto legítimo o no aplicable
LGASEVER2,4,0.008,.,Unknown (Otherwise),Salto legítimo o no aplicable
NITOXIEVER2,11,0.023,.,Unknown (Otherwise),Salto legítimo o no aplicable
FLTMRKEVER2,7,0.015,.,Unknown (Otherwise),Salto legítimo o no aplicable
SPAINTEVER2,4,0.008,.,Unknown (Otherwise),Salto legítimo o no aplicable
AIRDUSEVER2,3,0.006,.,Unknown (Otherwise),Salto legítimo o no aplicable
OTHAEREVER2,6,0.013,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXHYDCANY2,79,0.167,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXZOHYANY2,80,0.169,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXOXCOANY2,84,0.178,.,Unknown (Otherwise),Salto legítimo o no aplicable
RXTRAMANY2,95,0.201,.,Unknown (Otherwise),Salto legítimo o no aplicable
