variable,etiqueta_codebook,modulo,tipo_version,n_informativos,pct_valores_informativos,es_tecnica,es_residual,es_sensibilidad,decision_funcional
OTDGNDLA,OTHER DRUG INJECTED - SPECIFY 1,SPECIAL DRUGS,Original u otra,359,0.759,False,True,False,Excluir: campo residual de respuesta abierta
OTDGNDLB,OTHER DRUG INJECTED - SPECIFY 2,SPECIAL DRUGS,Original u otra,131,0.277,False,True,False,Excluir: campo residual de respuesta abierta
OTDGNDLC,OTHER DRUG INJECTED - SPECIFY 3,SPECIAL DRUGS,Original u otra,64,0.135,False,True,False,Excluir: campo residual de respuesta abierta
OTDGNDLD,OTHER DRUG INJECTED - SPECIFY 4,SPECIAL DRUGS,Original u otra,24,0.051,False,True,False,Excluir: campo residual de respuesta abierta
OTDGNDLE,OTHER DRUG INJECTED - SPECIFY 5,SPECIAL DRUGS,Original u otra,12,0.025,False,True,False,Excluir: campo residual de respuesta abierta
BKOTHOF2,OTHER OFFENSE PAST 12 MONTHS - SPECIFY,SPECIAL TOPICS,Original u otra,238,0.503,False,True,False,Excluir: campo residual de respuesta abierta
IIALCAGE,ALCOHOL AGE OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,39167,82.807,True,False,False,Excluir: variable técnica o de control
IIALCYFU,ALCOHOL YEAR OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,39167,82.807,True,False,False,Excluir: variable técnica o de control
IICD2YFU,DAILY CIGARETTE YEAR OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,12349,26.108,True,False,False,Excluir: variable técnica o de control
IICDUAGE,DAILY CIGARETTE AGE OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,12349,26.108,True,False,False,Excluir: variable técnica o de control
IICGRAGE,CIGAR AGE OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,14427,30.502,True,False,False,Excluir: variable técnica o de control
IICGRYFU,CIGAR YEAR OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,14427,30.502,True,False,False,Excluir: variable técnica o de control
IICIGAGE,CIGARETTE AGE OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,24211,51.187,True,False,False,Excluir: variable técnica o de control
IICIGYFU,CIGARETTE YEAR OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,24219,51.204,True,False,False,Excluir: variable técnica o de control
IICOCAGE,COCAINE AGE OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,6585,13.922,True,False,False,Excluir: variable técnica o de control
IICOCYFU,COCAINE YEAR OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,6688,14.14,True,False,False,Excluir: variable técnica o de control
IICRKAGE,CRACK AGE OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,1624,3.433,True,False,False,Excluir: variable técnica o de control
IICRKYFU,CRACK YEAR OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,1624,3.433,True,False,False,Excluir: variable técnica o de control
IIECSTMOAGE,ECSTASY AGE OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,4505,9.525,True,False,False,Excluir: variable técnica o de control
IIECSTMOYFU,ECSTASY YEAR OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,4505,9.525,True,False,False,Excluir: variable técnica o de control
IIHALLUCAGE,HALLUCINOGEN AGE OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,9334,19.734,True,False,False,Excluir: variable técnica o de control
IIHALLUCYFU,HALLUCINOGEN YEAR OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,9462,20.005,True,False,False,Excluir: variable técnica o de control
IIHERAGE,HEROIN AGE OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,1188,2.512,True,False,False,Excluir: variable técnica o de control
IIHERYFU,HEROIN YEAR OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,1188,2.512,True,False,False,Excluir: variable técnica o de control
IIINHALAGE2,INHALANTS AGE OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,5325,11.258,True,False,False,Excluir: variable técnica o de control
IIINHALYFU2,INHALANTS YEAR OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,5325,11.258,True,False,False,Excluir: variable técnica o de control
IILSDAGE,LSD AGE OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,5173,10.937,True,False,False,Excluir: variable técnica o de control
IILSDYFU,LSD YEAR OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,5173,10.937,True,False,False,Excluir: variable técnica o de control
IIMETHAMAGE,METHAMPHETAMINE AGE OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,2628,5.556,True,False,False,Excluir: variable técnica o de control
IIMETHAMYFU,METHAMPHETAMINE YEAR OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,2628,5.556,True,False,False,Excluir: variable técnica o de control
IIMJAGE,MARIJUANA AGE OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,24932,52.711,True,False,False,Excluir: variable técnica o de control
IIMJYFU,MARIJUANA YEAR OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,24932,52.711,True,False,False,Excluir: variable técnica o de control
IINICVAPAGE,NICOTINE VAPING AGE OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,16262,34.381,True,False,False,Excluir: variable técnica o de control
IINICVAPYFU,NICOTINE VAPING YEAR OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,16262,34.381,True,False,False,Excluir: variable técnica o de control
IIPCPAGE,PCP AGE OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,823,1.74,True,False,False,Excluir: variable técnica o de control
IIPCPYFU,PCP YEAR OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,823,1.74,True,False,False,Excluir: variable técnica o de control
IIPNRNMAGE,PAIN RELIEVER AGE OF FIRST MISUSE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,434,0.918,True,False,False,Excluir: variable técnica o de control
IIPNRNMINIT,PAST YR INITIATE PAIN RELIEVER MISUSE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,True,False,False,Excluir: variable técnica o de control
IIPNRNMYFU,PAIN RELIEVER YEAR OF FIRST MISUSE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,434,0.918,True,False,False,Excluir: variable técnica o de control
IISEDNMAGE,SEDATIVES AGE OF FIRST MISUSE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,281,0.594,True,False,False,Excluir: variable técnica o de control
IISEDNMINIT,PAST YR INITIATE SEDATIVE MISUSE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,True,False,False,Excluir: variable técnica o de control
IISEDNMYFU,SEDATIVES YEAR OF FIRST MISUSE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,281,0.594,True,False,False,Excluir: variable técnica o de control
IISMKLSSTRY,SMOKELESS TOBACCO AGE OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,6623,14.002,True,False,False,Excluir: variable técnica o de control
IISMKLSSYFU,SMOKELESS TOBACCO YEAR OF FIRST USE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,6623,14.002,True,False,False,Excluir: variable técnica o de control
IISTMNMAGE,STIMULANTS AGE OF FIRST MISUSE - IMPUTATION INDICATOR,AGE/DATE OF FIRST DRUG USE,Original u otra,357,0.755,True,False,False,Excluir: variable técnica o de control
