variable,etiqueta_codebook,modulo,tipo_version,n_informativos,pct_valores_informativos,es_tecnica,es_residual,es_sensibilidad,decision_funcional
ADCOUNS,COUNSELOR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,4482,9.476,False,False,False,Conservar como predictor principal
ADDPDISC,FEEL DISCRGD ABOUT LIFE WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,16012,33.853,False,False,False,Conservar como predictor principal
ADDPLSIN,EVER LOSE INT IN THINGS WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,16015,33.859,False,False,False,Conservar como predictor principal
ADDSLSIN,EVER LOSE INT IN THNGS WHEN FEELING DISCOURGAGED,ADULT DEPRESSION,Original u otra,2761,5.837,False,False,False,Conservar como predictor principal
ADFAMDOC,GEN/FAM DOC TALKED W/ABT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,4487,9.486,False,False,False,Conservar como predictor principal
ADHERBAL,HERBALIST TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,4486,9.484,False,False,False,Conservar como predictor principal
ADNURSE,NURSE ETC.TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,4476,9.463,False,False,False,Conservar como predictor principal
ADOTHDOC,OTH DR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,4485,9.482,False,False,False,Conservar como predictor principal
ADOTHHLP,OTH HELP PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,4487,9.486,False,False,False,Conservar como predictor principal
ADOTHMHP,MENTAL PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,4486,9.484,False,False,False,Conservar como predictor principal
ADPBAGE,AGE WHEN FIRST 2+ WK PERIOD OF TIME STARTED,ADULT DEPRESSION,Original u otra,9060,19.155,False,False,False,Conservar como predictor principal
ADPBDLYA,WHEN PRBLMS WORST UNABLE TO CARRY OUT DLY ACTVTS,ADULT DEPRESSION,Original u otra,9096,19.231,False,False,False,Conservar como predictor principal
ADPBINTF,WHEN PRBLMS WORST INTERFERE WITH WORK/ PRSNL LIFE,ADULT DEPRESSION,Original u otra,9308,19.679,False,False,False,Conservar como predictor principal
ADPBNUM,# TIMES FELT THIS WAY FOR 2 WKS/LNGR DURING LIFE,ADULT DEPRESSION,Original u otra,8776,18.554,False,False,False,Conservar como predictor principal
ADPBRMBR,RMBR AGE WHEN FIRST 2+ WK PERIOD OF TIME STARTED,ADULT DEPRESSION,Original u otra,9260,19.578,False,False,False,Conservar como predictor principal
ADPSDAYS,# DYS UNABLE TO WORK/CARRY OUT DLY ACT PST 12 MOS,ADULT DEPRESSION,Original u otra,4876,10.309,False,False,False,Conservar como predictor principal
ADPSHMGT,HOW MUCH DID FEELINGS INTERFERE WITH HOME MNGMT,ADULT DEPRESSION,Original u otra,5016,10.605,False,False,False,Conservar como predictor principal
ADPSRELS,HOW MUCH DID FEELING INTERFERE WITH RELATIONSHIPS,ADULT DEPRESSION,Original u otra,5024,10.622,False,False,False,Conservar como predictor principal
ADPSSOC,HOW MUCH DID FEELINGS INTERFERE WITH SOCIAL LIFE,ADULT DEPRESSION,Original u otra,5026,10.626,False,False,False,Conservar como predictor principal
ADPSWORK,HOW MUCH DID FEELING INTERFERE WITH ABLTY TO WORK,ADULT DEPRESSION,Original u otra,5010,10.592,False,False,False,Conservar como predictor principal
ADPSYCH,PSYCHOLOGIST TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,4486,9.484,False,False,False,Conservar como predictor principal
ADPSYMD,PSYCHIATRIST TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,4487,9.486,False,False,False,Conservar como predictor principal
ADRELIG,RELIGIOUS ADVSR TLKED W/ABOUT FEELINGS PST 12 MOS,ADULT DEPRESSION,Original u otra,4481,9.474,False,False,False,Conservar como predictor principal
ADRX12MO,TAKE PRES MEDS PRESCRIBED FOR MOOD PAST 12 MONTHS,ADULT DEPRESSION,Original u otra,9292,19.645,False,False,False,Conservar como predictor principal
ADRXHLP,HOW MUCH HAS PRESC MEDS FOR MOOD HELPED PST 12 MO,ADULT DEPRESSION,Original u otra,3833,8.104,False,False,False,Conservar como predictor principal
ADRXNOW,CURRENTLY TAKING PRESC MEDS PRESCRIBED FOR MOOD,ADULT DEPRESSION,Original u otra,3846,8.131,False,False,False,Conservar como predictor principal
ADSEEDOC,SEE/TALK TO DR/OTH PROF ABT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,9292,19.645,False,False,False,Conservar como predictor principal
ADSOCWRK,SOCIAL WORKER TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,4487,9.486,False,False,False,Conservar como predictor principal
ADTMTHLP,HOW MUCH HAS TRMT/COUNSLG HELPED PST 12 MOS,ADULT DEPRESSION,Original u otra,4451,9.41,False,False,False,Conservar como predictor principal
ADTMTNOW,CURRENTLY RCVNG PROF TREATMENT/COUNSLG FOR MOOD,ADULT DEPRESSION,Original u otra,4494,9.501,False,False,False,Conservar como predictor principal
ADWRAGE,AGE WHEN WORST PERIOD OF TIME STARTED,ADULT DEPRESSION,Original u otra,10226,21.62,False,False,False,Conservar como predictor principal
ADWRCONC,WHEN PRBLMS WORST HAVE TROUBLE CONCENTRATING,ADULT DEPRESSION,Original u otra,9816,20.753,False,False,False,Conservar como predictor principal
ADWRDCSN,WHEN PRBLMS WORST UNABLE TO MAKE DECISIONS,ADULT DEPRESSION,Original u otra,9797,20.713,False,False,False,Conservar como predictor principal
ADWRDEPR,WHEN PRBLMS WORST FELT SAD/EMPTY/DPRSD EVERY DAY,ADULT DEPRESSION,Original u otra,10383,21.952,False,False,False,Conservar como predictor principal
ADWRDIET,WHEN PRBLMS WORST LOSE WGHT W/O TRYING BC SICK/DT,ADULT DEPRESSION,Original u otra,4691,9.918,False,False,False,Conservar como predictor principal
ADWRDISC,WHEN PRBLMS WORST FELT DISCRGED ABT LIFE EVERYDAY,ADULT DEPRESSION,Original u otra,10381,21.948,False,False,False,Conservar como predictor principal
ADWRELES,WHEN PRBLMS WORST HAVE SMALLER APPETITE EVERY DAY,ADULT DEPRESSION,Original u otra,9813,20.747,False,False,False,Conservar como predictor principal
ADWREMOR,WHEN PRBLMS WORST HAVE LARGER APPETITE EVERY DAY,ADULT DEPRESSION,Original u otra,3668,7.755,False,False,False,Conservar como predictor principal
ADWRENRG,WHEN PRBLMS WORST FEEL TIRED/LOW ON ENERGY EVRYDY,ADULT DEPRESSION,Original u otra,9857,20.84,False,False,False,Conservar como predictor principal
ADWRGAIN,WHEN PRBLMS WORST DID YOU GAIN WEIGHT W/O TRYING,ADULT DEPRESSION,Original u otra,3664,7.746,False,False,False,Conservar como predictor principal
ADWRGNL2,WHEN PRBLMS WORST # LBS GAINED WITHOUT TRYING,ADULT DEPRESSION,Original u otra,1700,3.594,False,False,False,Conservar como predictor principal
ADWRGROW,WHEN PRBLMS WORST GAIN WGHT W/O TRYING BC GROWING,ADULT DEPRESSION,Original u otra,831,1.757,False,False,False,Conservar como predictor principal
ADWRJINO,WHEN PRBLMS WORST PEOP NOTICE YOU WERE RSTLSS,ADULT DEPRESSION,Original u otra,1143,2.417,False,False,False,Conservar como predictor principal
ADWRJITT,WHEN PRBLMS WORST RSTLSS/JITTRY/PACING EVERYDAY,ADULT DEPRESSION,Original u otra,4795,10.138,False,False,False,Conservar como predictor principal
