modulo,variables,decision_modulo,justificacion
ADULT DEPRESSION,70,Sensibilidad: salud mental próxima a variables objetivo,Temporalidad contemporánea y proximidad conceptual con los resultados
ADULT MENTAL HEALTH,41,Sensibilidad: salud mental próxima a variables objetivo,Temporalidad contemporánea y proximidad conceptual con los resultados
AGE/DATE OF FIRST DRUG USE,44,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
ALCOHOL,14,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
BLOCK,1,Excluir: contexto técnico o de entrevista,"Información geográfica, auxiliar o propia de la entrevista"
BLUNTS,11,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
COCAINE,12,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
CONSUMPTION OF ALCOHOL,31,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
COUNTY,2,Excluir: contexto técnico o de entrevista,"Información geográfica, auxiliar o propia de la entrevista"
CRACK,12,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
DEMOGRAPHICS,20,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
EDUCATION,14,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
EMERGING ISSUES,14,Revisión específica: módulo mixto,Contenido heterogéneo pendiente de revisión documental
EMPLOYMENT,16,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HALLUCINOGENS,43,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
HEALTH,64,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HEALTH INSURANCE,18,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HEROIN,12,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
HOUSEHOLD COMPOSITION (ROSTER),2,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
IMPUTED ADULT DEPRESSION,2,Sensibilidad: salud mental próxima a variables objetivo,Temporalidad contemporánea y proximidad conceptual con los resultados
IMPUTED ADULT MENTAL HEALTH,33,Sensibilidad: salud mental próxima a variables objetivo,Temporalidad contemporánea y proximidad conceptual con los resultados
IMPUTED DEMOGRAPHICS,3,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
IMPUTED EMERGING ISSUES,5,Revisión específica: módulo mixto,Contenido heterogéneo pendiente de revisión documental
IMPUTED EMPLOYMENT,2,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
IMPUTED HEALTH INSURANCE,5,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
IMPUTED HOUSEHOLD COMPOSITION (ROSTER),3,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
IMPUTED INCOME,8,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
IMPUTED NICOTINE DEPENDENCE,1,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
IMPUTED SPECIAL DRUGS,3,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
IMPUTED SUBSTANCE USE DISORDER,30,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
INCOME,2,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
INHALANTS,25,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
INTERVIEW INFORMATION,2,Excluir: contexto técnico o de entrevista,"Información geográfica, auxiliar o propia de la entrevista"
MARIJUANA,33,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
MARKET INFORMATION FOR MARIJUANA,22,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
METHAMPHETAMINE,12,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
NICOTINE,37,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
NICOTINE DEPENDENCE,23,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
PAIN RELIEVERS,33,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
PAIN RELIEVERS SCREENER,4,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
PAST MONTH FREQUENCY OF USE,17,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
PAST YEAR FREQUENCY OF USE,8,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
PRIOR SUBSTANCE USE,49,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
PROXY INFORMATION,2,Excluir: contexto técnico o de entrevista,"Información geográfica, auxiliar o propia de la entrevista"
RECENCY OF DRUG USE,54,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
RECODED ADULT DEPRESSION,15,Sensibilidad: salud mental próxima a variables objetivo,Temporalidad contemporánea y proximidad conceptual con los resultados
RECODED ADULT MENTAL HEALTH,11,Sensibilidad: salud mental próxima a variables objetivo,Temporalidad contemporánea y proximidad conceptual con los resultados
RECODED CONSUMPTION OF ALCOHOL,24,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
RECODED DEMOGRAPHICS,13,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
RECODED DRUG USE,327,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
RECODED EDUCATION,2,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
RECODED EMERGING ISSUES,29,Revisión específica: módulo mixto,Contenido heterogéneo pendiente de revisión documental
RECODED HEALTH,3,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
RECODED HEALTH INSURANCE,4,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
RECODED INCOME,3,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
RECODED RISK/AVAILABILITY,17,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
