variable,etiqueta_codebook,modulo,tipo_version,n_informativos,pct_valores_informativos,es_tecnica,es_residual,es_sensibilidad,decision_funcional,decision_modulo,justificacion
AIIND102,AMER INDIAN AREA INDICATOR,BLOCK,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: contexto técnico o de entrevista,"Información geográfica, auxiliar o propia de la entrevista"
COUTYP4,COUNTY METRO/NONMETRO STATUS (2013 3-LEVEL),COUNTY,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: contexto técnico o de entrevista,"Información geográfica, auxiliar o propia de la entrevista"
PDEN10,POPULATION DENSITY 2010 - THREE LEVELS,COUNTY,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: contexto técnico o de entrevista,"Información geográfica, auxiliar o propia de la entrevista"
GQTYPE2,TYPE OF GROUP QUARTER,INTERVIEW INFORMATION,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: contexto técnico o de entrevista,"Información geográfica, auxiliar o propia de la entrevista"
LANGVER,LANGUAGE VERSION,INTERVIEW INFORMATION,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: contexto técnico o de entrevista,"Información geográfica, auxiliar o propia de la entrevista"
PRXRETRY,"SELECTED PROXY UNAVAILABLE, OTHER PROXY AVAILABLE?",PROXY INFORMATION,Original u otra,747,1.579,False,False,False,Conservar como predictor principal,Excluir: contexto técnico o de entrevista,"Información geográfica, auxiliar o propia de la entrevista"
PRXYDATA,IS PROXY ANSWERING INSURANCE/INCOME QS,PROXY INFORMATION,Original u otra,4521,9.558,False,False,False,Conservar como predictor principal,Excluir: contexto técnico o de entrevista,"Información geográfica, auxiliar o propia de la entrevista"
MAIIN102,MAJORITY AMER INDIAN AREA INDICATOR FOR SEGMENT,SEGMENT,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: contexto técnico o de entrevista,"Información geográfica, auxiliar o propia de la entrevista"
IRALCAGE,ALCOHOL AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRALCYFU,ALCOHOL YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRCD2YFU,DAILY CIGARETTE YFU - USING CIGDLYFU - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRCDUAGE,DAILY CIGARETTE AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRCGRAGE,CIGAR AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRCGRYFU,CIGAR YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRCIGAGE,CIGARETTE AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRCIGYFU,CIGARETTE YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRCOCAGE,COCAINE AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRCOCYFU,COCAINE YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRCRKAGE,CRACK AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRCRKYFU,CRACK YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRECSTMOAGE,ECSTASY AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRECSTMOYFU,ECSTASY YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRHALLUCAGE,HALLUCINOGEN AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRHALLUCYFU,HALLUCINOGEN YEAR OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
IRHERAGE,HEROIN AGE OF FIRST USE - IMPUTATION REVISED,AGE/DATE OF FIRST DRUG USE,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Excluir: detalle sustituido por versiones resumidas,"Sustituido por variables recodificadas, imputadas o resumidas"
