variable,etiqueta_codebook,modulo,tipo_version,n_informativos,pct_valores_informativos,es_tecnica,es_residual,es_sensibilidad,decision_funcional,decision_modulo,justificacion
ACTD2001,SEPTEMBER 2001 OR LATER,DEMOGRAPHICS,Original u otra,1773,3.748,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
ACTD7590,MAY 1975 TO JULY 1990,DEMOGRAPHICS,Original u otra,1771,3.744,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),DEMOGRAPHICS,Original u otra,1773,3.748,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,DEMOGRAPHICS,Original u otra,2354,4.977,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,1771,3.744,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,1773,3.748,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
AGE3,RECODE - FINAL EDITED AGE,DEMOGRAPHICS,Original u otra,47299,100.0,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
COMBATPY,EVER IN COMBAT ZONE ON ACTIVE DUTY,DEMOGRAPHICS,Original u otra,1771,3.744,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
HEALTH,OVERALL HEALTH,DEMOGRAPHICS,Original u otra,47274,99.947,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
LVLDIFCARE2,LEVEL OF DIFFICULTY WITH SELF-CARE,DEMOGRAPHICS,Original u otra,45724,96.67,False,False,False,Conservar como predictor principal,Conservar como predictor principal,"Dominio contextual, antecedente o versión analítica resumida"
