variable,etiqueta_codebook,modulo,tipo_version,pct_valores_informativos,rol_final_eda
PDEN10,POPULATION DENSITY 2010 - THREE LEVELS,COUNTY,Original u otra,100.0,Excluir de variables de entrada
COUTYP4,COUNTY METRO/NONMETRO STATUS (2013 3-LEVEL),COUNTY,Original u otra,100.0,Excluir de variables de entrada
MAIIN102,MAJORITY AMER INDIAN AREA INDICATOR FOR SEGMENT,SEGMENT,Original u otra,100.0,Excluir de variables de entrada
AIIND102,AMER INDIAN AREA INDICATOR,BLOCK,Original u otra,100.0,Excluir de variables de entrada
AGE3,RECODE - FINAL EDITED AGE,DEMOGRAPHICS,Original u otra,100.0,Predictor principal
SERVICE,EVER BEEN IN THE US ARMED FORCES,DEMOGRAPHICS,Original u otra,99.947,Predictor principal
MILSTAT,CURRENT MILITARY STATUS,DEMOGRAPHICS,Original u otra,4.968,Predictor principal
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,DEMOGRAPHICS,Original u otra,4.977,Predictor principal
ACTD2001,SEPTEMBER 2001 OR LATER,DEMOGRAPHICS,Original u otra,3.748,Predictor principal
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),DEMOGRAPHICS,Original u otra,3.748,Predictor principal
ACTD7590,MAY 1975 TO JULY 1990,DEMOGRAPHICS,Original u otra,3.744,Predictor principal
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,3.748,Predictor principal
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,3.744,Predictor principal
COMBATPY,EVER IN COMBAT ZONE ON ACTIVE DUTY,DEMOGRAPHICS,Original u otra,3.744,Predictor principal
NOMARR2,NUMBER OF TIMES MARRIED,DEMOGRAPHICS,Original u otra,52.54,Predictor principal
HEALTH,OVERALL HEALTH,DEMOGRAPHICS,Original u otra,99.947,Predictor principal
MOVSINPYR2,# TIMES MOVED PAST 12 MONTHS- RECODED,DEMOGRAPHICS,Original u otra,96.087,Predictor principal
SPEAKENGL,HOW WELL SPEAK ENGLISH,DEMOGRAPHICS,Original u otra,96.767,Predictor principal
