variable,etiqueta_codebook,modulo,tipo_version,pct_valores_informativos,rol_final_eda
ACTD2001,SEPTEMBER 2001 OR LATER,DEMOGRAPHICS,Original u otra,3.748,Predictor principal
ACTD7590,MAY 1975 TO JULY 1990,DEMOGRAPHICS,Original u otra,3.744,Predictor principal
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),DEMOGRAPHICS,Original u otra,3.748,Predictor principal
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,DEMOGRAPHICS,Original u otra,4.977,Predictor principal
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,3.744,Predictor principal
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,3.748,Predictor principal
AGE3,RECODE - FINAL EDITED AGE,DEMOGRAPHICS,Original u otra,100.0,Predictor principal
COMBATPY,EVER IN COMBAT ZONE ON ACTIVE DUTY,DEMOGRAPHICS,Original u otra,3.744,Predictor principal
HEALTH,OVERALL HEALTH,DEMOGRAPHICS,Original u otra,99.947,Predictor principal
LVLDIFCARE2,LEVEL OF DIFFICULTY WITH SELF-CARE,DEMOGRAPHICS,Original u otra,96.67,Predictor principal
LVLDIFCOMM2,LEVEL OF DIFFICULTY COMMUNICATING USING YOUR USUAL LANGUAGE,DEMOGRAPHICS,Original u otra,96.666,Predictor principal
LVLDIFHEAR2,LEVEL OF DIFFICULTY HEARING EVEN WITH HEARING AIDS,DEMOGRAPHICS,Original u otra,96.564,Predictor principal
LVLDIFMEM2,LEVEL OF DIFFICULTY REMEMBERING OR CONCENTRATING,DEMOGRAPHICS,Original u otra,96.668,Predictor principal
LVLDIFSEE2,LEVEL OF DIFFICULTY SEEING EVEN WITH GLASSES,DEMOGRAPHICS,Original u otra,96.638,Predictor principal
LVLDIFWALK2,LEVEL OF DIFFICULTY WALKING OR CLIMBING STEPS,DEMOGRAPHICS,Original u otra,96.676,Predictor principal
MILSTAT,CURRENT MILITARY STATUS,DEMOGRAPHICS,Original u otra,4.968,Predictor principal
MOVSINPYR2,# TIMES MOVED PAST 12 MONTHS- RECODED,DEMOGRAPHICS,Original u otra,96.087,Predictor principal
NOMARR2,NUMBER OF TIMES MARRIED,DEMOGRAPHICS,Original u otra,52.54,Predictor principal
SERVICE,EVER BEEN IN THE US ARMED FORCES,DEMOGRAPHICS,Original u otra,99.947,Predictor principal
SPEAKENGL,HOW WELL SPEAK ENGLISH,DEMOGRAPHICS,Original u otra,96.767,Predictor principal
EDUFULPAR,FULL OR PART TIME,EDUCATION,Original u otra,14.317,Predictor principal
EDUSCHGRD2,WHAT GRADE IN NOW/WILL BE IN,EDUCATION,Original u otra,13.768,Predictor principal
EDUSCHLGO,NOW GOING TO SCHOOL,EDUCATION,Original u otra,95.939,Predictor principal
EDUSCKCOM,RC - HOW MANY DAYS MISSED SCHOOL FROM SICK (COMBINED),EDUCATION,Original u otra,9.899,Predictor principal
EDUSCKEST,BEST ESTIMATE # DAYS MISSED BECAUSE SICK OR INURED,EDUCATION,Original u otra,0.08,Predictor principal
EDUSCKMON,HOW MANY DAYS MISSED SCHOOL FROM SICK,EDUCATION,Original u otra,9.818,Predictor principal
EDUSKPCOM,RC - HOW MANY DAYS MISSED SCHOOL FROM SKIPPING (COMBINED),EDUCATION,Original u otra,8.852,Predictor principal
EDUSKPEST,BEST ESTIMATE # DAYS MISSED BECAUSE SKIPPED OR CUT,EDUCATION,Original u otra,0.061,Predictor principal
EDUSKPMON,HOW MANY DAYS MISSED SCHOOL FROM SKIPPING,EDUCATION,Original u otra,8.791,Predictor principal
MILTCHLDR,SON OR DAUGHTER IN MILITARY,EDUCATION,Original u otra,6.061,Predictor principal
MILTFAMLY,ANY IMMEDIATE FAMILY CURRENTLY IN US MILITARY,EDUCATION,Original u otra,95.896,Predictor principal
MILTPARNT,FATHER OR MOTHER IN MILITARY,EDUCATION,Original u otra,6.078,Predictor principal
MILTSIBLN,SISTER OR BROTHER IN MILITARY,EDUCATION,Original u otra,6.099,Predictor principal
MILTSPPAR,SPOUSE OR PARTNER IN MILITARY,EDUCATION,Original u otra,6.099,Predictor principal
CAMHPROB,THINK EVER HAD PROBLEM WITH OWN MENTAL HEALTH,EMERGING ISSUES,Original u otra,96.698,Predictor principal
CAMHRCVR,THINK IN RECOVERY FROM MENTAL HEALTH PROBLEM,EMERGING ISSUES,Original u otra,30.692,Predictor principal
CASUPROB,THINK EVER HAD PROBLEM WITH OWN DRUG OR ALCOHOL USE,EMERGING ISSUES,Original u otra,96.649,Predictor principal
CASURCVR,THINK IN RECOVERY FROM DRUG OR ALCOHOL PROBLEM,EMERGING ISSUES,Original u otra,11.909,Predictor principal
FLVVAPEVR,EVER VAPED ONLY FLAVORING WITHOUT NICOTINE/SUBSTANCE,EMERGING ISSUES,Original u otra,96.799,Predictor principal
