variable,modulo,tipo_version,tipo_variable,n_unicos,n_nan,pct_nan,pct_dominante,n_ausencia_documental,tipos_ausencia,pct_ausencia_documental
ACTD2001,DEMOGRAPHICS,Original u otra,Categórica con pocas categorías,7,0,0.0,96.18,12,No respuesta o ausencia,0.025
ACTD7590,DEMOGRAPHICS,Original u otra,Categórica con pocas categorías,7,0,0.0,96.18,10,No respuesta o ausencia,0.021
ACTD9001,DEMOGRAPHICS,Original u otra,Categórica con pocas categorías,7,0,0.0,96.18,13,No respuesta o ausencia,0.027
ACTDEVER,DEMOGRAPHICS,Original u otra,Categórica con pocas categorías,6,0,0.0,94.972,3,No respuesta o ausencia,0.006
ACTDPRIV,DEMOGRAPHICS,Original u otra,Categórica con pocas categorías,7,0,0.0,96.18,11,No respuesta o ausencia,0.023
ACTDVIET,DEMOGRAPHICS,Original u otra,Categórica con pocas categorías,7,0,0.0,96.18,13,No respuesta o ausencia,0.027
AGE3,DEMOGRAPHICS,Original u otra,Categórica con pocas categorías,8,0,0.0,27.157,0,Sin ausencia documental observada,0.0
AIRDUSEVER2,RECODED DRUG USE,Recodificada,Binaria,2,3,0.006,98.617,0,Sin ausencia documental observada,0.0
ALCAGLST,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,101,0,0.0,50.728,461,No respuesta o ausencia,0.975
ALCFLAG,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,82.801,0,Sin ausencia documental observada,0.0
ALCMDAYS,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,5,0,0.0,49.115,0,Sin ausencia documental observada,0.0
ALCMLU,PRIOR SUBSTANCE USE,Original u otra,Categórica con número moderado de categorías,19,0,0.0,62.365,800,No respuesta o ausencia,1.691
ALCMON,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,50.885,0,Sin ausencia documental observada,0.0
ALCNUMDKPM,RECODED DRUG USE,Recodificada,Numérica con rango documentado,199,24713,52.248,52.248,0,Sin ausencia documental observada,0.0
ALCYDAYS,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,6,0,0.0,32.256,0,Sin ausencia documental observada,0.0
ALCYLU,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,10,0,0.0,62.365,627,No respuesta o ausencia,1.326
ALCYR,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,67.744,0,Sin ausencia documental observada,0.0
ALCYRBFR,PRIOR SUBSTANCE USE,Original u otra,Categórica con pocas categorías,7,0,0.0,61.416,811,No respuesta o ausencia,1.715
AMYLNIEVER2,RECODED DRUG USE,Recodificada,Binaria,2,15,0.032,96.706,0,Sin ausencia documental observada,0.0
ANYHLTI2,RECODED HEALTH INSURANCE,Recodificada,Categórica con pocas categorías,5,0,0.0,85.194,2051,No respuesta o ausencia,4.336
ANYNDLREC,RECODED SPECIAL DRUGS,Recodificada,Categórica con pocas categorías,7,0,0.0,97.218,271,No respuesta o ausencia,0.573
