variable,modulo,tipo_version,tipo_variable,n_unicos,n_nan,pct_nan,pct_dominante,n_ausencia_documental,tipos_ausencia,pct_ausencia_documental,tramo_nan,tramo_dominante,rango_documentado,frecuencia_fuera_rango,tipos_fuera_rango,pct_fuera_rango
ALCAGLST,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,101,0,0.0,50.728,461,No respuesta o ausencia,0.975,Sin valores físicamente ausentes,<80 %,2 - 98,32736,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable,69.211
ALCNUMDKPM,RECODED DRUG USE,Recodificada,Numérica con rango documentado,199,24713,52.248,52.248,0,Sin ausencia documental observada,0.0,50-100 %,<80 %,1 - 2040,24713,Ausencia de exposición,52.248
ALCYLU,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,10,0,0.0,62.365,627,No respuesta o ausencia,1.326,Sin valores físicamente ausentes,<80 %,2022 - 2024,38509,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable,81.416
ASTHMAAGE,HEALTH,Original u otra,Numérica con rango documentado,85,0,0.0,85.621,1481,No respuesta o ausencia,3.131,Sin valores físicamente ausentes,80-90 %,1 - 85,41990,Asignación lógica | No respuesta o ausencia | Salto legítimo o no aplicable,88.776
BMI2,RECODED HEALTH,Recodificada,Numérica con rango documentado,3067,2250,4.757,4.757,2250,No respuesta o ausencia,4.757,1-10 %,<80 %,9.3733333333 - 68.557024793,2250,No respuesta o ausencia,4.757
CGRAGLST,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,85,0,0.0,69.498,510,No respuesta o ausencia,1.078,Sin valores físicamente ausentes,<80 %,3 - 87,35989,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable,76.088
CIGAGLST,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,91,0,0.0,48.794,497,No respuesta o ausencia,1.051,Sin valores físicamente ausentes,<80 %,2 - 88,30562,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable,64.614
CIGARYLU,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,10,0,0.0,69.498,1225,No respuesta o ausencia,2.59,Sin valores físicamente ausentes,<80 %,2022 - 2024,45035,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable,95.213
CIGAVGM,RECODED DRUG USE,Recodificada,Numérica con rango documentado,142,40763,86.182,86.182,0,Sin ausencia documental observada,0.0,50-100 %,80-90 %,0.5 - 1500,40763,Ausencia de exposición,86.182
CIGDLLST,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,84,0,0.0,48.794,246,No respuesta o ausencia,0.52,Sin valores físicamente ausentes,<80 %,2 - 88,38739,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable,81.902
