variable,modulo,rango_documentado,limite_inferior,limite_superior,n_validos,pct_validos,n_unicos_validos,minimo_valido,maximo_valido,mediana,media,q1,q3,iqr,limite_iqr_inf,limite_iqr_sup,n_alejados_iqr,pct_alejados_iqr,tramo_valores_validos
ALCAGLST,PRIOR SUBSTANCE USE,2 - 98,2.0,98.0,14563,30.789,94,2.0,98.0,32.0,35.97390647531415,23.0,45.0,22.0,-10.0,78.0,165,1.133,25-75 %
ALCNUMDKPM,RECODED DRUG USE,1 - 2040,1.0,2040.0,22586,47.752,199,1.0,2040.0,10.0,25.026299477552467,4.0,25.0,21.0,-27.5,56.5,2288,10.13,25-75 %
ALCYLU,PRIOR SUBSTANCE USE,2022 - 2024,2022.0,2024.0,8790,18.584,3,2022.0,2024.0,2024.0,2023.5191126279863,2023.0,2024.0,1.0,2021.5,2025.5,0,0.0,5-25 %
ASTHMAAGE,HEALTH,1 - 85,1.0,85.0,5309,11.224,80,1.0,85.0,8.0,13.180448295347523,4.0,16.0,12.0,-14.0,34.0,497,9.361,5-25 %
BMI2,RECODED HEALTH,9.3733333333 - 68.557024793,9.3733333333,68.557024793,45049,95.243,3067,9.3733333333,68.557024793,27.259183673,28.43143738240697,23.401056015,32.280612245,8.879556229999999,10.081721670000004,45.59994659,1006,2.233,≥75 %
CGRAGLST,PRIOR SUBSTANCE USE,3 - 87,3.0,87.0,11310,23.912,79,3.0,87.0,26.0,29.50946065428824,21.0,35.0,14.0,0.0,56.0,429,3.793,5-25 %
CIGAGLST,PRIOR SUBSTANCE USE,2 - 88,2.0,88.0,16737,35.386,84,2.0,88.0,25.0,27.853259245981956,20.0,33.0,13.0,0.5,52.5,820,4.899,25-75 %
CIGARYLU,PRIOR SUBSTANCE USE,2022 - 2024,2022.0,2024.0,2264,4.787,3,2022.0,2024.0,2023.0,2023.3462897526501,2023.0,2024.0,1.0,2021.5,2025.5,0,0.0,1-5 %
CIGAVGM,RECODED DRUG USE,0.5 - 1500,0.5,1500.0,6536,13.818,142,0.5,1500.0,105.0,231.57041768665852,10.5,315.0,304.5,-446.25,771.75,293,4.483,5-25 %
CIGDLLST,PRIOR SUBSTANCE USE,2 - 88,2.0,88.0,8560,18.098,78,2.0,88.0,29.0,32.40677570093458,23.0,40.0,17.0,-2.5,65.5,152,1.776,5-25 %
