variable_1,variable_2,n_comunes,correlacion_spearman,correlacion_absoluta
EDUSCKCOM,EDUSCKMON,1192,1.0,1.0
EDUSKPCOM,EDUSKPMON,1025,1.0,1.0
CIGAGLST,CIGDLLST,6809,0.879,0.879
BMI2,WTPOUND2,45049,0.864,0.864
ECSTMOAGL,HALLAGLST,3562,0.838,0.838
COCAGLST,CRKAGLST,1262,0.826,0.826
HALLAGLST,LSDAGLST,4232,0.777,0.777
HERAGLST,METHAGLST,512,0.734,0.734
ECSTMOAGL,LSDAGLST,2184,0.684,0.684
CRKAGLST,METHAGLST,699,0.676,0.676
LSDAGLST,PCPAGLST,510,0.664,0.664
DIABETEAG,HIGHBPAGE,1355,0.65,0.65
HALLAGLST,PCPAGLST,605,0.643,0.643
HIGHBPAGE,HRTCONDAG,1236,0.641,0.641
COCAGLST,ECSTMOAGL,2425,0.641,0.641
DIABETEAG,HRTCONDAG,797,0.623,0.623
COCAGLST,HERAGLST,798,0.622,0.622
COCAGLST,METHAGLST,1460,0.594,0.594
WRKSICKMO,WRKSKIPMO,2791,0.573,0.573
ALCAGLST,CIGDLLST,3307,0.571,0.571
ECSTMOAGL,METHAGLST,924,0.569,0.569
COCAGLST,HALLAGLST,3917,0.564,0.564
EDUSCKMON,EDUSKPMON,637,0.559,0.559
ECSTMOAGL,HERAGLST,568,0.556,0.556
ALCAGLST,DIABETEAG,1585,0.545,0.545
ALCAGLST,HRTCONDAG,1392,0.534,0.534
CGRAGLST,CIGDLLST,3804,0.531,0.531
ALCAGLST,CGRAGLST,3224,0.528,0.528
CIGARYLU,CIGYLU,521,0.523,0.523
ALCAGLST,MRJAGLST,5298,0.522,0.522
CRKAGLST,ECSTMOAGL,665,0.517,0.517
CIGDLLST,CRKAGLST,694,0.513,0.513
ALCAGLST,COPDAGE,548,0.512,0.512
CGRAGLST,CIGAGLST,7128,0.505,0.505
HALLAGLST,HERAGLST,728,0.483,0.483
CIGDLLST,METHAGLST,1012,0.48,0.48
COCAGLST,LSDAGLST,2743,0.477,0.477
ALCAGLST,CIGAGLST,5617,0.47,0.47
HALLAGLST,METHAGLST,1430,0.469,0.469
ALCAGLST,CRKAGLST,668,0.468,0.468
ECSTMOAGL,MRJAGLST,1748,0.456,0.456
ASTHMAAGE,HRTCONDAG,572,0.454,0.454
ALCAGLST,WRKLASTYR2,5006,-0.452,0.452
ALCAGLST,HIGHBPAGE,1912,0.452,0.452
ASTHMAAGE,DIABETEAG,557,0.452,0.452
CIGAGLST,CRKAGLST,613,0.449,0.449
COCAGLST,MRJAGLST,2947,0.445,0.445
CIGDLLST,ECSTMOAGL,1600,0.444,0.444
CGRAGLST,CRKAGLST,673,0.443,0.443
EDUSCKCOM,EDUSKPCOM,4178,0.437,0.437
CIGAGLST,COCAGLST,3382,0.433,0.433
CGRAGLST,COCAGLST,2896,0.433,0.433
CRKAGLST,MRJAGLST,670,0.433,0.433
ECSTMOAGL,INHLAGLST,1425,0.431,0.431
CGRAGLST,ECSTMOAGL,1980,0.43,0.43
CIGDLLST,COCAGLST,2564,0.429,0.429
CIGDLLST,DIABETEAG,1032,0.428,0.428
INHLAGLST,LSDAGLST,1695,0.428,0.428
CIGYLU,MRJYLU,589,0.428,0.428
ALCAGLST,ECSTMOAGL,1204,0.426,0.426
HTINCHE2,WTPOUND2,45049,0.424,0.424
CIGAGLST,SMKAGLAST,2961,0.424,0.424
LSDAGLST,METHAGLST,1082,0.415,0.415
CGRAGLST,MRJAGLST,5507,0.414,0.414
CGRAGLST,SMKAGLAST,3049,0.413,0.413
