variable,modulo,tipo_variable,n_unicos,pct_nan,pct_dominante,n_categorias_observadas,n_categorias_minoritarias_1,n_categorias_minoritarias_01,pct_acum_minoritarias_1,pct_acum_minoritarias_01
ACTD2001,DEMOGRAPHICS,Categórica con pocas categorías,7,0.0,96.18,7,4,4,0.073,0.073
ACTD7590,DEMOGRAPHICS,Categórica con pocas categorías,7,0.0,96.18,7,5,4,0.987,0.076
ACTD9001,DEMOGRAPHICS,Categórica con pocas categorías,7,0.0,96.18,7,5,4,0.952,0.072
ACTDEVER,DEMOGRAPHICS,Categórica con pocas categorías,6,0.0,94.972,6,3,3,0.05,0.05
ACTDPRIV,DEMOGRAPHICS,Categórica con pocas categorías,7,0.0,96.18,7,5,4,0.231,0.077
ACTDVIET,DEMOGRAPHICS,Categórica con pocas categorías,7,0.0,96.18,7,4,4,0.072,0.072
AGE3,DEMOGRAPHICS,Categórica con pocas categorías,8,0.0,27.157,8,0,0,0.0,0.0
AIRDUSEVER2,RECODED DRUG USE,Binaria,2,0.006,98.617,3,1,1,0.006,0.006
ALCFLAG,RECODED DRUG USE,Binaria,2,0.0,82.801,2,0,0,0.0,0.0
ALCMDAYS,RECODED DRUG USE,Categórica con pocas categorías,5,0.0,49.115,5,0,0,0.0,0.0
ALCMLU,PRIOR SUBSTANCE USE,Categórica con número moderado de categorías,19,0.0,62.365,19,6,0,3.249,0.0
ALCMON,RECODED DRUG USE,Binaria,2,0.0,50.885,2,0,0,0.0,0.0
ALCYDAYS,RECODED DRUG USE,Categórica con pocas categorías,6,0.0,32.256,6,0,0,0.0,0.0
ALCYR,RECODED DRUG USE,Binaria,2,0.0,67.744,2,0,0,0.0,0.0
ALCYRBFR,PRIOR SUBSTANCE USE,Categórica con pocas categorías,7,0.0,61.416,7,3,1,0.577,0.002
AMYLNIEVER2,RECODED DRUG USE,Binaria,2,0.032,96.706,3,1,1,0.032,0.032
ANYHLTI2,RECODED HEALTH INSURANCE,Categórica con pocas categorías,5,0.0,85.194,5,2,0,0.846,0.0
ANYNDLREC,RECODED SPECIAL DRUGS,Categórica con pocas categorías,7,0.0,97.218,7,5,2,1.028,0.074
ANYNEDFLAG,RECODED EMERGING ISSUES,Binaria,2,0.581,97.169,3,1,0,0.581,0.0
ANYNEDYR,RECODED EMERGING ISSUES,Binaria,2,0.564,98.958,3,2,0,1.042,0.0
APPDRGMON,RISK/AVAILABILITY,Categórica con pocas categorías,6,0.0,94.877,6,4,3,0.799,0.137
APPDRGMON2,RECODED RISK/AVAILABILITY,Binaria,2,0.799,94.877,3,1,0,0.799,0.0
ASTHMAEVR2,HEALTH,Categórica con pocas categorías,6,0.0,85.621,6,3,1,0.985,0.023
ASTHMANOW,HEALTH,Categórica con pocas categorías,7,0.0,85.621,7,3,3,0.095,0.095
BKARSON,SPECIAL TOPICS,Categórica con pocas categorías,7,0.0,96.076,7,4,2,0.599,0.03
BKBURGL,SPECIAL TOPICS,Categórica con pocas categorías,8,0.0,96.076,8,5,3,0.654,0.083
BKDRUG,SPECIAL TOPICS,Categórica con pocas categorías,8,0.0,96.076,8,5,2,0.913,0.04
BKDRUNK,SPECIAL TOPICS,Categórica con pocas categorías,8,0.0,96.076,8,5,2,0.751,0.026
BKDRVINF,SPECIAL TOPICS,Categórica con pocas categorías,8,0.0,96.076,8,5,2,0.931,0.032
BKFRAUD,SPECIAL TOPICS,Categórica con pocas categorías,9,0.0,96.076,9,6,4,0.672,0.101
BKLARCNY,SPECIAL TOPICS,Categórica con pocas categorías,9,0.0,96.076,9,6,3,0.748,0.021
BKMVTHFT,SPECIAL TOPICS,Categórica con pocas categorías,8,0.0,96.076,8,5,3,0.662,0.091
BKOTH,SPECIAL TOPICS,Categórica con pocas categorías,9,0.0,96.076,9,6,1,1.254,0.013
BKROB,SPECIAL TOPICS,Categórica con pocas categorías,7,0.0,96.076,7,4,2,0.637,0.066
BKSEXNR,SPECIAL TOPICS,Categórica con pocas categorías,7,0.0,96.076,7,4,2,0.616,0.047
BKSMASLT,SPECIAL TOPICS,Categórica con pocas categorías,9,0.0,96.076,9,6,3,0.923,0.064
BKSRVIOL,SPECIAL TOPICS,Categórica con pocas categorías,9,0.0,96.076,9,6,3,0.763,0.021
BNGDRKMON,RECODED DRUG USE,Binaria,2,0.0,76.183,2,0,0,0.0,0.0
BNGDRMDAYS,RECODED DRUG USE,Categórica con pocas categorías,5,0.0,76.183,5,0,0,0.0,0.0
BOOKED,SPECIAL TOPICS,Categórica con pocas categorías,7,0.0,85.281,7,4,2,0.561,0.072
BZOANYYR,RECODED DRUG USE,Binaria,2,0.101,91.522,3,1,0,0.101,0.0
BZONMYR,RECODED DRUG USE,Binaria,2,0.017,98.564,3,1,1,0.017,0.017
CABLADDER,HEALTH,Categórica con pocas categorías,7,0.0,92.977,7,4,3,0.204,0.094
CABLOLEULYM,HEALTH,Categórica con pocas categorías,7,0.0,92.977,7,4,3,0.458,0.094
CABREAST,HEALTH,Categórica con pocas categorías,7,0.0,92.977,7,4,3,0.954,0.096
CACERVIX,HEALTH,Categórica con pocas categorías,7,0.0,94.721,7,4,3,0.242,0.054
CACOLNRECT,HEALTH,Categórica con pocas categorías,7,0.0,92.977,7,4,3,0.32,0.094
CADRKCOCN2,RECODED CONSUMPTION OF ALCOHOL,Binaria,2,0.099,99.738,3,2,1,0.262,0.099
CADRKHALL2,RECODED CONSUMPTION OF ALCOHOL,Binaria,2,0.285,99.617,3,2,1,0.382,0.097
CADRKHERN2,RECODED CONSUMPTION OF ALCOHOL,Binaria,2,0.027,99.958,3,2,2,0.042,0.042
CADRKINHL2,RECODED CONSUMPTION OF ALCOHOL,Binaria,2,0.104,99.852,3,2,1,0.148,0.044
CADRKMARJ2,RECODED CONSUMPTION OF ALCOHOL,Binaria,2,0.753,92.357,3,1,0,0.753,0.0
CADRKMETH2,RECODED CONSUMPTION OF ALCOHOL,Binaria,2,0.055,99.784,3,2,1,0.216,0.055
CAESOPSTOM,HEALTH,Categórica con pocas categorías,7,0.0,92.977,7,4,4,0.141,0.141
CAGALLIVPAN,HEALTH,Categórica con pocas categorías,7,0.0,92.977,7,4,4,0.143,0.143
CAIDCHIP,HEALTH INSURANCE,Categórica con pocas categorías,6,0.0,74.128,6,3,0,0.778,0.0
CAKIDNEY,HEALTH,Categórica con pocas categorías,7,0.0,92.977,7,4,3,0.299,0.096
CALARYLUNG,HEALTH,Categórica con pocas categorías,7,0.0,92.977,7,4,3,0.208,0.096
CAMELANOM,HEALTH,Categórica con pocas categorías,7,0.0,92.977,7,4,3,0.5,0.094
CAMHPROB,EMERGING ISSUES,Categórica con pocas categorías,6,0.0,65.762,6,3,1,0.636,0.008
