codigo_normalizado,frecuencia,suma_pesos,codigo_doc,etiqueta_codigo,orden,porcentaje_muestral,porcentaje_ponderado,variable
10,5197,60636752.71049524,10,Respondent is between 50 and 64 years old,10,10.988,23.118,AGE3
11,5500,60278852.67426885,11,Respondent is 65 years old or older,11,11.628,22.982,AGE3
4,5024,12423118.310004162,4,Respondent is between 18 and 20 years old,4,10.622,4.736,AGE3
5,5401,13939651.237433009,5,Respondent is between 21 and 23 years old,5,11.419,5.315,AGE3
6,3711,8583318.196729891,6,Respondent is 24 or 25 years old,6,7.846,3.272,AGE3
7,4000,17529086.43221518,7,Respondent is between 26 and 29 years old,7,8.457,6.683,AGE3
8,5621,23453686.870747767,8,Respondent is between 30 and 34 years old,8,11.884,8.942,AGE3
9,12845,65446419.473393865,9,Respondent is between 35 and 49 years old,9,27.157,24.952,AGE3
1,21237,127725590.81331441,1,Male,1,44.899,48.696,IRSEX
2,26062,134565295.09197354,2,Female,2,55.101,51.304,IRSEX
1,27461,157995318.13778937,1,NonHisp White,1,58.058,60.237,NEWRACE2
2,5651,31682145.990162373,2,NonHisp Black/Afr Am,2,11.947,12.079,NEWRACE2
3,697,1189986.7741976976,3,NonHisp Native Am/AK Native,3,1.474,0.454,NEWRACE2
4,237,1119104.303198332,4,NonHisp Native HI/Other Pac Isl,4,0.501,0.427,NEWRACE2
5,2273,16967276.14216954,5,NonHisp Asian,5,4.806,6.469,NEWRACE2
6,1921,5603838.252644307,6,NonHisp more than one race,6,4.061,2.136,NEWRACE2
7,9059,47733216.30512633,7,Hispanic,7,19.153,18.199,NEWRACE2
1,320,2127304.935161948,1,Fifth grade or less grade completed,1,0.677,0.811,IREDUHIGHST2
10,4119,25190015.967257608,10,"Associate's degree (for example, AA, AS)",10,8.708,9.604,IREDUHIGHST2
11,15961,90825502.7448184,11,College graduate or higher,11,33.745,34.628,IREDUHIGHST2
2,263,1917556.2047977217,2,Sixth grade completed,2,0.556,0.731,IREDUHIGHST2
3,131,921342.10905695,3,Seventh grade completed,3,0.277,0.351,IREDUHIGHST2
4,327,2069830.0690228324,4,Eighth grade completed,4,0.691,0.789,IREDUHIGHST2
5,604,3081314.696334628,5,Ninth grade completed,5,1.277,1.175,IREDUHIGHST2
6,791,4139653.546641666,6,Tenth grade completed,6,1.672,1.578,IREDUHIGHST2
7,2533,9364888.430529647,7,"Eleventh or Twelfth grade completed, no diploma",7,5.355,3.57,IREDUHIGHST2
8,12893,70752996.29402503,8,High school diploma/GED,8,27.259,26.975,IREDUHIGHST2
9,9357,51900480.907641515,9,"Some college credit, but no degree",9,19.783,19.787,IREDUHIGHST2
