variable_grupo,codigo_normalizado,variable_objetivo,n_registros,prevalencia_ponderada,etiqueta_codigo,orden,descripcion,objetivo_etiqueta
AGE3,10,IRAMDEYR,5197,5.673,Respondent is between 50 and 64 years old,10,Episodio depresivo mayor,Depresión
AGE3,10,IRSUICTHNK,5197,3.803,Respondent is between 50 and 64 years old,10,Ideación suicida,Ideación
AGE3,10,IRSUIPLANYR,5197,1.503,Respondent is between 50 and 64 years old,10,Planificación suicida,Planificación
AGE3,10,IRSUITRYYR,5197,0.665,Respondent is between 50 and 64 years old,10,Intento suicida,Intento
AGE3,11,IRAMDEYR,5500,3.083,Respondent is 65 years old or older,11,Episodio depresivo mayor,Depresión
AGE3,11,IRSUICTHNK,5500,1.96,Respondent is 65 years old or older,11,Ideación suicida,Ideación
AGE3,11,IRSUIPLANYR,5500,0.677,Respondent is 65 years old or older,11,Planificación suicida,Planificación
AGE3,11,IRSUITRYYR,5500,0.54,Respondent is 65 years old or older,11,Intento suicida,Intento
AGE3,4,IRAMDEYR,5024,16.725,Respondent is between 18 and 20 years old,4,Episodio depresivo mayor,Depresión
AGE3,4,IRSUICTHNK,5024,14.099,Respondent is between 18 and 20 years old,4,Ideación suicida,Ideación
AGE3,4,IRSUIPLANYR,5024,4.465,Respondent is between 18 and 20 years old,4,Planificación suicida,Planificación
AGE3,4,IRSUITRYYR,5024,2.358,Respondent is between 18 and 20 years old,4,Intento suicida,Intento
AGE3,5,IRAMDEYR,5401,16.367,Respondent is between 21 and 23 years old,5,Episodio depresivo mayor,Depresión
AGE3,5,IRSUICTHNK,5401,13.074,Respondent is between 21 and 23 years old,5,Ideación suicida,Ideación
AGE3,5,IRSUIPLANYR,5401,4.595,Respondent is between 21 and 23 years old,5,Planificación suicida,Planificación
AGE3,5,IRSUITRYYR,5401,1.945,Respondent is between 21 and 23 years old,5,Intento suicida,Intento
AGE3,6,IRAMDEYR,3711,14.838,Respondent is 24 or 25 years old,6,Episodio depresivo mayor,Depresión
AGE3,6,IRSUICTHNK,3711,10.356,Respondent is 24 or 25 years old,6,Ideación suicida,Ideación
AGE3,6,IRSUIPLANYR,3711,3.001,Respondent is 24 or 25 years old,6,Planificación suicida,Planificación
AGE3,6,IRSUITRYYR,3711,1.069,Respondent is 24 or 25 years old,6,Intento suicida,Intento
