elemento,valor
Registros adultos,47299
Variables totales,1167
Predictores principales,814
Variables de sensibilidad,341
Variables objetivo,4
Indicadores de imputación,4
Variables del diseño muestral,3
Identificador,QUESTID2
Tamaño del archivo (MB),11.0
SHA-256 conjunto de datos original,03276012b24533bb6d6a5fc7978c21bfe35d73ffeb406e731eafd3e9bc18b650
SHA-256 documentación oficial,1e339db1a6797bdc803b302795aaf3d04abe9e12b9313ad4955a0f73aee02bd1
SHA-256 base premodelado,06e755551ec899fcd291776b48954330312f738cdc2b2f1df9e224236ad77fb5
