variable,rol_base,etiqueta_codebook,modulo,tipo_version,n_unicos,pct_nan
AGE3,Predictor principal,RECODE - FINAL EDITED AGE,DEMOGRAPHICS,Original u otra,8,0.0
SERVICE,Predictor principal,EVER BEEN IN THE US ARMED FORCES,DEMOGRAPHICS,Original u otra,5,0.0
MILSTAT,Predictor principal,CURRENT MILITARY STATUS,DEMOGRAPHICS,Original u otra,7,0.0
ACTDEVER,Predictor principal,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,DEMOGRAPHICS,Original u otra,6,0.0
ACTD2001,Predictor principal,SEPTEMBER 2001 OR LATER,DEMOGRAPHICS,Original u otra,7,0.0
ACTD9001,Predictor principal,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),DEMOGRAPHICS,Original u otra,7,0.0
ACTD7590,Predictor principal,MAY 1975 TO JULY 1990,DEMOGRAPHICS,Original u otra,7,0.0
ACTDVIET,Predictor principal,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,7,0.0
ACTDPRIV,Predictor principal,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,7,0.0
COMBATPY,Predictor principal,EVER IN COMBAT ZONE ON ACTIVE DUTY,DEMOGRAPHICS,Original u otra,7,0.0
NOMARR2,Predictor principal,NUMBER OF TIMES MARRIED,DEMOGRAPHICS,Original u otra,5,0.0
HEALTH,Predictor principal,OVERALL HEALTH,DEMOGRAPHICS,Original u otra,7,0.0
MOVSINPYR2,Predictor principal,# TIMES MOVED PAST 12 MONTHS- RECODED,DEMOGRAPHICS,Original u otra,8,0.0
SPEAKENGL,Predictor principal,HOW WELL SPEAK ENGLISH,DEMOGRAPHICS,Original u otra,8,0.0
LVLDIFSEE2,Predictor principal,LEVEL OF DIFFICULTY SEEING EVEN WITH GLASSES,DEMOGRAPHICS,Original u otra,7,0.0
LVLDIFHEAR2,Predictor principal,LEVEL OF DIFFICULTY HEARING EVEN WITH HEARING AIDS,DEMOGRAPHICS,Original u otra,7,0.0
LVLDIFWALK2,Predictor principal,LEVEL OF DIFFICULTY WALKING OR CLIMBING STEPS,DEMOGRAPHICS,Original u otra,7,0.0
LVLDIFMEM2,Predictor principal,LEVEL OF DIFFICULTY REMEMBERING OR CONCENTRATING,DEMOGRAPHICS,Original u otra,7,0.0
LVLDIFCARE2,Predictor principal,LEVEL OF DIFFICULTY WITH SELF-CARE,DEMOGRAPHICS,Original u otra,7,0.0
LVLDIFCOMM2,Predictor principal,LEVEL OF DIFFICULTY COMMUNICATING USING YOUR USUAL LANGUAGE,DEMOGRAPHICS,Original u otra,7,0.0
IRSEX,Predictor principal,RESPONDENT SEX - IMPUTATION REVISED,IMPUTED DEMOGRAPHICS,Imputada,2,0.0
IRMARIT,Predictor principal,IMPUTATION REVISED MARITAL STATUS,IMPUTED DEMOGRAPHICS,Imputada,4,0.0
IREDUHIGHST2,Predictor principal,EDUCATION - RECODED IMPUTATION REVISED,IMPUTED DEMOGRAPHICS,Imputada,11,0.0
CATAGE,Predictor principal,RC-AGE CATEGORY,RECODED DEMOGRAPHICS,Recodificada,3,0.0
CATAG2,Predictor principal,RC-AGE CATEGORY RECODE (3 LEVELS),RECODED DEMOGRAPHICS,Recodificada,2,0.0
CATAG3,Predictor principal,RC-AGE CATEGORY RECODE (5 LEVELS),RECODED DEMOGRAPHICS,Recodificada,4,0.0
CATAG6,Predictor principal,RC-AGE CATEGORY RECODE (6 LEVELS),RECODED DEMOGRAPHICS,Recodificada,5,0.0
CATAG7,Predictor principal,RC-AGE CATEGORY RECODE (7 LEVELS),RECODED DEMOGRAPHICS,Recodificada,4,0.0
PREGAGE2,Predictor principal,RC-PREGNANCY AGE CATEGORY RECODE,RECODED DEMOGRAPHICS,Recodificada,3,0.0
DRVINAGE,Predictor principal,RC-DUI AGE CATEGORY RECODE,RECODED DEMOGRAPHICS,Recodificada,2,0.0
DRVINDETAG,Predictor principal,RC-DUI DETAILED AGE CATEGORY RECODE,RECODED DEMOGRAPHICS,Recodificada,3,0.0
SEXAGE,Predictor principal,RC-COMBINED SEX BY AGE CATEGORY INDICATOR,RECODED DEMOGRAPHICS,Recodificada,3,0.0
NEWRACE2,Predictor principal,RC-RACE/HISPANICITY RECODE (7 LEVELS),RECODED DEMOGRAPHICS,Recodificada,7,0.0
SEXRACE,Predictor principal,RC-COMBINED SEX BY RACE INDICATOR,RECODED DEMOGRAPHICS,Recodificada,7,0.0
EDUHIGHCAT,Predictor principal,RC-EDUCATION CATEGORIES,RECODED DEMOGRAPHICS,Recodificada,4,0.0
HEALTH2,Predictor principal,RC-OVERALL HEALTH RECODE,RECODED DEMOGRAPHICS,Recodificada,4,0.053
EDUSCHLGO,Predictor principal,NOW GOING TO SCHOOL,EDUCATION,Original u otra,7,0.0
EDUSCHGRD2,Predictor principal,WHAT GRADE IN NOW/WILL BE IN,EDUCATION,Original u otra,13,0.0
EDUFULPAR,Predictor principal,FULL OR PART TIME,EDUCATION,Original u otra,7,0.0
EDUSCKMON,Predictor principal,HOW MANY DAYS MISSED SCHOOL FROM SICK,EDUCATION,Original u otra,31,0.0
EDUSCKEST,Predictor principal,BEST ESTIMATE # DAYS MISSED BECAUSE SICK OR INURED,EDUCATION,Original u otra,10,0.0
EDUSCKCOM,Predictor principal,RC - HOW MANY DAYS MISSED SCHOOL FROM SICK (COMBINED),EDUCATION,Original u otra,30,0.0
EDUSKPMON,Predictor principal,HOW MANY DAYS MISSED SCHOOL FROM SKIPPING,EDUCATION,Original u otra,25,0.0
EDUSKPEST,Predictor principal,BEST ESTIMATE # DAYS MISSED BECAUSE SKIPPED OR CUT,EDUCATION,Original u otra,9,0.0
EDUSKPCOM,Predictor principal,RC - HOW MANY DAYS MISSED SCHOOL FROM SKIPPING (COMBINED),EDUCATION,Original u otra,25,0.0
MILTFAMLY,Predictor principal,ANY IMMEDIATE FAMILY CURRENTLY IN US MILITARY,EDUCATION,Original u otra,6,0.0
MILTSPPAR,Predictor principal,SPOUSE OR PARTNER IN MILITARY,EDUCATION,Original u otra,7,0.0
MILTPARNT,Predictor principal,FATHER OR MOTHER IN MILITARY,EDUCATION,Original u otra,7,0.0
MILTCHLDR,Predictor principal,SON OR DAUGHTER IN MILITARY,EDUCATION,Original u otra,7,0.0
MILTSIBLN,Predictor principal,SISTER OR BROTHER IN MILITARY,EDUCATION,Original u otra,7,0.0
ENRLCOLLFT2,Predictor principal,RC-COLLEGE ENROLLMENT-FULL TIME,RECODED EDUCATION,Recodificada,3,0.0
ENRLCOLLST2,Predictor principal,RC-COLLEGE ENROLLMENT,RECODED EDUCATION,Recodificada,5,0.0
WRKSTATWK2,Predictor principal,WORK SITUATION IN PAST WEEK - RECODE,EMPLOYMENT,Original u otra,10,0.0
WRKDPSTWK,Predictor principal,WORK AT JOB LAST WEEK,EMPLOYMENT,Original u otra,7,0.0
WRKHADJOB,Predictor principal,DID YOU HAVE A JOB OR BUSINESS,EMPLOYMENT,Original u otra,8,0.0
WRKDHRSWK2,Predictor principal,HOW MANY HOURS WORKED LAST WEEK,EMPLOYMENT,Original u otra,66,0.0
WRK35WKUS,Predictor principal,USUALLY WORK 35 OR MORE HRS PER WEEK,EMPLOYMENT,Original u otra,7,0.0
WRKRSNNOT,Predictor principal,REASON FOR NOT WORKING AT JOB - PAST WK,EMPLOYMENT,Original u otra,11,0.0
WRKRSNJOB,Predictor principal,REASON FOR NOT HAVING A JOB - PAST WK,EMPLOYMENT,Original u otra,13,0.0
WRKEFFORT,Predictor principal,"PAST 30 DAYS, MAKE EFFORT TO FIND WORK",EMPLOYMENT,Original u otra,6,0.0
WRKDPSTYR,Predictor principal,"PAST 12 MOS, WORKED AT ANY JOB",EMPLOYMENT,Original u otra,7,0.0
WRKSELFEM,Predictor principal,"PAST 12 MOS, SELF EMPLOYED",EMPLOYMENT,Original u otra,8,0.0
WRKNUMJOB2,Predictor principal,"PAST 12 MOS, HOW MANY EMPLOYERS",EMPLOYMENT,Original u otra,9,0.0
WRKNJBPYR,Predictor principal,"PAST 12 MOS, TIME WITH NO JOB",EMPLOYMENT,Original u otra,7,0.0
WRKNJBWKS,Predictor principal,HOW MANY WKS W/O JOB IN PAST 12 MOS,EMPLOYMENT,Original u otra,57,0.0
WRKLASTYR2,Predictor principal,WHAT YEAR LAST WORKED,EMPLOYMENT,Original u otra,46,0.0
WRKSICKMO,Predictor principal,# DAYS MISSED WORK FOR INJURY/ILLNESS PAST 30 DAYS,EMPLOYMENT,Original u otra,36,0.0
WRKSKIPMO,Predictor principal,# DAYS SKIPPED WORK PAST 30 DAYS,EMPLOYMENT,Original u otra,34,0.0
IRWRKSTAT,Predictor principal,EMPLOYMENT STATUS - IMPUTATION REVISED,IMPUTED EMPLOYMENT,Imputada,4,0.0
IRWRKSTAT18,Predictor principal,EMPLOYMENT STATUS 18+ - IMPUTATION REVISED,IMPUTED EMPLOYMENT,Imputada,4,0.0
EDFAM18,Predictor principal,RC-EDITED INDICATOR: FAMILY IN HH 18 OR OLDER,HOUSEHOLD COMPOSITION (ROSTER),Original u otra,3,0.0
