patron,frecuencia,porcentaje
0-0-0-0,40258,85.11385018710756
1-0-0-0,3437,7.266538404617434
0-1-0-0,1279,2.70407408190448
1-1-0-0,1058,2.2368337596989365
1-1-1-0,431,0.9112243387809468
0-1-1-0,247,0.5222097718767839
1-1-1-1,210,0.44398401657540326
0-1-1-1,201,0.4249561301507432
0-0-1-0,44,0.09302522252056068
1-1-0-1,38,0.0803399649041206
0-0-0-1,26,0.05496944967124041
0-1-0-1,25,0.05285524006850039
1-0-1-0,20,0.042284192054800315
0-0-1-1,14,0.029598934438360217
1-0-0-1,8,0.016913676821920125
1-0-1-1,3,0.006342628808220047
