variable,tipo_variable,valor_mas_frecuente,freq_valor_mas_frecuente,freq_resto,pct_valor_mas_frecuente
FUTRQNM18,Binaria,2.0,37838,1,99.99735722402812
FUSEDNM21,Binaria,2.0,37838,1,99.99735722402812
FUSTMNM18,Binaria,2.0,37836,3,99.99207167208436
RXBARBMIS,Binaria,0.0,37835,4,99.98942889611247
FUPNRNM18,Binaria,2.0,37835,4,99.98942889611247
PCPMON,Binaria,0.0,37834,5,99.9867861201406
SALVIAMON,Binaria,0.0,37833,6,99.98414334416871
RXPROVMIS,Binaria,0.0,37828,11,99.97092946430931
FUTRQNM21,Binaria,2.0,37827,12,99.96828668833743
RXZOHYMIS,Binaria,0.0,37826,13,99.96564391236555
OTHRSTMMIS,Binaria,0.0,37826,13,99.96564391236555
RXESZOMIS,Binaria,0.0,37826,13,99.96564391236555
SALVIAYR,Binaria,0.0,37825,14,99.96300113639367
HLCALL99,Binaria,98.0,37824,15,99.9603583604218
RXBZOSMIS,Binaria,0.0,37824,15,99.9603583604218
RXDEMEMIS,Binaria,0.0,37823,16,99.9577155844499
CADRKHERN2,Binaria,0.0,37822,17,99.95507280847804
DAMTFXMON,Binaria,0.0,37822,17,99.95507280847804
SYNSTMMON,Binaria,0.0,37822,17,99.95507280847804
RXSOMAMIS,Binaria,0.0,37821,18,99.95243003250614
GHBMON,Binaria,0.0,37818,21,99.94450170459051
RXFLURANY,Binaria,0.0,37816,23,99.93921615264674
FUSTMNM21,Binaria,2.0,37813,26,99.9312878247311
PCPYR,Binaria,0.0,37811,28,99.92600227278734
FUPNRNM21,Binaria,2.0,37810,29,99.92335949681545
OTHRTRQMIS,Binaria,0.0,37809,30,99.92071672084357
GHBYR,Binaria,0.0,37806,33,99.91278839292794
SYNSTMYR,Binaria,0.0,37806,33,99.91278839292794
RXOXYMMIS,Binaria,0.0,37805,34,99.91014561695604
RXANORMIS,Binaria,0.0,37805,34,99.91014561695604
RXHYDMMIS,Binaria,0.0,37804,35,99.90750284098418
RXMTDNMIS,Binaria,0.0,37803,36,99.90486006501229
SEDNMMON,Binaria,0.0,37800,39,99.89693173709665
OTHRSEDMIS2,Binaria,0.0,37800,39,99.89693173709665
