variable,n_estados_train,n_nan_train,pct_nan_train,pct_mas_frecuente_train,modulo,tipo_variable,tipo_version,n_ausencia_documental,pct_ausencia_documental,tipos_ausencia,etiqueta_codebook,n_observados_train
SRCFRSEDNM,4,37796,99.88636063320912,99.88636063320912,RECODED DRUG USE,Categórica con pocas categorías,Recodificada,47244,99.884,Ausencia documental,RC-SOURCE OF FRIEND/RELATIVE SEDATIVES FOR LAST MISUSE,43
SRCCLFRSED,3,37796,99.88636063320912,99.88636063320912,RECODED DRUG USE,Binaria,Recodificada,0,0.0,Sin ausencia documental observada,RC-COLLAPSED SOURCE OF FRND/REL SEDATIVES FOR LAST MISUSE,43
SRCSEDNM2,8,37723,99.69343798726183,99.69343798726183,RECODED DRUG USE,Categórica con pocas categorías,Recodificada,0,0.0,Sin ausencia documental observada,RC-SOURCE OF SEDATIVES FOR LAST MISUSE,116
SRCCLFRTRQ,4,37596,99.35780543883294,99.35780543883294,RECODED DRUG USE,Categórica con pocas categorías,Recodificada,0,0.0,Sin ausencia documental observada,RC-COLLAPSED SOURCE OF FRND/REL TRANQLZRS FOR LAST MISUSE,243
SRCFRTRQNM,9,37596,99.35780543883294,99.35780543883294,RECODED DRUG USE,Categórica con pocas categorías,Recodificada,47002,99.372,Ausencia documental,RC-SOURCE OF FRIEND/RELATIVE TRANQUILIZERS FOR LAST MISUSE,243
SRCCLFRPNR,4,37503,99.11202727344804,99.11202727344804,RECODED DRUG USE,Categórica con pocas categorías,Recodificada,0,0.0,Sin ausencia documental observada,RC-COLLAPSED SOURCE OF FRND/REL PAIN RLVRS FOR LAST MISUSE,336
SRCFRPNRNM,9,37503,99.11202727344804,99.11202727344804,RECODED DRUG USE,Categórica con pocas categorías,Recodificada,46898,99.152,Ausencia documental,RC-SOURCE OF FRIEND/RELATIVE PAIN RELIEVERS FOR LAST MISUSE,336
SRCFRSTMNM,7,37493,99.08559951372922,99.08559951372922,RECODED DRUG USE,Categórica con pocas categorías,Recodificada,46862,99.076,Ausencia documental,RC-SOURCE OF FRIEND/RELATIVE STIMULANTS FOR LAST MISUSE,346
SRCCLFRSTM,4,37493,99.08559951372922,99.08559951372922,RECODED DRUG USE,Categórica con pocas categorías,Recodificada,0,0.0,Sin ausencia documental observada,RC-COLLAPSED SOURCE OF FRND/REL STIMULANTS FOR LAST MISUSE,346
SRCTRQNM2,9,37245,98.43019107270277,98.43019107270277,RECODED DRUG USE,Categórica con pocas categorías,Recodificada,0,0.0,Sin ausencia documental observada,RC-SOURCE OF TRANQUILIZERS FOR LAST MISUSE,594
SRCSTMNM2,9,37173,98.23991120272734,98.23991120272734,RECODED DRUG USE,Categórica con pocas categorías,Recodificada,0,0.0,Sin ausencia documental observada,RC-SOURCE OF STIMULANTS FOR LAST MISUSE,666
UADROTH,3,36838,97.35458125214726,97.35458125214726,RECODED CONSUMPTION OF ALCOHOL,Binaria,Recodificada,46031,97.319,No respuesta o ausencia,RC-MOST RECENT ALCOHOL USE AT SOME OTHER PLACE,1001
UADHOME,3,36824,97.31758238854093,97.31758238854093,RECODED CONSUMPTION OF ALCOHOL,Binaria,Recodificada,0,0.0,Sin ausencia documental observada,RC-MOST RECENT ALCOHOL USE AT HOME,1015
UADOTHM,3,36824,97.31758238854093,97.31758238854093,RECODED CONSUMPTION OF ALCOHOL,Binaria,Recodificada,0,0.0,Sin ausencia documental observada,RC-MOST RECENT ALCOHOL USE AT SOMEONE ELSE'S HOME,1015
