variable,tipo_variable,valor_mas_frecuente,freq_valor_mas_frecuente,freq_resto,pct_valor_mas_frecuente,modulo,etiqueta_codebook
FUTRQNM18,Binaria,2.0,37838,1,99.99735722402812,RECODED DRUG USE,RC-FIRST MISUSED TRANQUILIZERS PRIOR TO AGE 18
FUSEDNM21,Binaria,2.0,37838,1,99.99735722402812,RECODED DRUG USE,RC-FIRST MISUSED SEDATIVES PRIOR TO AGE 21
FUSTMNM18,Binaria,2.0,37836,3,99.99207167208436,RECODED DRUG USE,RC-FIRST MISUSED STIMULANTS PRIOR TO AGE 18
RXBARBMIS,Binaria,0.0,37835,4,99.98942889611247,RECODED DRUG USE,RC-BARBITURATES - PAST YEAR MISUSE
FUPNRNM18,Binaria,2.0,37835,4,99.98942889611247,RECODED DRUG USE,RC-FIRST MISUSED PAIN RELIEVERS PRIOR TO AGE 18
PCPMON,Binaria,0.0,37834,5,99.9867861201406,RECODED DRUG USE,RC-PCP - PAST MONTH USE
SALVIAMON,Binaria,0.0,37833,6,99.98414334416871,RECODED DRUG USE,RC-SALVIA - PAST MONTH USE
RXPROVMIS,Binaria,0.0,37828,11,99.97092946430931,RECODED DRUG USE,RC-PROVIGIL PRODUCTS- PAST YEAR MISUSE
FUTRQNM21,Binaria,2.0,37827,12,99.96828668833743,RECODED DRUG USE,RC-FIRST MISUSED TRANQUILIZERS PRIOR TO AGE 21
RXZOHYMIS,Binaria,0.0,37826,13,99.96564391236555,RECODED DRUG USE,RC-ZOHYDRO ER - PAST YEAR MISUSE
OTHRSTMMIS,Binaria,0.0,37826,13,99.96564391236555,RECODED DRUG USE,RC-OTHER STIMULANT PRODUCTS - PAST YEAR MISUSE
RXESZOMIS,Binaria,0.0,37826,13,99.96564391236555,RECODED DRUG USE,RC-ESZOPICLONE PRODUCTS - PAST YEAR MISUSE
SALVIAYR,Binaria,0.0,37825,14,99.96300113639367,RECODED DRUG USE,RC-SALVIA - PAST YEAR USE
HLCALL99,Binaria,98.0,37824,15,99.9603583604218,RECODED HEALTH INSURANCE,YES TO MEDICARE/MEDICAID/CHAMPUS/PRVHLTIN
RXBZOSMIS,Binaria,0.0,37824,15,99.9603583604218,RECODED DRUG USE,RC-BENZODIAZEPINE SEDATIVES - PAST YEAR MISUSE
RXDEMEMIS,Binaria,0.0,37823,16,99.9577155844499,RECODED DRUG USE,RC-DEMEROL PRODUCTS - PAST YEAR MISUSE
CADRKHERN2,Binaria,0.0,37822,17,99.95507280847804,RECODED CONSUMPTION OF ALCOHOL,RC-USED HEROIN WITH LAST ALCOHOL USE
DAMTFXMON,Binaria,0.0,37822,17,99.95507280847804,RECODED DRUG USE,RC-DMT/AMT/FOXY - PAST MONTH USE
SYNSTMMON,Binaria,0.0,37822,17,99.95507280847804,RECODED EMERGING ISSUES,RC-SYNTHETIC STIMULANTS - PAST MONTH USE
RXSOMAMIS,Binaria,0.0,37821,18,99.95243003250614,RECODED DRUG USE,RC-SOMA PRODUCTS - PAST YEAR MISUSE
GHBMON,Binaria,0.0,37818,21,99.94450170459051,RECODED SPECIAL DRUGS,RC-GHB - PAST MONTH USE
RXFLURANY,Binaria,0.0,37816,23,99.93921615264674,RECODED DRUG USE,RC-FLURAZEPAM PRODUCTS - ANY PAST YEAR USE
FUSTMNM21,Binaria,2.0,37813,26,99.9312878247311,RECODED DRUG USE,RC-FIRST MISUSED STIMULANTS PRIOR TO AGE 21
PCPYR,Binaria,0.0,37811,28,99.92600227278734,RECODED DRUG USE,RC-PCP - PAST YEAR USE
FUPNRNM21,Binaria,2.0,37810,29,99.92335949681545,RECODED DRUG USE,RC-FIRST MISUSED PAIN RELIEVERS PRIOR TO AGE 21
OTHRTRQMIS,Binaria,0.0,37809,30,99.92071672084357,RECODED DRUG USE,RC-OTHER TRANQUILIZER PRODUCTS - PAST YEAR MISUSE
GHBYR,Binaria,0.0,37806,33,99.91278839292794,RECODED SPECIAL DRUGS,RC-GHB - PAST YEAR USE
SYNSTMYR,Binaria,0.0,37806,33,99.91278839292794,RECODED EMERGING ISSUES,RC-SYNTHETIC STIMULANTS - PAST YEAR USE
RXOXYMMIS,Binaria,0.0,37805,34,99.91014561695604,RECODED DRUG USE,RC-OXYMORPHONE PRODUCTS - PAST YEAR MISUSE
RXANORMIS,Binaria,0.0,37805,34,99.91014561695604,RECODED DRUG USE,RC-ANORECTIC STIMULANTS - PAST YEAR MISUSE
RXHYDMMIS,Binaria,0.0,37804,35,99.90750284098418,RECODED DRUG USE,RC-HYDROMORPHONE PRODUCTS - PAST YEAR MISUSE
RXMTDNMIS,Binaria,0.0,37803,36,99.90486006501229,RECODED DRUG USE,RC-METHADONE PRODUCTS - PAST YEAR MISUSE
