variable,rango_documentado,n_validos_train,pct_validos_train,n_nan_train,n_fuera_rango
PCPYLU,2022 - 2024,21,0.05549829540949814,0,37818
HERYLU,2022 - 2024,67,0.17706599011601787,0,37772
HIVAIDSAG,1 - 59,86,0.22727873358175427,0,37753
CIRROSAGE,1 - 77,88,0.23256428552551597,0,37751
CRKYLU,2022 - 2024,90,0.23784983746927774,0,37749
METHYRLST,2022 - 2024,222,0.5866962657575517,0,37617
INHLYRLST,2022 - 2024,351,0.9276143661301831,0,37488
LSDYLU,2022 - 2024,351,0.9276143661301831,0,37488
HEPBCAGE,1 - 75,360,0.951399349877111,0,37479
ECSTMOYLU,2022 - 2024,370,0.9778271095959196,0,37469
PCPAGLST,8 - 57,522,1.3795290573218109,0,37317
SMKYRLAST,2022 - 2024,595,1.5724517032691139,0,37244
COCYLU,2022 - 2024,651,1.7204471576944422,0,37188
KIDNYDSAG,1 - 89,682,1.8023732128227492,0,37157
HERAGLST,9 - 70,758,2.003224186685695,0,37081
EDUSKPMON,1 - 30,806,2.130077433335976,0,37033
COPDAGE,1 - 89,878,2.3203573033113982,0,36961
EDUSCKMON,1 - 30,953,2.518565501202463,0,36886
CIGDLYLU,2022 - 2024,959,2.5344221570337484,0,36880
CRKAGLST,12 - 77,1071,2.830413065884405,0,36768
IRWELMOS,1 - 12,1519,4.014376701287032,0,36320
HALLYRLST,2022 - 2024,1572,4.154443827796718,0,36267
METHAGLST,5 - 77,1631,4.310367610137689,0,36208
CIGARYLU,2022 - 2024,1800,4.7569967493855545,0,36039
HLCNOTMO,1 - 12,2024,5.348978567086868,0,35815
CIGYLU,2022 - 2024,2076,5.486402917624673,0,35763
NMNGTHS2,1 - 30,2659,7.027141309231216,0,35180
HRTCONDAG,1 - 92,2846,7.521340415972938,0,34993
DIABETEAG,1 - 88,2935,7.756547477470336,0,34904
ECSTMOAGL,11 - 63,3094,8.176748856999392,0,34745
WRKNJBWKS,1 - 52,3303,8.729089035122492,0,34536
WRKSKIPMO,1 - 30,3314,8.75815957081318,0,34525
EDUSKPCOM,0 - 30,3356,8.869156161632178,0,34483
EDUSCKCOM,0 - 30,3359,8.877084489547821,0,34480
INHLAGLST,1 - 75,3456,9.133433758820265,0,34383
LSDAGLST,1 - 84,3643,9.627632865561985,0,34196
SMKAGLAST,2 - 80,3784,10.00026427759719,0,34055
MRJYLU,2022 - 2024,3824,10.105975316472422,0,34015
HIGHBPAGE,1 - 91,3976,10.507677264198314,0,33863
ASTHMAAGE,1 - 85,4241,11.208012896746743,0,33598
COCAGLST,1 - 77,4566,12.066915087608024,0,33273
CIGAVGM,0.5 - 1500,5222,13.80057612516187,32617,0
HALLAGLST,1 - 84,6336,16.744628557837153,0,31503
WRKSICKMO,1 - 30,6514,17.215042680831946,0,31325
CIGDLLST,2 - 88,6879,18.179655910568464,0,30960
ALCYLU,2022 - 2024,7024,18.562858426491186,0,30815
CGRAGLST,3 - 87,9077,23.9884774967626,0,28762
WRKLASTYR2,1986 - 2024,10904,28.816829197388937,0,26935
ALCAGLST,2 - 98,11644,30.772483416580776,0,26195
MRJAGLST,2 - 94,11901,31.45167684135416,0,25938
CIGAGLST,2 - 88,13421,35.46869631861307,0,24418
ALCNUMDKPM,1 - 2040,18078,47.77610401966225,19761,0
WRKDHRSWK2,1 - 60,20399,53.90998705039773,0,17440
NRCH17_2,0 - 2,34105,90.13187452099686,1378,2356
NMVSOPT2,0 - 15,35468,93.73397817067047,0,2371
BMI2,9.3733333333 - 68.557024793,36033,95.22714659478316,1806,0
WTPOUND2,75 - 295,36334,96.02262216231931,0,1505
HTINCHE2,55 - 75,36365,96.1045482174476,0,1474
NMERTMT2,0 - 30,36686,96.95287930442137,0,1153
