variable,n_valores_valid,pct_valores_valid,n_valores_valid_unicos,n_codigos_especiales,codigos_especiales,n_nan_train,tipos_fuera_rango
ALCAGLST,11644,30.772483416580776,92,7,"985, 989, 991, 994, 997, 998, 999",0,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable
ALCNUMDKPM,18078,47.77610401966225,190,0,,19761,Ausencia de exposición
ALCYLU,7024,18.562858426491186,3,7,"9985, 9989, 9991, 9994, 9997, 9998, 9999",0,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable
ASTHMAAGE,4241,11.208012896746743,79,5,"985, 994, 997, 998, 999",0,Asignación lógica | No respuesta o ausencia | Salto legítimo o no aplicable
BMI2,36033,95.22714659478316,2934,0,,1806,No respuesta o ausencia
CGRAGLST,9077,23.9884774967626,79,6,"985, 991, 994, 997, 998, 999",0,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable
CIGAGLST,13421,35.46869631861307,82,6,"985, 991, 994, 997, 998, 999",0,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable
CIGARYLU,1800,4.7569967493855545,3,7,"9985, 9989, 9991, 9994, 9997, 9998, 9999",0,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable
CIGAVGM,5222,13.80057612516187,139,0,,32617,Ausencia de exposición
CIGDLLST,6879,18.179655910568464,76,6,"985, 991, 994, 997, 998, 999",0,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable
CIGDLYLU,959,2.5344221570337484,3,7,"9985, 9989, 9991, 9994, 9997, 9998, 9999",0,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable
CIGYLU,2076,5.486402917624673,3,7,"9985, 9989, 9991, 9994, 9997, 9998, 9999",0,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable
CIRROSAGE,88,0.23256428552551597,48,4,"985, 994, 998, 999",0,Asignación lógica | No respuesta o ausencia | Salto legítimo o no aplicable
COCAGLST,4566,12.066915087608024,64,7,"985, 989, 991, 994, 997, 998, 999",0,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable
COCYLU,651,1.7204471576944422,3,7,"9985, 9989, 9991, 9994, 9997, 9998, 9999",0,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable
COPDAGE,878,2.3203573033113982,84,4,"985, 994, 998, 999",0,Asignación lógica | No respuesta o ausencia | Salto legítimo o no aplicable
CRKAGLST,1071,2.830413065884405,57,6,"985, 991, 994, 997, 998, 999",0,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable
CRKYLU,90,0.23784983746927774,3,7,"9985, 9989, 9991, 9994, 9997, 9998, 9999",0,Asignación lógica | Ausencia de exposición | No respuesta o ausencia | Salto legítimo o no aplicable
