variable,tipo_variable,n_categorias_train,n_nan_train,freq_categoria_menor,pct_categoria_menor,categorias_menor_10,categorias_menor_50,categorias_menor_100
ACTD2001,Categórica con pocas categorías,7,0,1,0.002642775971880864,3,4,4
ACTD7590,Categórica con pocas categorías,7,0,1,0.002642775971880864,3,4,4
ACTD9001,Categórica con pocas categorías,7,0,1,0.002642775971880864,3,4,4
ACTDEVER,Categórica con pocas categorías,6,0,1,0.002642775971880864,2,3,3
ACTDPRIV,Categórica con pocas categorías,7,0,1,0.002642775971880864,3,4,5
ACTDVIET,Categórica con pocas categorías,7,0,1,0.002642775971880864,3,4,4
AGE3,Categórica con pocas categorías,8,0,2986,7.891329052036259,0,0,0
AIRDUSEVER2,Binaria,3,2,2,0.005285551943761728,1,1,1
ALCFLAG,Binaria,2,0,6512,17.209757128888185,0,0,0
ALCMDAYS,Categórica con pocas categorías,5,0,2324,6.141811358651127,0,0,0
ALCMLU,Categórica con número moderado de categorías,19,0,48,0.12685324665028147,0,1,2
ALCMON,Binaria,2,0,18573,49.08427812574328,0,0,0
ALCYDAYS,Categórica con pocas categorías,6,0,1263,3.3378260524855303,0,0,0
ALCYR,Binaria,2,0,12239,32.344935119849886,0,0,0
ALCYRBFR,Categórica con pocas categorías,7,0,1,0.002642775971880864,1,1,2
AMYLNIEVER2,Binaria,3,12,12,0.03171331166257037,0,1,1
ANYHLTI2,Categórica con pocas categorías,5,0,81,0.21406485372234993,0,0,1
ANYNDLREC,Categórica con pocas categorías,7,0,5,0.013213879859404318,1,2,4
ANYNEDFLAG,Binaria,3,217,217,0.5734823858981475,0,0,0
ANYNEDYR,Binaria,3,211,181,0.4783424509104363,0,0,0
APPDRGMON,Categórica con pocas categorías,6,0,1,0.002642775971880864,1,3,3
APPDRGMON2,Binaria,3,300,300,0.792832791564259,0,0,0
ASTHMAEVR2,Categórica con pocas categorías,6,0,10,0.026427759718808636,0,1,1
ASTHMANOW,Categórica con pocas categorías,6,0,10,0.026427759718808636,0,2,2
BKARSON,Categórica con pocas categorías,7,0,5,0.013213879859404318,2,2,3
BKBURGL,Categórica con pocas categorías,8,0,1,0.002642775971880864,2,3,4
BKDRUG,Categórica con pocas categorías,8,0,5,0.013213879859404318,2,2,3
BKDRUNK,Categórica con pocas categorías,8,0,5,0.013213879859404318,2,2,4
BKDRVINF,Categórica con pocas categorías,8,0,5,0.013213879859404318,2,2,3
BKFRAUD,Categórica con pocas categorías,9,0,1,0.002642775971880864,2,4,5
BKLARCNY,Categórica con pocas categorías,9,0,1,0.002642775971880864,3,3,5
BKMVTHFT,Categórica con pocas categorías,8,0,1,0.002642775971880864,2,3,4
BKOTH,Categórica con pocas categorías,9,0,4,0.010571103887523456,1,2,4
BKROB,Categórica con pocas categorías,7,0,5,0.013213879859404318,1,2,3
BKSEXNR,Categórica con pocas categorías,7,0,5,0.013213879859404318,1,2,3
BKSMASLT,Categórica con pocas categorías,8,0,5,0.013213879859404318,1,2,3
BKSRVIOL,Categórica con pocas categorías,9,0,1,0.002642775971880864,3,3,5
BNGDRKMON,Binaria,2,0,9033,23.872195353999842,0,0,0
BNGDRMDAYS,Categórica con pocas categorías,5,0,411,1.086180924443035,0,0,0
BOOKED,Categórica con pocas categorías,7,0,2,0.005285551943761728,1,2,3
BZOANYYR,Binaria,3,45,45,0.11892491873463887,0,1,1
BZONMYR,Binaria,3,8,8,0.02114220777504691,1,1,1
CABLADDER,Categórica con pocas categorías,7,0,3,0.007928327915642592,2,4,4
CABLOLEULYM,Categórica con pocas categorías,7,0,3,0.007928327915642592,2,3,3
CABREAST,Categórica con pocas categorías,7,0,3,0.007928327915642592,2,3,3
CACERVIX,Categórica con pocas categorías,7,0,2,0.005285551943761728,2,3,4
CACOLNRECT,Categórica con pocas categorías,7,0,3,0.007928327915642592,2,3,4
CADRKCOCN2,Binaria,3,38,38,0.10042548693147282,0,1,2
CADRKHALL2,Binaria,3,109,34,0.08985438304394937,0,1,1
CADRKHERN2,Binaria,3,10,7,0.018499431803166044,1,2,2
CADRKINHL2,Binaria,3,37,20,0.05285551943761727,0,2,2
CADRKMARJ2,Binaria,3,292,292,0.7716905837892122,0,0,0
CADRKMETH2,Binaria,3,24,24,0.06342662332514074,0,1,2
CAESOPSTOM,Categórica con pocas categorías,7,0,3,0.007928327915642592,2,4,4
CAGALLIVPAN,Categórica con pocas categorías,7,0,3,0.007928327915642592,2,4,4
CAIDCHIP,Categórica con pocas categorías,6,0,50,0.13213879859404318,0,0,2
CAKIDNEY,Categórica con pocas categorías,7,0,3,0.007928327915642592,2,3,4
CALARYLUNG,Categórica con pocas categorías,7,0,3,0.007928327915642592,2,4,4
CAMELANOM,Categórica con pocas categorías,7,0,3,0.007928327915642592,2,3,3
CAMHPROB,Categórica con pocas categorías,6,0,2,0.005285551943761728,1,1,1
CAMHPROB2,Binaria,3,1251,1251,3.3061127408229605,0,0,0
CAMHRCVR,Categórica con pocas categorías,7,0,2,0.005285551943761728,2,2,3
CAMOUTTHRO,Categórica con pocas categorías,7,0,3,0.007928327915642592,2,4,4
CANCEREVR2,Categórica con pocas categorías,6,0,9,0.023784983746927772,1,1,1
CANCERYR,Categórica con pocas categorías,9,0,1,0.002642775971880864,4,4,4
CAOTHER2,Categórica con pocas categorías,7,0,3,0.007928327915642592,2,3,3
CAOVARY,Categórica con pocas categorías,7,0,2,0.005285551943761728,2,4,4
CAPROSTEST,Categórica con pocas categorías,7,0,1,0.002642775971880864,2,3,3
CASKINDK,Categórica con pocas categorías,7,0,3,0.007928327915642592,2,3,4
CASKINOTH,Categórica con pocas categorías,7,0,3,0.007928327915642592,2,3,3
CASUPROB,Categórica con pocas categorías,6,0,2,0.005285551943761728,1,1,1
CASUPROB2,Binaria,3,1268,1268,3.3510399323449356,0,0,0
CASURCVR,Categórica con pocas categorías,7,0,1,0.002642775971880864,3,3,3
CATAG2,Binaria,2,0,11338,29.963793969185232,0,0,0
CATAG3,Categórica con pocas categorías,4,0,7644,20.201379529057323,0,0,0
CATAG6,Categórica con pocas categorías,5,0,4164,11.004519146911916,0,0,0
CATAG7,Categórica con pocas categorías,4,0,3991,10.547318903776528,0,0,0
CATAGE,Categórica con pocas categorías,3,0,7644,20.201379529057323,0,0,0
CATHYROID,Categórica con pocas categorías,7,0,3,0.007928327915642592,2,3,4
CAUTERUS,Categórica con pocas categorías,7,0,2,0.005285551943761728,2,3,4
CBDHMPFLAG,Binaria,2,0,13919,36.784798752609746,0,0,0
CBDHMPMON,Binaria,2,0,4108,10.856523692486588,0,0,0
CBDHMPYR,Binaria,2,0,7444,19.67282433468115,0,0,0
