variable_1,variable_2,n_comunes,correlacion_spearman,correlacion_absoluta
EDUSKPCOM,EDUSKPMON,806,1.0,1.0
EDUSCKCOM,EDUSCKMON,953,1.0,1.0
CIGAGLST,CIGDLLST,5450,0.8766419040894621,0.8766419040894621
BMI2,WTPOUND2,36033,0.8646543999744064,0.8646543999744064
ECSTMOAGL,HALLAGLST,2837,0.832299933677224,0.832299933677224
COCAGLST,CRKAGLST,1016,0.8315450099660755,0.8315450099660755
HALLAGLST,LSDAGLST,3382,0.7727752621991455,0.7727752621991455
CRKAGLST,METHAGLST,565,0.68450289764685,0.68450289764685
ECSTMOAGL,LSDAGLST,1743,0.6820911978772343,0.6820911978772343
HIGHBPAGE,HRTCONDAG,1013,0.6430082769563028,0.6430082769563028
DIABETEAG,HIGHBPAGE,1101,0.6360499716235598,0.6360499716235598
COCAGLST,ECSTMOAGL,1932,0.6357654700846115,0.6357654700846115
COCAGLST,HERAGLST,635,0.6227040746570246,0.6227040746570246
DIABETEAG,HRTCONDAG,637,0.6013229630935959,0.6013229630935959
COCAGLST,METHAGLST,1178,0.5907049168690698,0.5907049168690698
ECSTMOAGL,METHAGLST,754,0.5759762144568128,0.5759762144568128
WRKSICKMO,WRKSKIPMO,2244,0.5725280529137784,0.5725280529137784
ALCAGLST,CIGDLLST,2645,0.5635234709777154,0.5635234709777154
EDUSCKMON,EDUSKPMON,502,0.5626523373004851,0.5626523373004851
COCAGLST,HALLAGLST,3127,0.5599537435051248,0.5599537435051248
CRKAGLST,ECSTMOAGL,532,0.5571099960258512,0.5571099960258512
ALCAGLST,HRTCONDAG,1120,0.5502081369963364,0.5502081369963364
ALCAGLST,CGRAGLST,2599,0.5389131827844825,0.5389131827844825
ALCAGLST,DIABETEAG,1278,0.5293062062184286,0.5293062062184286
CGRAGLST,CIGDLLST,3086,0.528651164790117,0.528651164790117
ALCAGLST,MRJAGLST,4242,0.5141913209933802,0.5141913209933802
CGRAGLST,CIGAGLST,5706,0.5104552471794731,0.5104552471794731
HALLAGLST,HERAGLST,578,0.5062772600028372,0.5062772600028372
CIGDLLST,CRKAGLST,563,0.5056108376970188,0.5056108376970188
CIGDLLST,METHAGLST,833,0.48464011119076605,0.48464011119076605
COCAGLST,LSDAGLST,2182,0.4801847432533053,0.4801847432533053
ALCAGLST,CIGAGLST,4499,0.4648885113897561,0.4648885113897561
ALCAGLST,HIGHBPAGE,1531,0.4598243521984846,0.4598243521984846
HALLAGLST,METHAGLST,1157,0.45748732759130173,0.45748732759130173
ALCAGLST,CRKAGLST,523,0.4545798146814194,0.4545798146814194
ECSTMOAGL,MRJAGLST,1404,0.45182446625584205,0.45182446625584205
CRKAGLST,MRJAGLST,534,0.44912365840137053,0.44912365840137053
ALCAGLST,WRKLASTYR2,4032,-0.4471751594602465,0.4471751594602465
COCAGLST,MRJAGLST,2353,0.44676414043634566,0.44676414043634566
CGRAGLST,CRKAGLST,533,0.4450671333048624,0.4450671333048624
ECSTMOAGL,INHLAGLST,1134,0.44402586128950366,0.44402586128950366
CIGAGLST,SMKAGLAST,2380,0.44055727566723374,0.44055727566723374
CIGAGLST,CRKAGLST,506,0.43529580450982963,0.43529580450982963
EDUSCKCOM,EDUSKPCOM,3349,0.43516245959305494,0.43516245959305494
INHLAGLST,LSDAGLST,1348,0.43087326836201856,0.43087326836201856
CGRAGLST,SMKAGLAST,2454,0.42998328319676205,0.42998328319676205
CIGAGLST,COCAGLST,2695,0.4256597134154415,0.4256597134154415
ALCAGLST,ECSTMOAGL,971,0.4240510937333097,0.4240510937333097
HTINCHE2,WTPOUND2,36033,0.42403634473811574,0.42403634473811574
CIGDLLST,DIABETEAG,840,0.4239235132439045,0.4239235132439045
CGRAGLST,COCAGLST,2296,0.4179361107212244,0.4179361107212244
CGRAGLST,ECSTMOAGL,1559,0.41744949240636287,0.41744949240636287
CIGDLLST,ECSTMOAGL,1302,0.41473969955412204,0.41473969955412204
CGRAGLST,MRJAGLST,4410,0.41388735445316616,0.41388735445316616
CIGDLLST,COCAGLST,2061,0.4132226829061064,0.4132226829061064
LSDAGLST,METHAGLST,875,0.4091947173216361,0.4091947173216361
CIGAGLST,MRJAGLST,6383,0.40701302529651046,0.40701302529651046
CIGAGLST,METHAGLST,804,0.40405312801599846,0.40405312801599846
ALCAGLST,ASTHMAAGE,1461,0.40009867317734327,0.40009867317734327
CRKAGLST,HALLAGLST,783,0.39325648300379834,0.39325648300379834
ALCAGLST,METHAGLST,784,0.39259046638106504,0.39259046638106504
CGRAGLST,METHAGLST,776,0.3853160035030247,0.3853160035030247
CIGDLLST,SMKAGLAST,1510,0.38495652019628124,0.38495652019628124
HALLAGLST,MRJAGLST,3038,0.3836949903420299,0.3836949903420299
CRKAGLST,LSDAGLST,631,0.38297052027832235,0.38297052027832235
CIGDLLST,MRJAGLST,3285,0.3799160424434718,0.3799160424434718
ALCAGLST,COCAGLST,1548,0.3792782888481752,0.3792782888481752
HALLAGLST,INHLAGLST,1838,0.37841016234070285,0.37841016234070285
CIGAGLST,ECSTMOAGL,1747,0.36623043768764374,0.36623043768764374
ALCYLU,MRJYLU,989,0.36596842850493777,0.36596842850493777
COCAGLST,INHLAGLST,1520,0.3581659749707774,0.3581659749707774
CIGDLLST,WRKLASTYR2,2484,-0.35513884795085454,0.35513884795085454
HRTCONDAG,WRKLASTYR2,1438,-0.3505924387436936,0.3505924387436936
ASTHMAAGE,WRKLASTYR2,1257,-0.34641526642153136,0.34641526642153136
ASTHMAAGE,HIGHBPAGE,571,0.34218344071298634,0.34218344071298634
CGRAGLST,CIGAVGM,1704,0.34075847803238724,0.34075847803238724
CGRAGLST,HALLAGLST,3059,0.33657954118853733,0.33657954118853733
METHAGLST,MRJAGLST,818,0.3363740818061431,0.3363740818061431
CIGDLLST,HRTCONDAG,841,0.3358111887498007,0.3358111887498007
CIGAGLST,HALLAGLST,3624,0.3250342929142541,0.3250342929142541
ALCAGLST,SMKAGLAST,1215,0.3201177402316244,0.3201177402316244
ALCAGLST,HALLAGLST,1993,0.3161955569810974,0.3161955569810974
CGRAGLST,WRKLASTYR2,2355,-0.31323898674555073,0.31323898674555073
INHLAGLST,METHAGLST,642,0.31308162138239587,0.31308162138239587
CGRAGLST,LSDAGLST,1880,0.3129385262910421,0.3129385262910421
ALCAGLST,INHLAGLST,1155,0.31112882502559713,0.31112882502559713
CIGAVGM,CIGDLLST,1376,0.30977920130017217,0.30977920130017217
EDUSCKCOM,EDUSKPMON,806,0.3092575846025886,0.3092575846025886
CGRAGLST,HRTCONDAG,918,0.30867205329226916,0.30867205329226916
ECSTMOAGL,SMKAGLAST,857,0.3083611947649387,0.3083611947649387
DIABETEAG,WRKLASTYR2,1365,-0.3078221600286007,0.3078221600286007
CIGAGLST,WRKLASTYR2,3943,-0.3001935429793071,0.3001935429793071
DIABETEAG,NRCH17_2,2756,-0.29953256285062013,0.29953256285062013
LSDAGLST,MRJAGLST,1641,0.2994788689360331,0.2994788689360331
COCAGLST,SMKAGLAST,1270,0.29639745593279876,0.29639745593279876
KIDNYDSAG,NRCH17_2,662,-0.28879062329356736,0.28879062329356736
HIGHBPAGE,NRCH17_2,3800,-0.2880365717302407,0.2880365717302407
INHLAGLST,MRJAGLST,1631,0.28542757660053497,0.28542757660053497
METHAGLST,SMKAGLAST,518,0.2813196189394387,0.2813196189394387
CRKAGLST,NRCH17_2,991,-0.27879866088821637,0.27879866088821637
CIGAGLST,DIABETEAG,1277,0.2772865481917209,0.2772865481917209
NMERTMT2,NMVSOPT2,35281,0.2770725941285425,0.2770725941285425
ASTHMAAGE,CIGDLLST,839,0.2740387380163824,0.2740387380163824
HALLAGLST,SMKAGLAST,1524,0.2737606853363866,0.2737606853363866
LSDAGLST,SMKAGLAST,1010,0.27325378507804515,0.27325378507804515
CIGAGLST,LSDAGLST,2160,0.27071907126176376,0.27071907126176376
MRJAGLST,WRKLASTYR2,3373,-0.2704397728578047,0.2704397728578047
CIGDLLST,HALLAGLST,2406,0.26701828308748876,0.26701828308748876
CGRAGLST,DIABETEAG,788,0.2627702118468705,0.2627702118468705
CIGAGLST,INHLAGLST,1862,0.25657725421851807,0.25657725421851807
HIGHBPAGE,WTPOUND2,3918,-0.2558259076336392,0.2558259076336392
MRJAGLST,SMKAGLAST,1779,0.25512770612408536,0.25512770612408536
HRTCONDAG,NRCH17_2,2690,-0.2539665730484274,0.2539665730484274
ALCAGLST,CIGAVGM,1761,0.25301895518217987,0.25301895518217987
CIGAGLST,HRTCONDAG,1334,0.25194356746341096,0.25194356746341096
BMI2,HIGHBPAGE,3905,-0.2505413838211433,0.2505413838211433
HRTCONDAG,MRJAGLST,1038,0.24754642504066884,0.24754642504066884
CIGAVGM,CIGDLYLU,608,0.24620891413539733,0.24620891413539733
CIGDLLST,HIGHBPAGE,1206,0.24581980077179957,0.24581980077179957
COPDAGE,NRCH17_2,836,-0.2372322435388606,0.2372322435388606
SMKAGLAST,WRKLASTYR2,1007,-0.23543673657790595,0.23543673657790595
CGRAGLST,INHLAGLST,1699,0.23527767688730175,0.23527767688730175
COPDAGE,WRKLASTYR2,513,-0.23505581652179525,0.23505581652179525
DIABETEAG,MRJAGLST,1019,0.23286666750762844,0.23286666750762844
EDUSCKMON,EDUSKPCOM,948,0.22946781499543675,0.22946781499543675
CIGAVGM,WRKLASTYR2,1920,-0.22379721549242668,0.22379721549242668
CIGAVGM,COCAGLST,1445,0.2205720442397831,0.2205720442397831
INHLAGLST,SMKAGLAST,887,0.21986414665017934,0.21986414665017934
CGRAGLST,HIGHBPAGE,1263,0.21822956170343977,0.21822956170343977
NMERTMT2,NMNGTHS2,2648,0.21611053847294417,0.21611053847294417
HRTCONDAG,NMVSOPT2,2565,0.20825411954713557,0.20825411954713557
CIGAVGM,MRJAGLST,1795,0.2070966151602018,0.2070966151602018
ALCAGLST,NMVSOPT2,10988,0.20593336185372474,0.20593336185372474
NMVSOPT2,WRKLASTYR2,10242,-0.20387428363876403,0.20387428363876403
IRWELMOS,WRKLASTYR2,621,-0.19971444908993322,0.19971444908993322
COCAGLST,WRKLASTYR2,1378,-0.19801671485566052,0.19801671485566052
ALCAGLST,LSDAGLST,1210,0.19648941904842043,0.19648941904842043
ASTHMAAGE,CIGAGLST,1595,0.19475437294238257,0.19475437294238257
