columna_transformada,variable_original,tipo_representacion,categoria
ALCAGLST,ALCAGLST,Numérica,
ALCNUMDKPM,ALCNUMDKPM,Numérica,
ALCYLU,ALCYLU,Numérica,
ASTHMAAGE,ASTHMAAGE,Numérica,
BMI2,BMI2,Numérica,
CGRAGLST,CGRAGLST,Numérica,
CIGAGLST,CIGAGLST,Numérica,
CIGARYLU,CIGARYLU,Numérica,
CIGAVGM,CIGAVGM,Numérica,
CIGDLLST,CIGDLLST,Numérica,
CIGDLYLU,CIGDLYLU,Numérica,
CIGYLU,CIGYLU,Numérica,
CIRROSAGE,CIRROSAGE,Numérica,
COCAGLST,COCAGLST,Numérica,
COCYLU,COCYLU,Numérica,
COPDAGE,COPDAGE,Numérica,
CRKAGLST,CRKAGLST,Numérica,
CRKYLU,CRKYLU,Numérica,
DIABETEAG,DIABETEAG,Numérica,
ECSTMOAGL,ECSTMOAGL,Numérica,
ECSTMOYLU,ECSTMOYLU,Numérica,
EDUSCKCOM,EDUSCKCOM,Numérica,
EDUSCKMON,EDUSCKMON,Numérica,
EDUSKPCOM,EDUSKPCOM,Numérica,
EDUSKPMON,EDUSKPMON,Numérica,
HALLAGLST,HALLAGLST,Numérica,
HALLYRLST,HALLYRLST,Numérica,
HEPBCAGE,HEPBCAGE,Numérica,
HERAGLST,HERAGLST,Numérica,
HERYLU,HERYLU,Numérica,
HIGHBPAGE,HIGHBPAGE,Numérica,
HIVAIDSAG,HIVAIDSAG,Numérica,
HLCNOTMO,HLCNOTMO,Numérica,
HRTCONDAG,HRTCONDAG,Numérica,
HTINCHE2,HTINCHE2,Numérica,
INHLAGLST,INHLAGLST,Numérica,
INHLYRLST,INHLYRLST,Numérica,
IRWELMOS,IRWELMOS,Numérica,
KIDNYDSAG,KIDNYDSAG,Numérica,
LSDAGLST,LSDAGLST,Numérica,
LSDYLU,LSDYLU,Numérica,
METHAGLST,METHAGLST,Numérica,
METHYRLST,METHYRLST,Numérica,
MRJAGLST,MRJAGLST,Numérica,
MRJYLU,MRJYLU,Numérica,
NMERTMT2,NMERTMT2,Numérica,
NMNGTHS2,NMNGTHS2,Numérica,
NMVSOPT2,NMVSOPT2,Numérica,
NRCH17_2,NRCH17_2,Numérica,
PCPAGLST,PCPAGLST,Numérica,
PCPYLU,PCPYLU,Numérica,
SMKAGLAST,SMKAGLAST,Numérica,
SMKYRLAST,SMKYRLAST,Numérica,
WRKDHRSWK2,WRKDHRSWK2,Numérica,
WRKLASTYR2,WRKLASTYR2,Numérica,
WRKNJBWKS,WRKNJBWKS,Numérica,
WRKSICKMO,WRKSICKMO,Numérica,
WRKSKIPMO,WRKSKIPMO,Numérica,
WTPOUND2,WTPOUND2,Numérica,
ACTD2001_2,ACTD2001,Categórica,2
ACTD2001_85,ACTD2001,Categórica,85
ACTD2001_94,ACTD2001,Categórica,94
ACTD2001_97,ACTD2001,Categórica,97
ACTD2001_98,ACTD2001,Categórica,98
ACTD2001_99,ACTD2001,Categórica,99
ACTD7590_2,ACTD7590,Categórica,2
ACTD7590_85,ACTD7590,Categórica,85
ACTD7590_94,ACTD7590,Categórica,94
ACTD7590_97,ACTD7590,Categórica,97
ACTD7590_98,ACTD7590,Categórica,98
ACTD7590_99,ACTD7590,Categórica,99
