variable_original,puntuacion_media,puntuacion_max,targets_2_metodos,targets_3_metodos,targets_puntuacion_090,targets_puntuacion_095
CAMHRCVR,0.984009840098401,0.986469864698647,4,4,4,4
CAMHPROB,0.98359983599836,0.9860598605986061,4,4,4,4
CAMHPROB2,0.9820623206232062,0.985649856498565,4,4,4,4
UD5ILLANY,0.9562320623206233,0.972939729397294,4,4,4,2
UD5ILALANY,0.9563345633456335,0.9729397293972939,4,4,4,3
SVYRDUDANY,0.957359573595736,0.9684296842968431,4,4,4,3
SVYRSUDANY,0.951209512095121,0.9536695366953669,4,4,4,3
MRJAGLST,0.9336305863058632,0.965559655596556,4,3,3,2
DRVINDETAG,0.9249179991799918,0.951209512095121,3,3,3,1
ILLYR,0.9239442394423945,0.947929479294793,3,3,3,0
CATAG2,0.9199979499794999,0.940139401394014,3,3,3,0
SEXAGE,0.9211254612546126,0.939729397293973,3,3,3,0
DRVINAGE,0.9158979089790897,0.938089380893809,3,3,3,0
HALLYRLST,0.9243029930299304,0.9551045510455105,4,2,3,1
NMERTMT2,0.9279417794177942,0.9872898728987289,3,2,3,2
ILIMFOTHYR,0.9134891348913489,0.9446494464944649,3,2,3,0
CATAG7,0.9129766297662976,0.940139401394014,3,2,3,0
CATAGE,0.9107216072160722,0.938089380893809,2,2,2,0
NMNGTHS2,0.890221402214022,0.9852398523985239,4,1,2,1
INHLAGLST,0.9193829438294383,0.9477244772447723,4,1,3,0
MRJYLU,0.8643911439114391,0.9475194751947519,4,1,2,0
LVLDIFMEM2,0.9292742927429274,0.979089790897909,3,1,3,1
MJVAPFLAG,0.8966789667896679,0.941779417794178,3,1,3,0
MRJYDAYS,0.8907339073390734,0.9393193931939319,3,1,2,0
RCVYMHPRB,0.8642886428864289,0.976219762197622,2,1,2,1
CBDHMPFLAG,0.8024805248052481,0.947109471094711,2,1,2,0
HPDRGTALK,0.8128331283312833,0.9409594095940959,2,1,2,0
HALLAGLST,0.892220172201722,0.9391143911439115,2,1,2,0
NOMARR2,0.9093890938909389,0.938089380893809,2,1,3,0
RKFQDBLT,0.8140631406314063,0.941369413694137,1,1,1,0
NICVAPYR,0.8916564165641656,0.938089380893809,1,1,2,0
ILIMFOTHFG,0.7890528905289053,0.9343993439934399,1,1,1,0
IRMARIT,0.905289052890529,0.9343993439934399,1,1,2,0
INHOSPYR,0.7216072160721607,0.93029930299303,1,1,1,0
TQSDANYFLG,0.7144321443214432,0.9290692906929069,1,1,1,0
IRPRVHLT,0.7068470684706847,0.9192291922919229,1,1,1,0
ENRLCOLLST2,0.8765887658876589,0.9186141861418614,1,1,2,0
PREGST,0.6671791717917179,0.9093890938909389,1,1,1,0
PREGSTAT,0.6731242312423125,0.9081590815908159,1,1,1,0
WRKSKIPMO,0.9007790077900779,0.951209512095121,4,0,2,1
ECSTMOAGL,0.8964227142271424,0.9331693316933171,4,0,3,0
