variable_1,variable_2,v_cramer
PREGST,PREGSTAT,1.0
CATAGE,DRVINAGE,1.0
CATAG3,CATAGE,1.0
CAMHRCVR,RCVYMHPRB,1.0
CATAG7,CATAGE,1.0
CATAG3,DRVINAGE,1.0
DRVINAGE,SEXAGE,1.0
CATAG7,DRVINAGE,1.0
CATAG7,DRVINDETAG,1.0
MRJYDAYS,MRJYR,1.0
ENRLCOLLFT2,ENRLCOLLST2,1.0
CATAG2,SEXAGE,1.0
CATAG2,DRVINDETAG,1.0
CATAG2,CATAG3,1.0
CATAG2,CATAG7,1.0
CATAG2,CATAGE,1.0
SVYRDUDANY,UD5ILLANY,1.0
DRVINAGE,DRVINDETAG,1.0
SVYRSUDANY,UD5ILALANY,1.0
CAMHPROB,CAMHPROB2,0.9999999999999999
CATAG2,DRVINAGE,0.9999370332989961
CAMHPROB2,CAMHRCVR,0.9997791598991768
MRJFLAG,MRJYRBFR,0.999467108978065
DRVINMARJ,MRJFLAG,0.9994453890142366
MRJFLAG,MRJMLU,0.9994450197035732
DRVINMARJ,MRJYR,0.9981565885786489
HPDRGTALK,ILLFLAG,0.9677453099885419
HPDRGTALK,MRJYR,0.9600281025822534
ILLMON,MRJMONVAP2,0.9548424838777069
ILLMON,MRJMDAYS,0.9548424838777069
HPDRGTALK,ILLYR,0.9481320535163007
HPDRGTALK,MRJFLAG,0.9469755048000159
ILLYR,MRJYDAYS,0.9267976137397161
ILLYR,MRJYR,0.9267342026539358
DRVINMARJ,ILLYR,0.9261298634407102
ILLFLAG,MRJFLAG,0.9223763050869137
ILLFLAG,MRJYRBFR,0.9219528635050397
ILLFLAG,MRJMLU,0.9219293884097428
DRVINMARJ,ILLFLAG,0.9219254168041995
ILIMFOTHMN,ILLMON,0.912775909661762
ILIMFOTHFG,ILLFLAG,0.9124222329466211
ILLANDALC,ILLYR,0.8924317724349307
ILIMFOTHYR,ILLYR,0.8898202591823614
HPDRGTALK,ILIMFOTHFG,0.8830830371175759
IRPYSEV5MRJ,UD5ILLANY,0.8720598254136783
ILIMFOTHMN,MRJMONVAP2,0.8716297499248695
ILIMFOTHMN,MRJMDAYS,0.8716297499248695
HPDRGTALK,ILLANDALC,0.8664548224460547
CAMHPROB2,RCVYMHPRB,0.8600462041291327
CAMHPROB,RCVYMHPRB,0.8600462041291327
MJSMKYR,MRJYDAYS,0.8565314155935454
ILLANDALC,MRJYDAYS,0.8564144711493658
ILLANDALC,MRJYR,0.8556784806170202
DRVINMARJ,ILLANDALC,0.8556149436215951
ILLMON,MRJYDAYS,0.8491599074977894
HPDRGTALK,ILIMFOTHYR,0.8482932294643125
IRPYSEV5MRJ,SVYRDUDANY,0.8444246096442868
ILIMFOTHFG,MRJFLAG,0.8416415246001252
DRVINMARJ,MJSMKYR,0.8414121193690342
ILIMFOTHFG,MRJYRBFR,0.8413472157358733
DRVINMARJ,ILIMFOTHFG,0.8413370300908468
ILIMFOTHFG,MRJMLU,0.8413344821174005
MJSMKYR,MRJYR,0.8370253736231075
NICVAPYR,TOBVAPONL2,0.8347611656198711
DRVINMARJ,ILIMFOTHYR,0.8297815098721492
NICVAPYR,NICVPMDAYS,0.8290100261816735
ILIMFOTHYR,MRJYDAYS,0.8247381659097932
ILIMFOTHYR,MRJYR,0.8246771001042981
CATAG3,CATAG7,0.816496580927726
HPDRGTALK,MJSMKYR,0.8039074948476876
DRVINMARJ,FUMJ21,0.8005205672422349
FUMJ21,MRJYRBFR,0.7991172289602312
FUMJ21,MRJMLU,0.7988885480373844
FUMJ21,MRJFLAG,0.7970503001257195
LVLDIFCARE2,LVLDIFMEM2,0.796777471955689
ILIMFOTHYR,ILLANDALC,0.7941519918882722
LVLDIFCARE2,LVLDIFCOMM2,0.7927387182771369
ILIMFOTHMN,MRJYDAYS,0.7896717369021241
LVLDIFCOMM2,LVLDIFMEM2,0.7884015325960356
MRJMONVAP2,MRJYR,0.7855729129006167
