variable_1,variable_2,v_cramer,nombre_1,nombre_2,n_categorias_1,n_categorias_2,tipo_relacion,relacion
PREGST,PREGSTAT,1.0,RC-PREGNANCY STATUS OF FEMALES AGED 12-50,CURRENTLY PREGNANT (FEMALES AGED 12-50),4,7,Variable 2 determina variable 1,CURRENTLY PREGNANT (FEMALES AGED 12-50) determina RC-PREGNANCY STATUS OF FEMALES AGED 12-50
CATAGE,DRVINAGE,1.0,RC-AGE CATEGORY,RC-DUI AGE CATEGORY RECODE,3,2,Variable 1 determina variable 2,RC-AGE CATEGORY determina RC-DUI AGE CATEGORY RECODE
CATAG3,CATAGE,1.0,RC-AGE CATEGORY RECODE (5 LEVELS),RC-AGE CATEGORY,4,3,Variable 1 determina variable 2,RC-AGE CATEGORY RECODE (5 LEVELS) determina RC-AGE CATEGORY
CAMHRCVR,RCVYMHPRB,1.0,THINK IN RECOVERY FROM MENTAL HEALTH PROBLEM,RC-PERCEIVED RECOVERY FROM MENTAL HEALTH ISSUE,7,3,Variable 1 determina variable 2,THINK IN RECOVERY FROM MENTAL HEALTH PROBLEM determina RC-PERCEIVED RECOVERY FROM MENTAL HEALTH ISSUE
CATAG7,CATAGE,1.0,RC-AGE CATEGORY RECODE (7 LEVELS),RC-AGE CATEGORY,4,3,Variable 1 determina variable 2,RC-AGE CATEGORY RECODE (7 LEVELS) determina RC-AGE CATEGORY
CATAG3,DRVINAGE,1.0,RC-AGE CATEGORY RECODE (5 LEVELS),RC-DUI AGE CATEGORY RECODE,4,2,Variable 1 determina variable 2,RC-AGE CATEGORY RECODE (5 LEVELS) determina RC-DUI AGE CATEGORY RECODE
DRVINAGE,SEXAGE,1.0,RC-DUI AGE CATEGORY RECODE,RC-COMBINED SEX BY AGE CATEGORY INDICATOR,2,3,Variable 2 determina variable 1,RC-COMBINED SEX BY AGE CATEGORY INDICATOR determina RC-DUI AGE CATEGORY RECODE
CATAG7,DRVINAGE,1.0,RC-AGE CATEGORY RECODE (7 LEVELS),RC-DUI AGE CATEGORY RECODE,4,2,Variable 1 determina variable 2,RC-AGE CATEGORY RECODE (7 LEVELS) determina RC-DUI AGE CATEGORY RECODE
CATAG7,DRVINDETAG,1.0,RC-AGE CATEGORY RECODE (7 LEVELS),RC-DUI DETAILED AGE CATEGORY RECODE,4,3,Variable 1 determina variable 2,RC-AGE CATEGORY RECODE (7 LEVELS) determina RC-DUI DETAILED AGE CATEGORY RECODE
MRJYDAYS,MRJYR,1.0,RC-# OF DAYS USED MARIJUANA IN PAST YEAR,RC-MARIJUANA - PAST YEAR USE,6,2,Variable 1 determina variable 2,RC-# OF DAYS USED MARIJUANA IN PAST YEAR determina RC-MARIJUANA - PAST YEAR USE
