variable_1,variable_2,v_cramer,nombre_1,nombre_2,n_categorias_1,n_categorias_2,tipo_relacion,relacion,puntuacion_max_1,targets_regla_final_1,targets_regla_detalle_1,puntuacion_max_2,targets_regla_final_2,targets_regla_detalle_2,variable_determinante,variable_determinada,nombre_determinante,nombre_determinada,revision
PREGST,PREGSTAT,1.0,RC-PREGNANCY STATUS OF FEMALES AGED 12-50,CURRENTLY PREGNANT (FEMALES AGED 12-50),4,7,Variable 2 determina variable 1,CURRENTLY PREGNANT (FEMALES AGED 12-50) determina RC-PREGNANCY STATUS OF FEMALES AGED 12-50,0.9093890938909389,1,IRAMDEYR,0.9081590815908159,1,IRAMDEYR,PREGSTAT,PREGST,CURRENTLY PREGNANT (FEMALES AGED 12-50),RC-PREGNANCY STATUS OF FEMALES AGED 12-50,Revisar posible retirada de la variable determinada
CATAGE,DRVINAGE,1.0,RC-AGE CATEGORY,RC-DUI AGE CATEGORY RECODE,3,2,Variable 1 determina variable 2,RC-AGE CATEGORY determina RC-DUI AGE CATEGORY RECODE,0.938089380893809,2,"IRSUICTHNK, IRSUIPLANYR",0.938089380893809,3,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",CATAGE,DRVINAGE,RC-AGE CATEGORY,RC-DUI AGE CATEGORY RECODE,Revisar posible retirada de la variable determinada
CATAG3,CATAGE,1.0,RC-AGE CATEGORY RECODE (5 LEVELS),RC-AGE CATEGORY,4,3,Variable 1 determina variable 2,RC-AGE CATEGORY RECODE (5 LEVELS) determina RC-AGE CATEGORY,0.8905289052890529,1,IRSUICTHNK,0.938089380893809,2,"IRSUICTHNK, IRSUIPLANYR",CATAG3,CATAGE,RC-AGE CATEGORY RECODE (5 LEVELS),RC-AGE CATEGORY,Revisar posible retirada de la variable determinada
CAMHRCVR,RCVYMHPRB,1.0,THINK IN RECOVERY FROM MENTAL HEALTH PROBLEM,RC-PERCEIVED RECOVERY FROM MENTAL HEALTH ISSUE,7,3,Variable 1 determina variable 2,THINK IN RECOVERY FROM MENTAL HEALTH PROBLEM determina RC-PERCEIVED RECOVERY FROM MENTAL HEALTH ISSUE,0.986469864698647,4,"IRAMDEYR, IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",0.976219762197622,2,"IRAMDEYR, IRSUICTHNK",CAMHRCVR,RCVYMHPRB,THINK IN RECOVERY FROM MENTAL HEALTH PROBLEM,RC-PERCEIVED RECOVERY FROM MENTAL HEALTH ISSUE,Revisar posible retirada de la variable determinada
CATAG7,CATAGE,1.0,RC-AGE CATEGORY RECODE (7 LEVELS),RC-AGE CATEGORY,4,3,Variable 1 determina variable 2,RC-AGE CATEGORY RECODE (7 LEVELS) determina RC-AGE CATEGORY,0.940139401394014,2,"IRSUICTHNK, IRSUIPLANYR",0.938089380893809,2,"IRSUICTHNK, IRSUIPLANYR",CATAG7,CATAGE,RC-AGE CATEGORY RECODE (7 LEVELS),RC-AGE CATEGORY,Revisar posible retirada de la variable determinada
CATAG3,DRVINAGE,1.0,RC-AGE CATEGORY RECODE (5 LEVELS),RC-DUI AGE CATEGORY RECODE,4,2,Variable 1 determina variable 2,RC-AGE CATEGORY RECODE (5 LEVELS) determina RC-DUI AGE CATEGORY RECODE,0.8905289052890529,1,IRSUICTHNK,0.938089380893809,3,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",CATAG3,DRVINAGE,RC-AGE CATEGORY RECODE (5 LEVELS),RC-DUI AGE CATEGORY RECODE,Revisar posible retirada de la variable determinada
DRVINAGE,SEXAGE,1.0,RC-DUI AGE CATEGORY RECODE,RC-COMBINED SEX BY AGE CATEGORY INDICATOR,2,3,Variable 2 determina variable 1,RC-COMBINED SEX BY AGE CATEGORY INDICATOR determina RC-DUI AGE CATEGORY RECODE,0.938089380893809,3,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",0.939729397293973,3,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",SEXAGE,DRVINAGE,RC-COMBINED SEX BY AGE CATEGORY INDICATOR,RC-DUI AGE CATEGORY RECODE,Revisar posible retirada de la variable determinada
CATAG7,DRVINAGE,1.0,RC-AGE CATEGORY RECODE (7 LEVELS),RC-DUI AGE CATEGORY RECODE,4,2,Variable 1 determina variable 2,RC-AGE CATEGORY RECODE (7 LEVELS) determina RC-DUI AGE CATEGORY RECODE,0.940139401394014,2,"IRSUICTHNK, IRSUIPLANYR",0.938089380893809,3,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",CATAG7,DRVINAGE,RC-AGE CATEGORY RECODE (7 LEVELS),RC-DUI AGE CATEGORY RECODE,Revisar posible retirada de la variable determinada
CATAG7,DRVINDETAG,1.0,RC-AGE CATEGORY RECODE (7 LEVELS),RC-DUI DETAILED AGE CATEGORY RECODE,4,3,Variable 1 determina variable 2,RC-AGE CATEGORY RECODE (7 LEVELS) determina RC-DUI DETAILED AGE CATEGORY RECODE,0.940139401394014,2,"IRSUICTHNK, IRSUIPLANYR",0.951209512095121,3,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",CATAG7,DRVINDETAG,RC-AGE CATEGORY RECODE (7 LEVELS),RC-DUI DETAILED AGE CATEGORY RECODE,Revisar posible retirada de la variable determinada
MRJYDAYS,MRJYR,1.0,RC-# OF DAYS USED MARIJUANA IN PAST YEAR,RC-MARIJUANA - PAST YEAR USE,6,2,Variable 1 determina variable 2,RC-# OF DAYS USED MARIJUANA IN PAST YEAR determina RC-MARIJUANA - PAST YEAR USE,0.9393193931939319,3,"IRAMDEYR, IRSUICTHNK, IRSUIPLANYR",0.9102091020910209,2,"IRAMDEYR, IRSUICTHNK",MRJYDAYS,MRJYR,RC-# OF DAYS USED MARIJUANA IN PAST YEAR,RC-MARIJUANA - PAST YEAR USE,Revisar posible retirada de la variable determinada
