variable_eliminada,nombre_eliminada,variable_conservada,nombre_conservada,motivo
PREGSTAT,CURRENTLY PREGNANT (FEMALES AGED 12-50),PREGST,RC-PREGNANCY STATUS OF FEMALES AGED 12-50,Se conserva la versión recodificada para análisis
CATAGE,RC-AGE CATEGORY,CATAG7,RC-AGE CATEGORY RECODE (7 LEVELS),Se conserva una única agrupación detallada de edad
CATAG2,RC-AGE CATEGORY RECODE (3 LEVELS),CATAG7,RC-AGE CATEGORY RECODE (7 LEVELS),Se conserva una única agrupación detallada de edad
CATAG3,RC-AGE CATEGORY RECODE (5 LEVELS),CATAG7,RC-AGE CATEGORY RECODE (7 LEVELS),Se conserva una única agrupación detallada de edad
DRVINAGE,RC-DUI AGE CATEGORY RECODE,CATAG7,RC-AGE CATEGORY RECODE (7 LEVELS),Recodificación alternativa de la misma edad
DRVINDETAG,RC-DUI DETAILED AGE CATEGORY RECODE,CATAG7,RC-AGE CATEGORY RECODE (7 LEVELS),Recodificación alternativa de la misma edad
CAMHRCVR,THINK IN RECOVERY FROM MENTAL HEALTH PROBLEM,RCVYMHPRB,RC-PERCEIVED RECOVERY FROM MENTAL HEALTH ISSUE,Se conserva la versión recodificada para análisis
MRJYR,RC-MARIJUANA - PAST YEAR USE,MRJYDAYS,RC-# OF DAYS USED MARIJUANA IN PAST YEAR,La frecuencia conserva además el indicador de uso
ENRLCOLLFT2,RC-COLLEGE ENROLLMENT-FULL TIME,ENRLCOLLST2,RC-COLLEGE ENROLLMENT,Se conserva la situación de matrícula detallada
UD5ILLANY,RC-DRUG USE DISORDER - PAST YEAR USERS,SVYRDUDANY,"RC-DRUG USE DISORDER SEVERITY, PY USERS",La gravedad conserva además el indicador binario
UD5ILALANY,RC-DRUG OR ALCOHOL USE DISORDER - PAST YEAR USERS,SVYRSUDANY,"RC-SUBSTANCE USE DISORDER SEVERITY, PY USERS",La gravedad conserva además el indicador binario
CAMHPROB,THINK EVER HAD PROBLEM WITH OWN MENTAL HEALTH,CAMHPROB2,RC-PERCEIVED EVER HAD A MENTAL HEALTH ISSUE,Se conserva la versión recodificada para análisis
