variable_original,puntuacion_media,puntuacion_max,targets_f,targets_l1,targets_rf,targets_regla_final,targets_regla_detalle,modulo,tipo_variable
CAMHPROB2,0.9820623206232062,0.985649856498565,4,4,4,4,"IRAMDEYR, IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",RECODED EMERGING ISSUES,Binaria
SVYRDUDANY,0.957359573595736,0.9684296842968431,4,4,4,4,"IRAMDEYR, IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",RECODED SUBSTANCE USE DISORDER,Categórica con pocas categorías
SVYRSUDANY,0.951209512095121,0.9536695366953669,4,4,4,4,"IRAMDEYR, IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",RECODED SUBSTANCE USE DISORDER,Categórica con pocas categorías
LVLDIFMEM2,0.9292742927429274,0.979089790897909,4,1,3,3,"IRAMDEYR, IRSUICTHNK, IRSUIPLANYR",DEMOGRAPHICS,Categórica con pocas categorías
MRJAGLST,0.9336305863058632,0.965559655596556,3,4,4,3,"IRAMDEYR, IRSUICTHNK, IRSUIPLANYR",PRIOR SUBSTANCE USE,Numérica con rango documentado
LVLDIFCOMM2,0.92209922099221,0.959819598195982,4,0,3,3,"IRAMDEYR, IRSUICTHNK, IRSUIPLANYR",DEMOGRAPHICS,Categórica con pocas categorías
LVLDIFCARE2,0.9202542025420254,0.957769577695777,4,0,3,3,"IRAMDEYR, IRSUICTHNK, IRSUIPLANYR",DEMOGRAPHICS,Categórica con pocas categorías
ILLYR,0.9239442394423945,0.947929479294793,4,3,3,3,"IRAMDEYR, IRSUICTHNK, IRSUIPLANYR",RECODED DRUG USE,Binaria
ILIMFOTHYR,0.9134891348913489,0.9446494464944649,3,3,2,3,"IRAMDEYR, IRSUICTHNK, IRSUIPLANYR",RECODED EMERGING ISSUES,Binaria
MJVAPFLAG,0.8966789667896679,0.941779417794178,3,3,1,3,"IRAMDEYR, IRSUICTHNK, IRSUIPLANYR",RECODED DRUG USE,Binaria
SEXAGE,0.9211254612546126,0.939729397293973,4,3,3,3,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",RECODED DEMOGRAPHICS,Categórica con pocas categorías
MRJYDAYS,0.8907339073390734,0.9393193931939319,3,4,1,3,"IRAMDEYR, IRSUICTHNK, IRSUIPLANYR",RECODED DRUG USE,Categórica con pocas categorías
FUNICVAP21,0.9149241492414923,0.931119311193112,4,3,0,3,"IRSUICTHNK, IRSUIPLANYR, IRSUITRYYR",RECODED DRUG USE,Binaria
NICVAPFLAG,0.9068265682656826,0.9290692906929069,3,3,0,3,"IRAMDEYR, IRSUICTHNK, IRSUIPLANYR",RECODED DRUG USE,Binaria
ILIMFOTHMN,0.89749897498975,0.922919229192292,3,3,0,3,"IRAMDEYR, IRSUICTHNK, IRSUIPLANYR",RECODED EMERGING ISSUES,Binaria
ILLEMFLAG2,0.8841738417384174,0.9208692086920869,3,3,0,3,"IRAMDEYR, IRSUICTHNK, IRSUIPLANYR",RECODED DRUG USE,Binaria
