target,modelo,accuracy,accuracy_std,accuracy_train,roc_auc,roc_auc_std,roc_auc_train,average_precision,average_precision_std,average_precision_train,recall,precision,f1,balanced_accuracy,specificity,fit_time_s,gap_accuracy,gap_roc_auc,gap_average_precision
IRAMDEYR,Modelo de referencia,0.8890298394246073,5.254073250292721e-05,0.88902983709595,0.5,0.0,0.5,0.11097016057539259,5.254073250288454e-05,0.11097016290405004,0.0,0.0,0.0,0.5,1.0,0.22729802131652832,-2.3286573780367803e-09,0.0,2.3286574474257193e-09
IRAMDEYR,Random Forest,0.8073416695281141,0.005150659970699799,0.8230397167887853,0.8822059588816771,0.004213746086306143,0.9242360807253324,0.46939842263165693,0.016991865397263013,0.675695374209157,0.812096316476531,0.3441555355985023,0.4834085661695438,0.8094221178102037,0.8067479191438764,1.162355375289917,0.015698047260671144,0.04203012184365529,0.2062969515775001
IRAMDEYR,Regresión Logística,0.800893257023724,0.005430789789535028,0.8032387153279155,0.8898005525227839,0.0033495967535845227,0.8978572513269223,0.506291424966763,0.005589502745121164,0.5249804187096572,0.845435041716329,0.3402756285447562,0.4852227698544403,0.8203839893480576,0.795332936979786,2.1678226947784425,0.0023454583041914168,0.008056698804138396,0.018688993742894122
IRAMDEYR,XGBoost,0.8010781835895319,0.005160527685955938,0.8125214733514022,0.890720111564784,0.003544150722809221,0.9228143698251966,0.5085399333599747,0.013138600398230598,0.6400826448366914,0.8432916170043703,0.3402180396626955,0.48481323481228555,0.8195500891204966,0.7958085612366231,1.0530500411987305,0.011443289761870368,0.03209425826041257,0.1315427114767167
IRAMDEYR,Árbol de Decisión,0.7847459768143137,0.008458794449517998,0.8102420581228778,0.8113918642048408,0.009306646258043777,0.9218430684234227,0.4040923455987201,0.010435194335754195,0.6167326618864257,0.7963814631931438,0.31467645909775893,0.4510108184181124,0.7898375805858704,0.7832936979785969,0.8804015159606934,0.025496081308564067,0.1104512042185819,0.21264031628770563
IRSUICTHNK,Modelo de referencia,0.9255265749997695,6.976775832930245e-05,0.9255265732303464,0.5,0.0,0.5,0.07447342500023049,6.976775832927744e-05,0.07447342676965366,0.0,0.0,0.0,0.5,1.0,0.23865132331848143,-1.769423163544559e-09,0.0,1.769423163544559e-09
IRSUICTHNK,Random Forest,0.8200268370701647,0.004582339376608955,0.8457345628719091,0.8011291742766172,0.005238163752046606,0.8837535629741959,0.26399206958193655,0.013402935795290883,0.5468696734770833,0.5897843366967739,0.22725431087751083,0.32803029318740984,0.7141692042911398,0.8385540718855056,1.1405706882476807,0.025707725801744408,0.08262438869757871,0.2828776038951467
IRSUICTHNK,Regresión Logística,0.7653743541487448,0.0024759894431019783,0.7697745778916222,0.8145476902624911,0.003402712417221938,0.8311217418873171,0.29608559941235363,0.014043934351682419,0.3194287999101001,0.7207267299043876,0.20066066293820062,0.3139156762722515,0.7448470106796684,0.7689672914549492,1.6600383281707765,0.004400223742877407,0.01657405162482606,0.023343200497746464
IRSUICTHNK,XGBoost,0.7849308021002511,0.003235518119549977,0.8020825124074753,0.8117579239171286,0.002965208473274834,0.8788840339966424,0.29474105376978194,0.02099658844641185,0.4932633203493129,0.6884358111938325,0.21087671325350663,0.3228381664685672,0.7405658311832336,0.7926958511726347,0.9443305492401123,0.017151710307224177,0.06712611007951375,0.19852226657953098
IRSUICTHNK,Árbol de Decisión,0.7596394373756528,0.0147030192141213,0.7916369019204461,0.6973067577615101,0.010251229114502,0.8810011859897457,0.20070435298689762,0.018390132510101465,0.4568216710501728,0.619576609601552,0.1790097156307902,0.27758362606089937,0.6952425695402885,0.7709085294790252,0.8187127113342285,0.03199746454479335,0.18369442822823567,0.2561173180632752
