fold,accuracy,roc_auc,average_precision,recall,precision,f1,balanced_accuracy,specificity,tn,fp,fn,tp,target,estrategia
1,0.7843551797040169,0.8611482177005961,0.17082755155022059,0.8148148148148148,0.08794974300399772,0.15876288659793814,0.7991949124893969,0.7835750101639789,5782,1597,35,154,IRSUIPLANYR,Ponderación
2,0.7904334038054969,0.8412770116252972,0.15841281838507976,0.746031746031746,0.08397855866587255,0.15096359743040685,0.7688012097823725,0.791570673532999,5841,1538,48,141,IRSUIPLANYR,Ponderación
3,0.7917547568710359,0.8418542252395078,0.15795922110843866,0.7566137566137566,0.08547519426180514,0.1535982814178303,0.7746342939458537,0.7926548312779509,5849,1530,46,143,IRSUIPLANYR,Ponderación
4,0.7953224101479915,0.8198495070057084,0.13901024730257833,0.7074468085106383,0.08174554394591273,0.1465564738292011,0.7525038920601972,0.7975609756097561,5886,1494,55,133,IRSUIPLANYR,Ponderación
5,0.788952028544998,0.8462644133870415,0.1630730310053103,0.7606382978723404,0.08436578171091445,0.15188528943175783,0.7751558476758369,0.7896733974793333,5827,1552,45,143,IRSUIPLANYR,Ponderación
1,0.9352536997885835,0.8544177635517926,0.16928650685757005,0.4074074074074074,0.16923076923076924,0.2391304347826087,0.6780904769792153,0.9487735465510232,7001,378,112,77,IRSUIPLANYR,Sobremuestreo 0.25
2,0.9372357293868921,0.8384748367130803,0.15922510868103584,0.41798941798941797,0.17792792792792791,0.24960505529225907,0.6842623604379939,0.95053530288657,7014,365,110,79,IRSUIPLANYR,Sobremuestreo 0.25
3,0.9392177589852009,0.8416502286267837,0.1633128822700127,0.37037037037037035,0.170316301703163,0.23333333333333334,0.662079073245898,0.9537877761214256,7038,341,119,70,IRSUIPLANYR,Sobremuestreo 0.25
4,0.9369714587737844,0.8255751600069192,0.14783292064801584,0.3617021276595745,0.16,0.22185970636215335,0.6566640719598685,0.9516260162601626,7023,357,120,68,IRSUIPLANYR,Sobremuestreo 0.25
5,0.937888198757764,0.8489913872894038,0.16933474188782294,0.39361702127659576,0.17209302325581396,0.23948220064724918,0.6726860008131184,0.9517549803496409,7023,356,114,74,IRSUIPLANYR,Sobremuestreo 0.25
1,0.7863372093023255,0.8614350319188373,0.17357714858591658,0.8042328042328042,0.08775981524249422,0.15825091098386257,0.7950558248024029,0.7858788453720016,5799,1580,37,152,IRSUIPLANYR,Sobremuestreo 1:1
2,0.7945295983086681,0.8401143384881018,0.14737506242647128,0.746031746031746,0.08555825242718447,0.15351115949918345,0.7709017654132169,0.7957717847946876,5872,1507,48,141,IRSUIPLANYR,Sobremuestreo 1:1
3,0.7945295983086681,0.8405926011970191,0.1596494821244578,0.7407407407407407,0.0850546780072904,0.15258855585831063,0.7683240226267737,0.7959073045128067,5873,1506,49,140,IRSUIPLANYR,Sobremuestreo 1:1
4,0.7984936575052854,0.8160406936516174,0.13709526235563477,0.7021276595744681,0.08244846970643348,0.1475684740078256,0.7515380845297814,0.8009485094850949,5911,1469,56,132,IRSUIPLANYR,Sobremuestreo 1:1
