Descripción,C metamodelo,Average Precision CV,Average Precision CV std,ROC-AUC CV,ROC-AUC CV std,Recall CV,Recall CV std,Precision CV,Precision CV std,F1 CV,F1 CV std,Balanced Accuracy CV,Balanced Accuracy CV std,Diferencia Average Precision,Diferencia ROC-AUC
Ideación suicida,0.01,0.314,0.017,0.818,0.004,0.747,0.005,0.195,0.001,0.309,0.002,0.749,0.001,0.018,0.009
Ideación suicida,0.02,0.314,0.017,0.819,0.004,0.744,0.006,0.196,0.002,0.31,0.002,0.749,0.003,0.017,0.009
Ideación suicida,0.05,0.314,0.017,0.819,0.004,0.743,0.006,0.197,0.002,0.312,0.003,0.75,0.002,0.017,0.009
Ideación suicida,0.075,0.314,0.017,0.819,0.004,0.742,0.006,0.197,0.002,0.311,0.002,0.749,0.002,0.016,0.008
Ideación suicida,0.1,0.314,0.017,0.819,0.004,0.742,0.005,0.197,0.002,0.312,0.002,0.75,0.002,0.016,0.008
Ideación suicida,0.2,0.314,0.017,0.819,0.004,0.741,0.005,0.198,0.002,0.312,0.002,0.75,0.002,0.016,0.008
Ideación suicida,0.5,0.313,0.016,0.818,0.004,0.742,0.004,0.198,0.002,0.313,0.002,0.75,0.002,0.015,0.008
Planificación suicida,0.01,0.163,0.014,0.843,0.013,0.778,0.033,0.08,0.002,0.145,0.004,0.775,0.015,0.018,0.018
Planificación suicida,0.02,0.163,0.014,0.843,0.013,0.775,0.033,0.081,0.002,0.146,0.004,0.775,0.014,0.018,0.018
Planificación suicida,0.05,0.163,0.014,0.843,0.013,0.775,0.033,0.081,0.002,0.147,0.004,0.775,0.014,0.018,0.018
Planificación suicida,0.075,0.163,0.014,0.843,0.013,0.774,0.033,0.081,0.002,0.147,0.004,0.775,0.014,0.017,0.018
Planificación suicida,0.1,0.163,0.014,0.843,0.013,0.774,0.033,0.081,0.002,0.147,0.004,0.775,0.014,0.017,0.018
Planificación suicida,0.2,0.162,0.014,0.843,0.013,0.774,0.033,0.081,0.002,0.147,0.004,0.775,0.014,0.017,0.018
Planificación suicida,0.5,0.162,0.014,0.843,0.013,0.773,0.033,0.081,0.002,0.147,0.004,0.775,0.014,0.017,0.018
