target,modelo,average_precision,average_precision_std,roc_auc,roc_auc_std,recall,recall_std,recall_min,precision,precision_std,f1,f1_std,f2,f2_std,balanced_accuracy,balanced_accuracy_std,specificity,parametros,gap_average_precision,gap_roc_auc,objetivo
IRAMDEYR,Regresión Logística,0.5142735259021217,0.006394410065908088,0.892205568298303,0.0048686330858610655,0.8580566433963336,0.015108586374827813,0.8379022646007152,0.33767895480948684,0.007896423753009418,0.4846148149145343,0.010038382270210363,0.6558699481370593,0.012133540038259966,0.8239599507112464,0.008767612537724744,0.7898632580261593,"C=0.05, L1",0.0045894274778123245,0.002766323020037653,Episodio depresivo mayor
IRAMDEYR,Stacking RL+XGB,0.5190858959468514,0.006891075356744753,0.8934039765791024,0.004721474256458047,0.8582950224189796,0.015739176934054525,0.8390941597139452,0.3359595474261247,0.007243367340987757,0.4828815728462372,0.009451055508155205,0.6546830662120614,0.01193895284372118,0.8232467977731046,0.008721356876542902,0.7881985731272294,"meta: C=0.1, L2",0.018080870299151397,0.005720977750932943,Episodio depresivo mayor
IRAMDEYR,XGBoost,0.5179862442317168,0.008394689361767935,0.8931100926642606,0.004664029590475891,0.8635359555025823,0.014872815453559144,0.8464285714285714,0.33007056452808714,0.008029304993665897,0.47757050724257794,0.010209129885559349,0.6525571275019851,0.012199332293129316,0.8223446721627061,0.008888115243193925,0.7811533888228299,"lr=0.05, depth=3, n=150, sub=0.8, col=0.8",0.02879917472711202,0.00820887716416907,Episodio depresivo mayor
IRSUICTHNK,Regresión Logística,0.307614329977815,0.014993705105193789,0.8177677282236905,0.004230849127964966,0.7306627363541313,0.008706170661772192,0.7216312056737588,0.20074909283844683,0.0013891049887288225,0.314953594459882,0.001814537882073438,0.47818252561643887,0.0032324997872449413,0.7482873562104154,0.0030391309436086675,0.7659119760666995,"C=0.05, L1",0.007981861431677895,0.006980366055925669,Ideación suicida
IRSUICTHNK,Stacking RL+XGB,0.3142434782598993,0.01872683064118344,0.8184907978014125,0.004206637904408302,0.7469873902472821,0.005480502250085456,0.7411347517730497,0.194525878919999,0.0015833424400873365,0.30866219948769635,0.0017641775777331524,0.4763745194394896,0.0016923358027846804,0.7490398539210409,0.0015556626338538823,0.7510923175947994,"meta: C=0.01, L2",0.017564745188655806,0.008670991222516022,Ideación suicida
IRSUICTHNK,XGBoost,0.31046301549644245,0.020787310262111947,0.815378381377889,0.0037987228631799325,0.7388301021629315,0.011359576791220856,0.7269503546099291,0.19728912801086432,0.000602845229458274,0.3114111445147798,0.0014424360284824563,0.47695737200197996,0.004075806213498329,0.7484733805524197,0.004114504796976432,0.7581166589419077,"lr=0.03, depth=3, n=125, sub=0.8, col=0.8",0.027871586661494807,0.011258629614038784,Ideación suicida
IRSUIPLANYR,Regresión Logística,0.15785657387032548,0.011736286215487078,0.8420786749916302,0.014798621694556329,0.7571090847686592,0.038508768780280186,0.7074468085106383,0.08470296431770048,0.002265099437030887,0.15235330574142683,0.0044268013244730476,0.2925502570869293,0.009936613874310765,0.7740580311907315,0.01677509438273687,0.7910069776128037,"C=0.02, L1",0.004354192510850202,0.013329732115101356,Planificación suicida
IRSUIPLANYR,Stacking RL+XGB,0.1626921573248838,0.01608669177558038,0.8432969821814474,0.014983534081537058,0.7783181357649442,0.03678331572114115,0.7340425531914894,0.08000710338592207,0.0024518610953575683,0.1450936403459553,0.004620488170743941,0.28345140599377594,0.009837891460215254,0.774824096927396,0.016365174112022228,0.7713300580898477,"meta: C=0.01, L2",0.017968526711332505,0.017911246831033845,Planificación suicida
IRSUIPLANYR,XGBoost,0.16143629296747902,0.017742794158731572,0.8407608814292024,0.015391057264726643,0.7602724304851964,0.043768100813639486,0.7021276595744681,0.08426063617725346,0.0035418186367397768,0.15170298922168188,0.006580150131148715,0.2918780419288608,0.013525960189179155,0.774596266490353,0.020320241405261986,0.7889201024955093,"lr=0.04, depth=2, n=225, sub=0.8, col=0.8",0.02945674166460238,0.023449758871660564,Planificación suicida
IRSUITRYYR,Regresión Logística,0.09950867395996842,0.01739905311674193,0.8386955283000906,0.019658757484651516,0.7261904761904762,0.06520506636966265,0.6547619047619048,0.040921791126519044,0.002771219961366843,0.07747333859005973,0.005312696725206823,0.1669451173748449,0.011829453040417555,0.7676624727314094,0.030407522016703062,0.8091344692723424,"C=0.02, L1",0.005385866259422292,0.032850623285494374,Intento suicida
IRSUITRYYR,Stacking RL+XGB,0.10521423467157809,0.016936746887069726,0.8385035513658741,0.021677348246969187,0.75,0.07985957062499248,0.6428571428571429,0.036608035547088504,0.002897757784322337,0.06980506814432774,0.005601260877133313,0.15311636903764686,0.012719658838302674,0.7644010496480425,0.036940300702624135,0.7788020992960849,"meta: C=1.0, L2",0.0433202029799636,0.0429881365016731,Intento suicida
IRSUITRYYR,XGBoost,0.09573839975874888,0.016073226671574153,0.827743927823532,0.02777006416745033,0.6738095238095239,0.0542940678618637,0.5952380952380952,0.042195056141906814,0.0032011867543351776,0.07941531480394341,0.006033847929681466,0.1687048350197115,0.012877782230262067,0.7510794191877979,0.02680550914270787,0.8283493145660719,"lr=0.03, depth=3, n=150, sub=0.8, col=0.8",0.1022491777469332,0.06669776215562517,Intento suicida
