estado,frecuencia,porcentaje
COD_9991,432251,19.361738247821613
COD_991,430615,19.288457205618272
VALIDO,415249,18.600170839789097
COD_999,412057,18.457192180429036
COD_99,258938,11.598561434015036
COD_9999,131843,5.90561885526591
MISSING,55562,2.48877828050245
COD_0,40770,1.8262029893827594
COD_998,15222,0.6818362007452629
COD_98,13279,0.5948037649255252
COD_9998,7427,0.33267622276540976
COD_985,3649,0.163448974938869
COD_994,3203,0.143471380303973
COD_3.0,2356,0.10553186762290365
COD_9994,2348,0.10517352511824182
COD_997,1411,0.0632026592597271
COD_97,1102,0.04936168001716461
COD_9997,1004,0.044971984335057405
COD_90,792,0.03547590796151939
COD_9989,628,0.028129886615952244
COD_61,506,0.02266516341985961
COD_16,481,0.021545343092791446
COD_94,452,0.02024635151339238
COD_9985,443,0.019843216195647842
COD_19,262,0.011735717027674343
COD_17,187,0.008376256046469856
COD_18,156,0.006987678840905334
COD_1985,108,0.004837623812934462
COD_31,78,0.003493839420452667
COD_85,70,0.0031354969157908552
COD_989,52,0.002329226280301778
