variable,nombre,modulo,tipo_version,n_unicos,pct_nan,tipo_entrada
AGE3,RECODE - FINAL EDITED AGE,DEMOGRAPHICS,Original u otra,8,0.0,Categórica
SERVICE,EVER BEEN IN THE US ARMED FORCES,DEMOGRAPHICS,Original u otra,5,0.0,Categórica
MILSTAT,CURRENT MILITARY STATUS,DEMOGRAPHICS,Original u otra,7,0.0,Categórica
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,DEMOGRAPHICS,Original u otra,6,0.0,Categórica
ACTD2001,SEPTEMBER 2001 OR LATER,DEMOGRAPHICS,Original u otra,7,0.0,Categórica
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),DEMOGRAPHICS,Original u otra,7,0.0,Categórica
ACTD7590,MAY 1975 TO JULY 1990,DEMOGRAPHICS,Original u otra,7,0.0,Categórica
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,7,0.0,Categórica
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,7,0.0,Categórica
COMBATPY,EVER IN COMBAT ZONE ON ACTIVE DUTY,DEMOGRAPHICS,Original u otra,7,0.0,Categórica
NOMARR2,NUMBER OF TIMES MARRIED,DEMOGRAPHICS,Original u otra,5,0.0,Categórica
HEALTH,OVERALL HEALTH,DEMOGRAPHICS,Original u otra,7,0.0,Categórica
MOVSINPYR2,# TIMES MOVED PAST 12 MONTHS- RECODED,DEMOGRAPHICS,Original u otra,8,0.0,Categórica
SPEAKENGL,HOW WELL SPEAK ENGLISH,DEMOGRAPHICS,Original u otra,8,0.0,Categórica
LVLDIFSEE2,LEVEL OF DIFFICULTY SEEING EVEN WITH GLASSES,DEMOGRAPHICS,Original u otra,7,0.0,Categórica
LVLDIFHEAR2,LEVEL OF DIFFICULTY HEARING EVEN WITH HEARING AIDS,DEMOGRAPHICS,Original u otra,7,0.0,Categórica
LVLDIFWALK2,LEVEL OF DIFFICULTY WALKING OR CLIMBING STEPS,DEMOGRAPHICS,Original u otra,7,0.0,Categórica
LVLDIFMEM2,LEVEL OF DIFFICULTY REMEMBERING OR CONCENTRATING,DEMOGRAPHICS,Original u otra,7,0.0,Categórica
LVLDIFCARE2,LEVEL OF DIFFICULTY WITH SELF-CARE,DEMOGRAPHICS,Original u otra,7,0.0,Categórica
LVLDIFCOMM2,LEVEL OF DIFFICULTY COMMUNICATING USING YOUR USUAL LANGUAGE,DEMOGRAPHICS,Original u otra,7,0.0,Categórica
IRSEX,RESPONDENT SEX - IMPUTATION REVISED,IMPUTED DEMOGRAPHICS,Imputada,2,0.0,Categórica
IRMARIT,IMPUTATION REVISED MARITAL STATUS,IMPUTED DEMOGRAPHICS,Imputada,4,0.0,Categórica
IREDUHIGHST2,EDUCATION - RECODED IMPUTATION REVISED,IMPUTED DEMOGRAPHICS,Imputada,11,0.0,Categórica
CATAGE,RC-AGE CATEGORY,RECODED DEMOGRAPHICS,Recodificada,3,0.0,Categórica
CATAG2,RC-AGE CATEGORY RECODE (3 LEVELS),RECODED DEMOGRAPHICS,Recodificada,2,0.0,Categórica
CATAG3,RC-AGE CATEGORY RECODE (5 LEVELS),RECODED DEMOGRAPHICS,Recodificada,4,0.0,Categórica
CATAG6,RC-AGE CATEGORY RECODE (6 LEVELS),RECODED DEMOGRAPHICS,Recodificada,5,0.0,Categórica
CATAG7,RC-AGE CATEGORY RECODE (7 LEVELS),RECODED DEMOGRAPHICS,Recodificada,4,0.0,Categórica
