estrategia_pesos,batch_size,learning_rate,target,descripcion,estado,epocas,mejor_epoca,checkpoint,historial,arquitectura_base,clave_configuracion,optimizador,weight_decay
balanceada,256,0.0005,IRAMDEYR,Episodio depresivo mayor,REUTILIZADO,19,9,checkpoint_embeddings_mlp_lr0005_balanceada_iramdeyr_v1.keras,74_historial_embeddings_mlp_lr0005_balanceada_iramdeyr_v1.csv,embeddings_mlp,adam_lr0005,adam,0.0
balanceada,256,0.0005,IRSUICTHNK,Ideación suicida,REUTILIZADO,20,10,checkpoint_embeddings_mlp_lr0005_balanceada_irsuicthnk_v1.keras,74_historial_embeddings_mlp_lr0005_balanceada_irsuicthnk_v1.csv,embeddings_mlp,adam_lr0005,adam,0.0
balanceada,256,0.0005,IRSUIPLANYR,Planificación suicida,REUTILIZADO,26,16,checkpoint_embeddings_mlp_lr0005_balanceada_irsuiplanyr_v1.keras,74_historial_embeddings_mlp_lr0005_balanceada_irsuiplanyr_v1.csv,embeddings_mlp,adam_lr0005,adam,0.0
balanceada,256,0.0005,IRSUITRYYR,Intento suicida,REUTILIZADO,28,18,checkpoint_embeddings_mlp_lr0005_balanceada_irsuitryyr_v1.keras,74_historial_embeddings_mlp_lr0005_balanceada_irsuitryyr_v1.csv,embeddings_mlp,adam_lr0005,adam,0.0
balanceada,256,0.0005,IRAMDEYR,Episodio depresivo mayor,RECUPERADO,19,9,checkpoint_ajuste_embeddings_mlp_adamw_wd00001_balanceada_iramdeyr_v1.keras,110_historial_ajuste_embeddings_mlp_adamw_wd00001_balanceada_iramdeyr_v1.csv,embeddings_mlp,adamw_wd00001,adamw,1e-05
balanceada,256,0.0005,IRSUICTHNK,Ideación suicida,RECUPERADO,20,10,checkpoint_ajuste_embeddings_mlp_adamw_wd00001_balanceada_irsuicthnk_v1.keras,110_historial_ajuste_embeddings_mlp_adamw_wd00001_balanceada_irsuicthnk_v1.csv,embeddings_mlp,adamw_wd00001,adamw,1e-05
balanceada,256,0.0005,IRSUIPLANYR,Planificación suicida,RECUPERADO,26,16,checkpoint_ajuste_embeddings_mlp_adamw_wd00001_balanceada_irsuiplanyr_v1.keras,110_historial_ajuste_embeddings_mlp_adamw_wd00001_balanceada_irsuiplanyr_v1.csv,embeddings_mlp,adamw_wd00001,adamw,1e-05
balanceada,256,0.0005,IRSUITRYYR,Intento suicida,RECUPERADO,28,18,checkpoint_ajuste_embeddings_mlp_adamw_wd00001_balanceada_irsuitryyr_v1.keras,110_historial_ajuste_embeddings_mlp_adamw_wd00001_balanceada_irsuitryyr_v1.csv,embeddings_mlp,adamw_wd00001,adamw,1e-05
balanceada,256,0.0005,IRAMDEYR,Episodio depresivo mayor,RECUPERADO,17,7,checkpoint_ajuste_embeddings_mlp_adamw_wd0001_balanceada_iramdeyr_v1.keras,110_historial_ajuste_embeddings_mlp_adamw_wd0001_balanceada_iramdeyr_v1.csv,embeddings_mlp,adamw_wd0001,adamw,0.0001
balanceada,256,0.0005,IRSUICTHNK,Ideación suicida,RECUPERADO,23,13,checkpoint_ajuste_embeddings_mlp_adamw_wd0001_balanceada_irsuicthnk_v1.keras,110_historial_ajuste_embeddings_mlp_adamw_wd0001_balanceada_irsuicthnk_v1.csv,embeddings_mlp,adamw_wd0001,adamw,0.0001
balanceada,256,0.0005,IRSUIPLANYR,Planificación suicida,RECUPERADO,38,28,checkpoint_ajuste_embeddings_mlp_adamw_wd0001_balanceada_irsuiplanyr_v1.keras,110_historial_ajuste_embeddings_mlp_adamw_wd0001_balanceada_irsuiplanyr_v1.csv,embeddings_mlp,adamw_wd0001,adamw,0.0001
balanceada,256,0.0005,IRSUITRYYR,Intento suicida,RECUPERADO,38,28,checkpoint_ajuste_embeddings_mlp_adamw_wd0001_balanceada_irsuitryyr_v1.keras,110_historial_ajuste_embeddings_mlp_adamw_wd0001_balanceada_irsuitryyr_v1.csv,embeddings_mlp,adamw_wd0001,adamw,0.0001
balanceada,256,0.0005,IRAMDEYR,Episodio depresivo mayor,REUTILIZADO,20,10,checkpoint_embeddings_gru_lr0005_balanceada_iramdeyr_v1.keras,98_historial_embeddings_gru_lr0005_balanceada_iramdeyr_v1.csv,embeddings_gru,adam_lr0005,adam,0.0
balanceada,256,0.0005,IRSUICTHNK,Ideación suicida,REUTILIZADO,15,5,checkpoint_embeddings_gru_lr0005_balanceada_irsuicthnk_v1.keras,98_historial_embeddings_gru_lr0005_balanceada_irsuicthnk_v1.csv,embeddings_gru,adam_lr0005,adam,0.0
