arquitectura_base,clave_configuracion,optimizador,weight_decay,target,pr_auc,roc_auc,recall,precision,f2,false_negatives,false_positives,arquitectura,pr_auc_base,roc_auc_base,recall_base,precision_base,f2_base,false_negatives_base,false_positives_base,delta_pr_auc,delta_roc_auc,delta_recall,delta_precision,delta_f2,delta_false_negatives,delta_false_positives
embeddings_mlp,adamw_wd00001,adamw,1e-05,IRAMDEYR,0.46478578448295593,0.8730195164680481,0.6543062329292297,0.4112781882286072,0.5851519703865051,289.0,783.0,Embeddings + MLP,0.46478578448295593,0.8730195164680481,0.6543062329292297,0.4112781882286072,0.5851519703865051,289.0,783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
embeddings_mlp,adamw_wd00001,adamw,1e-05,IRSUICTHNK,0.25444722175598145,0.7982822060585022,0.4049733579158783,0.2743682265281677,0.3697696626186371,335.0,603.0,Embeddings + MLP,0.25444722175598145,0.7982822060585022,0.4049733579158783,0.2743682265281677,0.3697696626186371,335.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
embeddings_mlp,adamw_wd00001,adamw,1e-05,IRSUIPLANYR,0.10593272745609283,0.759069561958313,0.14942528307437897,0.13756613433361053,0.14689263701438904,148.0,163.0,Embeddings + MLP,0.10593272745609283,0.759069561958313,0.14942528307437897,0.13756613433361053,0.14689263701438904,148.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
embeddings_mlp,adamw_wd00001,adamw,1e-05,IRSUITRYYR,0.07073917239904404,0.7754988670349121,0.130952388048172,0.10476190596818924,0.12471653521060944,73.0,94.0,Embeddings + MLP,0.07073917239904404,0.7754988670349121,0.130952388048172,0.10476190596818924,0.12471653521060944,73.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
embeddings_mlp,adamw_wd0001,adamw,0.0001,IRAMDEYR,0.4815261662006378,0.8791331648826599,0.6734449863433838,0.40358424186706543,0.5940071940422058,273.0,832.0,Embeddings + MLP,0.46478578448295593,0.8730195164680481,0.6543062329292297,0.4112781882286072,0.5851519703865051,289.0,783.0,0.016740381717681885,0.006113648414611816,0.019138753414154053,-0.007693946361541748,0.008855223655700684,-16.0,49.0
embeddings_mlp,adamw_wd0001,adamw,0.0001,IRSUICTHNK,0.2444949597120285,0.7843787670135498,0.3143872022628784,0.3241758346557617,0.3162972927093506,386.0,369.0,Embeddings + MLP,0.25444722175598145,0.7982822060585022,0.4049733579158783,0.2743682265281677,0.3697696626186371,335.0,603.0,-0.009952262043952942,-0.013903439044952393,-0.09058615565299988,0.049807608127593994,-0.0534723699092865,51.0,-234.0
embeddings_mlp,adamw_wd0001,adamw,0.0001,IRSUIPLANYR,0.09049215167760849,0.6621248126029968,0.1034482792019844,0.21176470816135406,0.11523686349391937,156.0,67.0,Embeddings + MLP,0.10593272745609283,0.759069561958313,0.14942528307437897,0.13756613433361053,0.14689263701438904,148.0,163.0,-0.015440575778484344,-0.09694474935531616,-0.04597700387239456,0.07419857382774353,-0.031655773520469666,8.0,-96.0
embeddings_mlp,adamw_wd0001,adamw,0.0001,IRSUITRYYR,0.055807895958423615,0.5980384349822998,0.02380952425301075,0.3333333432674408,0.02923976443707943,82.0,4.0,Embeddings + MLP,0.07073917239904404,0.7754988670349121,0.130952388048172,0.10476190596818924,0.12471653521060944,73.0,94.0,-0.014931276440620422,-0.1774604320526123,-0.10714286379516125,0.22857143729925156,-0.09547677077353,9.0,-90.0
embeddings_gru,adamw_wd00001,adamw,1e-05,IRAMDEYR,0.43559956550598145,0.8729338049888611,0.48086124658584595,0.4398249387741089,0.4720526337623596,434.0,512.0,Embeddings + GRU,0.43559956550598145,0.8729338049888611,0.48086124658584595,0.4398249387741089,0.4720526337623596,434.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
embeddings_gru,adamw_wd00001,adamw,1e-05,IRSUICTHNK,0.24289123713970184,0.7796297073364258,0.19182948768138885,0.34951457381248474,0.2108551263809204,455.0,201.0,Embeddings + GRU,0.24289123713970184,0.7796297073364258,0.19182948768138885,0.34951457381248474,0.2108551263809204,455.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
embeddings_gru,adamw_wd00001,adamw,1e-05,IRSUIPLANYR,0.11593672633171082,0.8084571957588196,0.04022988677024841,0.3181818127632141,0.048746511340141296,167.0,15.0,Embeddings + GRU,0.11593672633171082,0.8084571957588196,0.04022988677024841,0.3181818127632141,0.048746511340141296,167.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
embeddings_gru,adamw_wd00001,adamw,1e-05,IRSUITRYYR,0.10587134957313538,0.827387273311615,0.011904762126505375,1.0,0.014836795628070831,83.0,0.0,Embeddings + GRU,0.10587134957313538,0.827387273311615,0.011904762126505375,1.0,0.014836795628070831,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
embeddings_gru,adamw_wd0001,adamw,0.0001,IRAMDEYR,0.44260361790657043,0.8748159408569336,0.490430623292923,0.4471101462841034,0.4811076819896698,426.0,507.0,Embeddings + GRU,0.43559956550598145,0.8729338049888611,0.48086124658584595,0.4398249387741089,0.4720526337623596,434.0,512.0,0.007004052400588989,0.0018821358680725098,0.009569376707077026,0.007285207509994507,0.00905504822731018,-8.0,-5.0
embeddings_gru,adamw_wd0001,adamw,0.0001,IRSUICTHNK,0.21977519989013672,0.7736372351646423,0.0692717581987381,0.3611111044883728,0.08262710273265839,524.0,69.0,Embeddings + GRU,0.24289123713970184,0.7796297073364258,0.19182948768138885,0.34951457381248474,0.2108551263809204,455.0,201.0,-0.023116037249565125,-0.005992472171783447,-0.12255772948265076,0.011596530675888062,-0.12822802364826202,69.0,-132.0
embeddings_gru,adamw_wd0001,adamw,0.0001,IRSUIPLANYR,0.12902554869651794,0.808387279510498,0.05747126415371895,0.18867924809455872,0.06675565987825394,164.0,43.0,Embeddings + GRU,0.11593672633171082,0.8084571957588196,0.04022988677024841,0.3181818127632141,0.048746511340141296,167.0,15.0,0.013088822364807129,-6.99162483215332e-05,0.017241377383470535,-0.1295025646686554,0.01800914853811264,-3.0,28.0
embeddings_gru,adamw_wd0001,adamw,0.0001,IRSUITRYYR,0.08235125243663788,0.7728853225708008,0.011904762126505375,0.10000000149011612,0.014450863003730774,83.0,9.0,Embeddings + GRU,0.10587134957313538,0.827387273311615,0.011904762126505375,1.0,0.014836795628070831,83.0,0.0,-0.023520097136497498,-0.05450195074081421,0.0,-0.8999999985098839,-0.0003859326243400574,0.0,9.0
