estrategia_pesos,target,descripcion,epocas,mejor_epoca,loss_train_mejor,loss_validacion_mejor,pr_auc_train_mejor,pr_auc_validacion_mejor,gap_pr_auc_mejor,gap_pr_auc_final,gap_loss_mejor,gap_loss_final,arquitectura_base
adam_lr0005,IRAMDEYR,Episodio depresivo mayor,19,9,0.3172566294670105,0.3090170323848724,0.5937154293060303,0.4647857844829559,0.1289296448230744,0.337935358285904,-0.008239597082138117,0.2739525884389878,embeddings_mlp
adam_lr0005,IRSUICTHNK,Ideación suicida,20,10,0.3480246365070343,0.2967031896114349,0.4734196960926056,0.2544472217559814,0.2189724743366242,0.47096897661685955,-0.05132144689559942,0.13684843480587008,embeddings_mlp
adam_lr0005,IRSUIPLANYR,Planificación suicida,26,16,0.1672336608171463,0.1341900378465652,0.5780729055404663,0.1059327274560928,0.4721401780843735,0.6855793073773385,-0.03304362297058111,0.048736535012722,embeddings_mlp
adam_lr0005,IRSUITRYYR,Intento suicida,28,18,0.12752166390419,0.080823890864849,0.6117782592773438,0.070739172399044,0.5410390868782997,0.6668837144970894,-0.046697773039341015,0.10041098296642299,embeddings_mlp
adamw_wd00001,IRAMDEYR,Episodio depresivo mayor,19,9,0.3172566294670105,0.3090170323848724,0.5937154293060303,0.4647857844829559,0.1289296448230744,0.337935358285904,-0.008239597082138117,0.2739525884389878,embeddings_mlp
adamw_wd00001,IRSUICTHNK,Ideación suicida,20,10,0.3480246365070343,0.2967031896114349,0.4734196960926056,0.2544472217559814,0.2189724743366242,0.47096897661685955,-0.05132144689559942,0.13684843480587008,embeddings_mlp
adamw_wd00001,IRSUIPLANYR,Planificación suicida,26,16,0.1672336608171463,0.1341900378465652,0.5780729055404663,0.1059327274560928,0.4721401780843735,0.6855793073773385,-0.03304362297058111,0.048736535012722,embeddings_mlp
adamw_wd00001,IRSUITRYYR,Intento suicida,28,18,0.12752166390419,0.080823890864849,0.6117782592773438,0.070739172399044,0.5410390868782997,0.6668837144970894,-0.046697773039341015,0.10041098296642299,embeddings_mlp
adamw_wd0001,IRAMDEYR,Episodio depresivo mayor,17,7,0.3419792354106903,0.3071476221084595,0.5780604481697083,0.4815261662006378,0.09653428196907043,0.2913008928298951,-0.034831613302230835,0.164258748292923,embeddings_mlp
adamw_wd0001,IRSUICTHNK,Ideación suicida,23,13,0.3066016733646393,0.2993636131286621,0.5388625860214233,0.2444949597120285,0.29436762630939484,0.5615652948617935,-0.007238060235977173,0.3699703812599182,embeddings_mlp
adamw_wd0001,IRSUIPLANYR,Planificación suicida,38,28,0.1070572957396507,0.1516852676868438,0.7911970615386963,0.0904921516776084,0.7007049098610879,0.8295865505933763,0.04462797194719309,0.1197668612003327,embeddings_mlp
adamw_wd0001,IRSUITRYYR,Intento suicida,38,28,0.1044941768050193,0.0754941031336784,0.7242932319641113,0.0558078959584236,0.6684853360056877,0.8391138203442097,-0.0290000736713409,0.8975417092442514,embeddings_mlp
adam_lr0005,IRAMDEYR,Episodio depresivo mayor,20,10,0.4302867949008941,0.2622407078742981,0.4539951682090759,0.4355995655059814,0.018395602703094538,0.04481989145278931,-0.168046087026596,-0.07398843765258789,embeddings_gru
adam_lr0005,IRSUICTHNK,Ideación suicida,15,5,0.54439377784729,0.239510640501976,0.2509204745292663,0.2428912371397018,0.008029237389564514,0.043385982513427734,-0.304883137345314,-0.03274253010749817,embeddings_gru
adam_lr0005,IRSUIPLANYR,Planificación suicida,20,10,0.4860305488109588,0.1010238528251648,0.1476155817508697,0.1159367263317108,0.031678855419158894,0.1438637897372246,-0.385006695985794,-0.1948865652084351,embeddings_gru
adam_lr0005,IRSUITRYYR,Intento suicida,29,19,0.3657108545303345,0.0550349242985248,0.1738389730453491,0.1058713495731353,0.06796762347221379,0.1227666586637497,-0.31067593023180967,-0.21194224059581757,embeddings_gru
adamw_wd00001,IRAMDEYR,Episodio depresivo mayor,20,10,0.4302867949008941,0.2622407078742981,0.4539951682090759,0.4355995655059814,0.018395602703094538,0.04481989145278931,-0.168046087026596,-0.07398843765258789,embeddings_gru
adamw_wd00001,IRSUICTHNK,Ideación suicida,15,5,0.54439377784729,0.239510640501976,0.2509204745292663,0.2428912371397018,0.008029237389564514,0.043385982513427734,-0.304883137345314,-0.03274253010749817,embeddings_gru
adamw_wd00001,IRSUIPLANYR,Planificación suicida,20,10,0.4860305488109588,0.1010238528251648,0.1476155817508697,0.1159367263317108,0.031678855419158894,0.1438637897372246,-0.385006695985794,-0.1948865652084351,embeddings_gru
adamw_wd00001,IRSUITRYYR,Intento suicida,29,19,0.3657108545303345,0.0550349242985248,0.1738389730453491,0.1058713495731353,0.06796762347221379,0.1227666586637497,-0.31067593023180967,-0.21194224059581757,embeddings_gru
adamw_wd0001,IRAMDEYR,Episodio depresivo mayor,17,7,0.4317654371261596,0.2622291445732116,0.4389477372169494,0.4426036179065704,-0.0036558806896209717,0.02076849341392517,-0.169536292552948,1.3647528290748596,embeddings_gru
adamw_wd0001,IRSUICTHNK,Ideación suicida,14,4,0.5750402212142944,0.2438456714153289,0.2172119468450546,0.2197751998901367,-0.0025632530450820923,0.06447616219520569,-0.33119454979896557,-0.2151044607162475,embeddings_gru
adamw_wd0001,IRSUIPLANYR,Planificación suicida,20,10,0.4603242874145508,0.1028969064354896,0.1713570952415466,0.1290255486965179,0.042331546545028714,0.1671064421534539,-0.3574273809790612,-0.1413347870111466,embeddings_gru
adamw_wd0001,IRSUITRYYR,Intento suicida,39,29,0.3580837249755859,0.0614721179008483,0.1481394469738006,0.0823512524366378,0.06578819453716281,0.089884802699089,-0.2966116070747376,-0.0205963253974914,embeddings_gru
