arquitectura_base,target,descripcion,metrica,clave_configuracion,optimizador,weight_decay,valor
embeddings_gru,IRAMDEYR,Episodio depresivo mayor,PR-AUC,adamw_wd0001,adamw,0.0001,0.44260361790657043
embeddings_gru,IRAMDEYR,Episodio depresivo mayor,ROC-AUC,adamw_wd0001,adamw,0.0001,0.8748159408569336
embeddings_gru,IRAMDEYR,Episodio depresivo mayor,Recall,adamw_wd0001,adamw,0.0001,0.490430623292923
embeddings_gru,IRAMDEYR,Episodio depresivo mayor,Precision,adamw_wd0001,adamw,0.0001,0.4471101462841034
embeddings_gru,IRAMDEYR,Episodio depresivo mayor,F2,adamw_wd0001,adamw,0.0001,0.4811076819896698
embeddings_gru,IRAMDEYR,Episodio depresivo mayor,Falsos negativos,adamw_wd0001,adamw,0.0001,426.0
embeddings_gru,IRAMDEYR,Episodio depresivo mayor,Falsos positivos,adamw_wd0001,adamw,0.0001,507.0
embeddings_gru,IRSUICTHNK,Ideación suicida,PR-AUC,adam_lr0005,adam,0.0,0.24289123713970184
embeddings_gru,IRSUICTHNK,Ideación suicida,ROC-AUC,adam_lr0005,adam,0.0,0.7796297073364258
embeddings_gru,IRSUICTHNK,Ideación suicida,Recall,adam_lr0005,adam,0.0,0.19182948768138885
embeddings_gru,IRSUICTHNK,Ideación suicida,Precision,adamw_wd0001,adamw,0.0001,0.3611111044883728
embeddings_gru,IRSUICTHNK,Ideación suicida,F2,adam_lr0005,adam,0.0,0.2108551263809204
embeddings_gru,IRSUICTHNK,Ideación suicida,Falsos negativos,adam_lr0005,adam,0.0,455.0
embeddings_gru,IRSUICTHNK,Ideación suicida,Falsos positivos,adamw_wd0001,adamw,0.0001,69.0
embeddings_gru,IRSUIPLANYR,Planificación suicida,PR-AUC,adamw_wd0001,adamw,0.0001,0.12902554869651794
embeddings_gru,IRSUIPLANYR,Planificación suicida,ROC-AUC,adam_lr0005,adam,0.0,0.8084571957588196
embeddings_gru,IRSUIPLANYR,Planificación suicida,Recall,adamw_wd0001,adamw,0.0001,0.05747126415371895
embeddings_gru,IRSUIPLANYR,Planificación suicida,Precision,adam_lr0005,adam,0.0,0.3181818127632141
embeddings_gru,IRSUIPLANYR,Planificación suicida,F2,adamw_wd0001,adamw,0.0001,0.06675565987825394
embeddings_gru,IRSUIPLANYR,Planificación suicida,Falsos negativos,adamw_wd0001,adamw,0.0001,164.0
embeddings_gru,IRSUIPLANYR,Planificación suicida,Falsos positivos,adam_lr0005,adam,0.0,15.0
embeddings_gru,IRSUITRYYR,Intento suicida,PR-AUC,adam_lr0005,adam,0.0,0.10587134957313538
embeddings_gru,IRSUITRYYR,Intento suicida,ROC-AUC,adam_lr0005,adam,0.0,0.827387273311615
