estrategia_pesos,target,descripcion,clase_real,registros,media,mediana,primer_cuartil,tercer_cuartil
adam_lr0005,IRAMDEYR,Episodio depresivo mayor,Negativo,6732,0.13365717,0.011702828,0.0035802054,0.114820644
adam_lr0005,IRAMDEYR,Episodio depresivo mayor,Positivo,836,0.58160174,0.69900584,0.2997799,0.84545
adam_lr0005,IRSUICTHNK,Ideación suicida,Negativo,7005,0.12153892,0.02058429,0.004259371,0.11866439
adam_lr0005,IRSUICTHNK,Ideación suicida,Positivo,563,0.41401258,0.40078807,0.104730494,0.71025264
adam_lr0005,IRSUIPLANYR,Planificación suicida,Negativo,7394,0.038670536,0.0052890778,0.00204536,0.01565997
adam_lr0005,IRSUIPLANYR,Planificación suicida,Positivo,174,0.18746008,0.04004947,0.009795031,0.21152578
adam_lr0005,IRSUITRYYR,Intento suicida,Negativo,7484,0.027277056,0.0062575554,0.0034641363,0.01316593
adam_lr0005,IRSUITRYYR,Intento suicida,Positivo,84,0.1881306,0.03867261,0.009728126,0.28034914
adamw_wd00001,IRAMDEYR,Episodio depresivo mayor,Negativo,6732,0.13365717,0.011702828,0.0035802054,0.114820644
adamw_wd00001,IRAMDEYR,Episodio depresivo mayor,Positivo,836,0.58160174,0.69900584,0.2997799,0.84545
adamw_wd00001,IRSUICTHNK,Ideación suicida,Negativo,7005,0.12153892,0.02058429,0.004259371,0.11866439
adamw_wd00001,IRSUICTHNK,Ideación suicida,Positivo,563,0.41401258,0.40078807,0.104730494,0.71025264
adamw_wd00001,IRSUIPLANYR,Planificación suicida,Negativo,7394,0.038670536,0.0052890778,0.00204536,0.01565997
adamw_wd00001,IRSUIPLANYR,Planificación suicida,Positivo,174,0.18746008,0.04004947,0.009795031,0.21152578
adamw_wd00001,IRSUITRYYR,Intento suicida,Negativo,7484,0.027277056,0.0062575554,0.0034641363,0.01316593
adamw_wd00001,IRSUITRYYR,Intento suicida,Positivo,84,0.1881306,0.03867261,0.009728126,0.28034914
adamw_wd0001,IRAMDEYR,Episodio depresivo mayor,Negativo,6732,0.17400189,0.06185531,0.0233812,0.24466234
adamw_wd0001,IRAMDEYR,Episodio depresivo mayor,Positivo,836,0.58487415,0.64217246,0.4271133,0.78729165
adamw_wd0001,IRSUICTHNK,Ideación suicida,Negativo,7005,0.0725478,0.0031494296,0.000493193,0.031094015
adamw_wd0001,IRSUICTHNK,Ideación suicida,Positivo,563,0.3078407,0.1779457,0.022090742,0.58941156
adamw_wd0001,IRSUIPLANYR,Planificación suicida,Negativo,7394,0.013762653,0.00063133356,0.00017107716,0.0021957634
adamw_wd0001,IRSUIPLANYR,Planificación suicida,Positivo,174,0.11219102,0.0035968733,0.0007816321,0.03206179
adamw_wd0001,IRSUITRYYR,Intento suicida,Negativo,7484,0.0029039492,0.00081229676,0.00039380416,0.0017093311
adamw_wd0001,IRSUITRYYR,Intento suicida,Positivo,84,0.03529633,0.0020783353,0.0007777426,0.0050779483
