estrategia_pesos,target,descripcion,clase_real,registros,media,mediana,primer_cuartil,tercer_cuartil
adam_lr0005,IRAMDEYR,Episodio depresivo mayor,Negativo,6732,0.10586292,0.024305835,0.013709304,0.08671996
adam_lr0005,IRAMDEYR,Episodio depresivo mayor,Positivo,836,0.44332385,0.47669774,0.18859814,0.6837715
adam_lr0005,IRSUICTHNK,Ideación suicida,Negativo,7005,0.07929661,0.033073958,0.020776793,0.073260896
adam_lr0005,IRSUICTHNK,Ideación suicida,Positivo,563,0.23927389,0.14174506,0.056063145,0.36726823
adam_lr0005,IRSUIPLANYR,Planificación suicida,Negativo,7394,0.035137314,0.02117132,0.013779056,0.038028397
adam_lr0005,IRSUIPLANYR,Planificación suicida,Positivo,174,0.10985323,0.05999448,0.03275999,0.110503346
adam_lr0005,IRSUITRYYR,Intento suicida,Negativo,7484,0.01061466,0.0053501558,0.0032038225,0.010010022
adam_lr0005,IRSUITRYYR,Intento suicida,Positivo,84,0.05757306,0.029368103,0.011612392,0.066792786
adamw_wd00001,IRAMDEYR,Episodio depresivo mayor,Negativo,6732,0.10586292,0.024305835,0.013709304,0.08671996
adamw_wd00001,IRAMDEYR,Episodio depresivo mayor,Positivo,836,0.44332385,0.47669774,0.18859814,0.6837715
adamw_wd00001,IRSUICTHNK,Ideación suicida,Negativo,7005,0.07929661,0.033073958,0.020776793,0.073260896
adamw_wd00001,IRSUICTHNK,Ideación suicida,Positivo,563,0.23927389,0.14174506,0.056063145,0.36726823
adamw_wd00001,IRSUIPLANYR,Planificación suicida,Negativo,7394,0.035137314,0.02117132,0.013779056,0.038028397
adamw_wd00001,IRSUIPLANYR,Planificación suicida,Positivo,174,0.10985323,0.05999448,0.03275999,0.110503346
adamw_wd00001,IRSUITRYYR,Intento suicida,Negativo,7484,0.01061466,0.0053501558,0.0032038225,0.010010022
adamw_wd00001,IRSUITRYYR,Intento suicida,Positivo,84,0.05757306,0.029368103,0.011612392,0.066792786
adamw_wd0001,IRAMDEYR,Episodio depresivo mayor,Negativo,6732,0.10811884,0.03301173,0.022822818,0.08354108
adamw_wd0001,IRAMDEYR,Episodio depresivo mayor,Positivo,836,0.4429612,0.49320167,0.16400406,0.6848162
adamw_wd0001,IRSUICTHNK,Ideación suicida,Negativo,7005,0.049447756,0.02485427,0.016484017,0.047452495
adamw_wd0001,IRSUICTHNK,Ideación suicida,Positivo,563,0.13860337,0.072492234,0.03748085,0.14626184
adamw_wd0001,IRSUIPLANYR,Planificación suicida,Negativo,7394,0.017881045,0.0034048331,0.0015985619,0.009658009
adamw_wd0001,IRSUIPLANYR,Planificación suicida,Positivo,174,0.113199025,0.032229416,0.008775275,0.11288807
adamw_wd0001,IRSUITRYYR,Intento suicida,Negativo,7484,0.019111611,0.012615716,0.0072135176,0.024404187
adamw_wd0001,IRSUITRYYR,Intento suicida,Positivo,84,0.06729727,0.04005523,0.018843347,0.06364974
