target,estrategia_pesos,accuracy,f2,false_negatives,false_positives,loss,pr_auc,precision,recall,roc_auc,val_accuracy,val_f2,val_false_negatives,val_false_positives,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,epoca
IRAMDEYR,balanceada,0.5936704874038696,0.4021587967872619,1217.0,11083.0,0.6567569375038147,0.1989805996417999,0.1622193604707718,0.638120710849762,0.6643959283828735,0.4945824444293976,0.5062333941459656,32.0,3793.0,0.7041917443275452,0.3305953443050384,0.1748966723680496,0.961722493171692,0.8317561149597168,1
IRAMDEYR,balanceada,0.7359519004821777,0.6014279723167419,499.0,7494.0,0.4847024381160736,0.3978634178638458,0.2765012681484222,0.8516205549240112,0.8520625233650208,0.5443974733352661,0.537691056728363,20.0,3428.0,0.742903470993042,0.4277661740779876,0.1922714412212371,0.9760765433311462,0.8797731995582581,2
IRAMDEYR,balanceada,0.7701430320739746,0.6357989311218262,456.0,6502.0,0.4401892125606537,0.4493856728076935,0.3089595139026642,0.8644067645072937,0.8756842613220215,0.8919132947921753,0.4087021946907043,511.0,307.0,0.2853729426860809,0.4720150530338287,0.5142405033111572,0.3887559771537781,0.8829718828201294,3
IRAMDEYR,balanceada,0.7802517414093018,0.6500022411346436,422.0,6230.0,0.4181823432445526,0.4797296524047851,0.3206847608089447,0.8745167851448059,0.8878803849220276,0.4149048626422882,0.4823132157325744,7.0,4421.0,0.9600558876991272,0.4856575131416321,0.1579047590494156,0.991626799106598,0.8912685513496399,4
IRAMDEYR,balanceada,0.7826302647590637,0.6553494930267334,402.0,6178.0,0.4130051136016845,0.4830962419509887,0.3239960670471191,0.8804638981819153,0.89033442735672,0.5512685179710388,0.5445151329040527,14.0,3382.0,0.9051333069801332,0.4828689396381378,0.1955280750989914,0.9832535982131958,0.8926266431808472,5
IRAMDEYR,balanceada,0.7892372012138367,0.6625162363052368,394.0,5986.0,0.4018080234527588,0.5106121897697449,0.3315466344356537,0.8828427195549011,0.8967653512954712,0.6438953280448914,0.5817725658416748,47.0,2648.0,0.7657368779182434,0.497360497713089,0.2295606583356857,0.9437798857688904,0.8921933770179749,6
IRAMDEYR,balanceada,0.7896666526794434,0.6653585433959961,379.0,5988.0,0.3955702185630798,0.5097644329071045,0.3325902819633484,0.8873029947280884,0.8995088338851929,0.8968023061752319,0.4050955474376678,518.0,263.0,0.238813504576683,0.4979716539382934,0.5473321676254272,0.380382776260376,0.891917884349823,7
IRAMDEYR,balanceada,0.7919461131095886,0.6687228679656982,371.0,5927.0,0.3914796113967895,0.5189231038093567,0.3354636132717132,0.8896818161010742,0.9011695981025696,0.8920454382896423,0.4561101794242859,465.0,352.0,0.2444617003202438,0.4870474934577942,0.5131397247314453,0.4437799155712127,0.890634298324585,8
IRAMDEYR,balanceada,0.7957781553268433,0.6728653907775879,367.0,5815.0,0.3878058791160583,0.5268830060958862,0.3400295078754425,0.8908712267875671,0.9031062126159668,0.8995771408081055,0.2786840796470642,631.0,129.0,0.2516801953315735,0.4886479675769806,0.613772451877594,0.2452153116464615,0.889693558216095,9
IRAMDEYR,balanceada,0.7968022227287292,0.6738035678863525,367.0,5784.0,0.385621428489685,0.522632360458374,0.3412300646305084,0.8908712267875671,0.9041022062301636,0.839984118938446,0.6304042339324951,209.0,1002.0,0.3165546357631683,0.4900873005390167,0.3848987221717834,0.75,0.8901413679122925,10
IRAMDEYR,balanceada,0.7951174378395081,0.6727533936500549,364.0,5838.0,0.3793103098869324,0.5311928987503052,0.3393685519695282,0.8917633295059204,0.9066147208213806,0.8880813717842102,0.456760048866272,461.0,386.0,0.2713639140129089,0.4742276072502136,0.4927726686000824,0.4485645890235901,0.8797247409820557,11
IRAMDEYR,balanceada,0.7986191511154175,0.6792511940002441,344.0,5752.0,0.3758846819400787,0.5413827896118164,0.3442024886608124,0.897710382938385,0.9086779356002808,0.8928382396697998,0.4219884872436523,499.0,312.0,0.2511938810348511,0.4801437854766845,0.5192604064941406,0.4031100571155548,0.8867664933204651,12
IRAMDEYR,balanceada,0.7943576574325562,0.6764732599258423,337.0,5888.0,0.3760565221309662,0.5337010622024536,0.3394660055637359,0.8997918367385864,0.9079588651657104,0.8456659913063049,0.6206543445587158,229.0,939.0,0.3081420660018921,0.4841397106647491,0.3926261365413666,0.7260765433311462,0.8846251368522644,13
IRAMDEYR,balanceada,0.7955138683319092,0.677859902381897,335.0,5855.0,0.3714967966079712,0.5369518399238586,0.3408758342266083,0.9003865718841553,0.909783124923706,0.8997092843055725,0.2690521478652954,639.0,120.0,0.2696625590324402,0.4635990858078003,0.6214510798454285,0.2356459349393844,0.8753820657730103,14
IRAMDEYR,balanceada,0.8012288808822632,0.6878937482833862,306.0,5711.0,0.3649454116821289,0.5522066950798035,0.3486542105674743,0.90900981426239,0.9124730825424194,0.897066593170166,0.1447406113147735,735.0,44.0,0.2759752869606018,0.4674511551856994,0.6965517401695251,0.1208133995532989,0.8767053484916687,15
IRAMDEYR,balanceada,0.8001056909561157,0.6870057582855225,305.0,5746.0,0.3664694428443908,0.5437942743301392,0.3473421037197113,0.9093071818351746,0.9113165736198424,0.8979915380477905,0.2813852429389953,628.0,144.0,0.3306313455104828,0.4638211131095886,0.5909090638160706,0.248803824186325,0.8677799105644226,16
IRAMDEYR,balanceada,0.7994450330734253,0.6839431524276733,320.0,5751.0,0.3645690977573395,0.5468086004257202,0.3460313975811004,0.9048468470573424,0.91241192817688,0.8913847804069519,0.0514705888926982,801.0,21.0,0.3103411495685577,0.4471843540668487,0.625,0.0418660305440425,0.8706242442131042,17
