clave_modelo,modelo,clave_configuracion,batch_size,learning_rate,target,descripcion,epocas_ejecutadas,mejor_epoca,loss,pr_auc,roc_auc,recall,precision,f2,accuracy,false_negatives,false_positives
multisalida_bce_adam,Red multisalida — BCE + Adam,bce_adam,256,0.0005,IRAMDEYR,Episodio depresivo mayor,20,10,0.27290675044059753,0.4650067687034607,0.8790715336799622,0.12799042463302612,0.6564416885375977,0.1525520384311676,0.8962737917900085,729.0,56.0
multisalida_bce_adam,Red multisalida — BCE + Adam,bce_adam,256,0.0005,IRSUICTHNK,Ideación suicida,20,10,0.24936361610889435,0.28146928548812866,0.8088847994804382,0.23090586066246033,0.38461539149284363,0.2509652376174927,0.9153012633323669,433.0,208.0
multisalida_bce_adam,Red multisalida — BCE + Adam,bce_adam,256,0.0005,IRSUIPLANYR,Planificación suicida,20,10,0.1852577030658722,0.15746614336967468,0.8523281812667847,0.3448275923728943,0.16483516991138458,0.2830188572406769,0.944767415523529,114.0,304.0
multisalida_bce_adam,Red multisalida — BCE + Adam,bce_adam,256,0.0005,IRSUITRYYR,Intento suicida,20,10,0.24328981339931488,0.1095881313085556,0.8691781163215637,0.3928571343421936,0.10509554296731949,0.25384610891342163,0.956131100654602,51.0,281.0
multisalida_bce_adamw,Red multisalida — BCE + AdamW,bce_adamw,256,0.0005,IRAMDEYR,Episodio depresivo mayor,30,20,0.24874497950077057,0.4871041178703308,0.8841478228569031,0.40789473056793213,0.5089552402496338,0.4247633218765259,0.8911204934120178,495.0,329.0
multisalida_bce_adamw,Red multisalida — BCE + AdamW,bce_adamw,256,0.0005,IRSUICTHNK,Ideación suicida,30,20,0.23287564516067505,0.28256288170814514,0.8040634393692017,0.2628774344921112,0.35835352540016174,0.27767351269721985,0.9101479649543762,415.0,265.0
multisalida_bce_adamw,Red multisalida — BCE + AdamW,bce_adamw,256,0.0005,IRSUIPLANYR,Planificación suicida,30,20,0.11025574058294296,0.14147381484508514,0.8412362933158875,0.23563218116760254,0.18552036583423615,0.2235550433397293,0.9586416482925415,133.0,180.0
multisalida_bce_adamw,Red multisalida — BCE + AdamW,bce_adamw,256,0.0005,IRSUITRYYR,Intento suicida,30,20,0.059932079166173935,0.10739822685718536,0.8505485653877258,0.1666666716337204,0.15909090638160706,0.1650943160057068,0.9809725284576416,70.0,74.0
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,bce_tareas,256,0.0005,IRAMDEYR,Episodio depresivo mayor,18,8,0.4031607210636139,0.4150179922580719,0.8601526618003845,0.7667464017868042,0.33843716979026794,0.6118748188018799,0.8086680769920349,195.0,1253.0
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,bce_tareas,256,0.0005,IRSUICTHNK,Ideación suicida,18,8,0.3895801901817322,0.27258050441741943,0.8078304529190063,0.6305506229400635,0.2302204966545105,0.4678439497947693,0.8156712651252747,208.0,1187.0
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,bce_tareas,256,0.0005,IRSUIPLANYR,Planificación suicida,18,8,0.31439274549484253,0.15146616101264954,0.8534210324287415,0.6551724076271057,0.10169491171836853,0.31370386481285095,0.8590116500854492,60.0,1007.0
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,bce_tareas,256,0.0005,IRSUITRYYR,Intento suicida,18,8,0.25510671734809875,0.10393375903367996,0.8748783469200134,0.5952380895614624,0.08038584887981415,0.26096028089523315,0.9199259877204895,34.0,572.0
multisalida_focal_adam,Red multisalida — Focal + Adam,focal_adam,256,0.0005,IRAMDEYR,Episodio depresivo mayor,29,19,0.4785807132720947,0.49319586157798767,0.8915574550628662,0.8492823243141174,0.338256299495697,0.6522139310836792,0.7998149991035461,126.0,1389.0
