clave_modelo,candidato,estrategia,target,descripcion,umbral,average_precision,roc_auc,recall,precision,f1,f2,balanced_accuracy,specificity,accuracy,true_negatives,false_positives,false_negatives,true_positives
referencia_b256_lr0005,MLP de referencia — b256_lr0005,b256_lr0005,IRAMDEYR,Episodio depresivo mayor,0.5,0.21948648289815867,0.7131598670351134,0.15789473684210525,0.3180722891566265,0.21103117505995203,0.17557861133280128,0.5579283547549801,0.957961972667855,0.8695824524312896,6449,283,704,132
referencia_b256_lr0005,MLP de referencia — b256_lr0005,b256_lr0005,IRSUICTHNK,Ideación suicida,0.5,0.11646519872841826,0.5549116781593457,0.0586145648312611,0.15348837209302327,0.08483290488431877,0.06688285366842318,0.5163165615019975,0.9740185581727338,0.9059196617336153,6823,182,530,33
referencia_b256_lr0005,MLP de referencia — b256_lr0005,b256_lr0005,IRSUIPLANYR,Planificación suicida,0.5,0.04143657543454986,0.5901915656994332,0.028735632183908046,0.07936507936507936,0.04219409282700422,0.03293807641633729,0.5104457170927654,0.9921558020016229,0.9700052854122622,7336,58,169,5
referencia_b256_lr0005,MLP de referencia — b256_lr0005,b256_lr0005,IRSUITRYYR,Intento suicida,0.5,0.028881304063655123,0.6331634470998447,0.011904761904761904,0.125,0.021739130434782608,0.014534883720930232,0.5054847166017663,0.9990646712987707,0.9881078224101479,7477,7,83,1
regularizada_balanceada,MLP regularizada — Ponderación balanceada,balanceada,IRAMDEYR,Episodio depresivo mayor,0.5,0.16747146340307947,0.6420103618509894,0.29545454545454547,0.17898550724637682,0.22292418772563177,0.26143099068585945,0.5635769459298872,0.8316993464052288,0.7724630021141649,5599,1133,589,247
regularizada_balanceada,MLP regularizada — Ponderación balanceada,balanceada,IRSUICTHNK,Ideación suicida,0.5,0.11571844383998493,0.6334229673552131,0.3552397868561279,0.11911852293031566,0.1784121320249777,0.2543881963876876,0.5720524416079354,0.788865096359743,0.7566067653276956,5526,1479,363,200
regularizada_balanceada,MLP regularizada — Ponderación balanceada,balanceada,IRSUIPLANYR,Planificación suicida,0.5,0.04948122900091085,0.6579530933748705,0.43103448275862066,0.04810776138550353,0.08655510675129832,0.1662971175166297,0.6151656049173141,0.7992967270760075,0.7908298097251586,5910,1484,99,75
regularizada_balanceada,MLP regularizada — Ponderación balanceada,balanceada,IRSUITRYYR,Intento suicida,0.5,0.03562377256950479,0.6919587182815403,0.39285714285714285,0.02972972972972973,0.05527638190954774,0.11410788381742738,0.6244750706268611,0.8560929983965794,0.8509513742071881,6407,1077,51,33
residual_balanceada,MLP residual — Ponderación balanceada,balanceada,IRAMDEYR,Episodio depresivo mayor,0.5,0.19504492501319826,0.6619109402496681,0.5215311004784688,0.18327028163093737,0.2712286158631415,0.38091909837497817,0.6164547956343622,0.7113784907902555,0.690406976744186,4789,1943,400,436
residual_balanceada,MLP residual — Ponderación balanceada,balanceada,IRSUICTHNK,Ideación suicida,0.5,0.11875474040011721,0.643513324027623,0.40319715808170514,0.11569826707441386,0.1798019801980198,0.26934029425723777,0.5777584648367127,0.7523197715917203,0.7263477801268499,5270,1735,336,227
residual_balanceada,MLP residual — Ponderación balanceada,balanceada,IRSUIPLANYR,Planificación suicida,0.5,0.04495494728690386,0.6448961413261451,0.3620689655172414,0.04670126019273536,0.08273145108338804,0.15403422982885084,0.5940720808110956,0.82607519610495,0.815406976744186,6108,1286,111,63
