target,descripcion,clave_modelo,candidato,criterios_destacados,average_precision,recall,precision,f2,balanced_accuracy,specificity,false_negatives,false_positives
IRAMDEYR,Episodio depresivo mayor,multisalida_focal_adam,Red multisalida — Focal + Adam,"Recall, Average Precision, F2",0.4938410944906633,0.8492822966507177,0.33825631252977606,0.6522138526547859,0.8214771554554836,0.7936720142602496,126,1389
IRAMDEYR,Episodio depresivo mayor,multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,"Recall, F2",0.41618392481214184,0.7667464114832536,0.3384371700105597,0.6118747613592974,0.7903102229727617,0.8138740344622698,195,1253
IRAMDEYR,Episodio depresivo mayor,embeddings_mlp_balanceada,Embeddings + MLP — Ponderación balanceada,"Recall, F2",0.4660342353380777,0.6543062200956937,0.4112781954887218,0.5851519041506205,0.7689980298339432,0.8836898395721925,289,783
IRAMDEYR,Episodio depresivo mayor,multisalida_bce_adamw,Red multisalida — BCE + AdamW,Average Precision,0.48762967025637743,0.40789473684210525,0.508955223880597,0.4247633283507723,0.6795118366325796,0.9511289364230541,495,329
IRAMDEYR,Episodio depresivo mayor,embeddings_atencion_balanceada,Embeddings + atención — Ponderación balanceada,Average Precision,0.4990145510100789,0.3803827751196172,0.5473321858864028,0.4050955414012739,0.6706578165556494,0.9609328579916815,518,263
IRSUICTHNK,Ideación suicida,multisalida_focal_adam,Red multisalida — Focal + Adam,"Recall, Average Precision, F2",0.2939410711232845,0.7211367673179396,0.20089064819396338,0.475076058974959,0.7452935799473352,0.7694503925767309,157,1615
IRSUICTHNK,Ideación suicida,multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,"Recall, F2",0.27371100838182544,0.6305506216696269,0.23022049286640725,0.46784396415392726,0.730550114546448,0.8305496074232691,208,1187
IRSUICTHNK,Ideación suicida,embeddings_mlp_balanceada,Embeddings + MLP — Ponderación balanceada,"Recall, F2",0.2561612195417621,0.4049733570159858,0.2743682310469314,0.3697697048329549,0.6594459932831536,0.9139186295503212,335,603
IRSUICTHNK,Ideación suicida,multisalida_bce_adamw,Red multisalida — BCE + AdamW,Average Precision,0.28459085795305156,0.26287744227353466,0.3583535108958838,0.2776735459662289,0.612523660465818,0.9621698786581013,415,265
IRSUICTHNK,Ideación suicida,multisalida_bce_adam,Red multisalida — BCE + Adam,Average Precision,0.2823654330686255,0.23090586145648312,0.38461538461538464,0.25096525096525096,0.6006063925412323,0.9703069236259815,433,208
IRSUICTHNK,Ideación suicida,multisalida_bce_adam_ema,Red multisalida — BCE + Adam + EMA,Average Precision,0.2823654330686255,0.23090586145648312,0.38461538461538464,0.25096525096525096,0.6006063925412323,0.9703069236259815,433,208
IRSUIPLANYR,Planificación suicida,multisalida_focal_adam,Red multisalida — Focal + Adam,Recall,0.15257162349288464,0.8620689655172413,0.07378258730939498,0.2748259435690729,0.8037015100780689,0.7453340546388963,24,1883
IRSUIPLANYR,Planificación suicida,multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,"Recall, F2",0.15344596328122237,0.6551724137931034,0.1016949152542373,0.31370390753990096,0.7594904535830542,0.8638084933730051,60,1007
IRSUIPLANYR,Planificación suicida,regularizada_balanceada,MLP regularizada — Ponderación balanceada,Recall,0.04948122900091085,0.43103448275862066,0.04810776138550353,0.1662971175166297,0.6151656049173141,0.7992967270760075,99,1484
IRSUIPLANYR,Planificación suicida,multisalida_bce_adam,Red multisalida — BCE + Adam,"Average Precision, F2",0.16108347079194785,0.3448275862068966,0.16483516483516483,0.2830188679245283,0.6518565845559774,0.9588855829050582,114,304
IRSUIPLANYR,Planificación suicida,multisalida_bce_adam_ema,Red multisalida — BCE + Adam + EMA,"Average Precision, F2",0.16108347079194785,0.3448275862068966,0.16483516483516483,0.2830188679245283,0.6518565845559774,0.9588855829050582,114,304
IRSUIPLANYR,Planificación suicida,embeddings_atencion_balanceada,Embeddings + atención — Ponderación balanceada,Average Precision,0.15962542853040448,0.05172413793103448,0.4090909090909091,0.06267409470752089,0.5249829778105267,0.998241817690019,165,13
IRSUITRYYR,Intento suicida,multisalida_focal_adam,Red multisalida — Focal + Adam,Recall,0.09528993783931439,0.8452380952380952,0.03898956617243273,0.1645804357904497,0.8057029599653864,0.7661678246926777,13,1750
IRSUITRYYR,Intento suicida,multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,"Recall, F2",0.1097706989911304,0.5952380952380952,0.08038585209003216,0.2609603340292276,0.7594041892545367,0.9235702832709781,34,572
IRSUITRYYR,Intento suicida,multisalida_bce_adam,Red multisalida — BCE + Adam,"Recall, Average Precision, F2",0.11528899290813004,0.39285714285714285,0.10509554140127389,0.25384615384615383,0.6776551882110406,0.9624532335649385,51,281
IRSUITRYYR,Intento suicida,multisalida_bce_adam_ema,Red multisalida — BCE + Adam + EMA,"Recall, Average Precision, F2",0.11528899290813004,0.39285714285714285,0.10509554140127389,0.25384615384615383,0.6776551882110406,0.9624532335649385,51,281
IRSUITRYYR,Intento suicida,regularizada_balanceada,MLP regularizada — Ponderación balanceada,Recall,0.03562377256950479,0.39285714285714285,0.02972972972972973,0.11410788381742738,0.6244750706268611,0.8560929983965794,51,1077
IRSUITRYYR,Intento suicida,embeddings_atencion_balanceada,Embeddings + atención — Ponderación balanceada,Average Precision,0.12106712370345729,0.03571428571428571,0.21428571428571427,0.04285714285714286,0.5171222417347484,0.9985301977552111,81,11
