posicion,columna_transformada,tipo
1,EDUSCKMON,Numérica procesada
2,EDUSCKCOM,Numérica procesada
3,EDUSKPMON,Numérica procesada
4,EDUSKPCOM,Numérica procesada
5,WRKDHRSWK2,Numérica procesada
6,WRKNJBWKS,Numérica procesada
7,WRKLASTYR2,Numérica procesada
8,WRKSICKMO,Numérica procesada
9,WRKSKIPMO,Numérica procesada
10,NRCH17_2,Numérica procesada
11,HLCNOTMO,Numérica procesada
12,IRWELMOS,Numérica procesada
13,CIGAVGM,Numérica procesada
14,ALCNUMDKPM,Numérica procesada
15,MRJAGLST,Numérica procesada
16,MRJYLU,Numérica procesada
17,CIGAGLST,Numérica procesada
18,CIGYLU,Numérica procesada
19,CIGDLLST,Numérica procesada
20,CIGDLYLU,Numérica procesada
21,SMKAGLAST,Numérica procesada
22,SMKYRLAST,Numérica procesada
23,CGRAGLST,Numérica procesada
24,CIGARYLU,Numérica procesada
25,ALCAGLST,Numérica procesada
26,ALCYLU,Numérica procesada
27,COCAGLST,Numérica procesada
28,COCYLU,Numérica procesada
29,CRKAGLST,Numérica procesada
30,CRKYLU,Numérica procesada
31,HERAGLST,Numérica procesada
32,HERYLU,Numérica procesada
33,HALLAGLST,Numérica procesada
34,HALLYRLST,Numérica procesada
35,LSDAGLST,Numérica procesada
36,LSDYLU,Numérica procesada
37,PCPAGLST,Numérica procesada
38,PCPYLU,Numérica procesada
39,ECSTMOAGL,Numérica procesada
40,ECSTMOYLU,Numérica procesada
41,INHLAGLST,Numérica procesada
42,INHLYRLST,Numérica procesada
43,METHAGLST,Numérica procesada
44,METHYRLST,Numérica procesada
45,HTINCHE2,Numérica procesada
46,WTPOUND2,Numérica procesada
47,NMERTMT2,Numérica procesada
48,NMNGTHS2,Numérica procesada
49,NMVSOPT2,Numérica procesada
50,HRTCONDAG,Numérica procesada
51,DIABETEAG,Numérica procesada
52,COPDAGE,Numérica procesada
53,CIRROSAGE,Numérica procesada
54,HEPBCAGE,Numérica procesada
55,KIDNYDSAG,Numérica procesada
56,ASTHMAAGE,Numérica procesada
57,HIVAIDSAG,Numérica procesada
58,HIGHBPAGE,Numérica procesada
59,BMI2,Numérica procesada
60,AGE3_5,One-Hot categórica
61,AGE3_6,One-Hot categórica
62,AGE3_7,One-Hot categórica
63,AGE3_8,One-Hot categórica
64,AGE3_9,One-Hot categórica
65,AGE3_10,One-Hot categórica
66,AGE3_11,One-Hot categórica
67,SERVICE_2,One-Hot categórica
68,SERVICE_85,One-Hot categórica
69,SERVICE_97,One-Hot categórica
70,SERVICE_98,One-Hot categórica
71,MILSTAT_3,One-Hot categórica
72,MILSTAT_85,One-Hot categórica
73,MILSTAT_97,One-Hot categórica
74,MILSTAT_98,One-Hot categórica
75,MILSTAT_99,One-Hot categórica
76,ACTDEVER_2,One-Hot categórica
77,ACTDEVER_85,One-Hot categórica
78,ACTDEVER_97,One-Hot categórica
79,ACTDEVER_98,One-Hot categórica
80,ACTDEVER_99,One-Hot categórica
81,ACTD2001_2,One-Hot categórica
82,ACTD2001_85,One-Hot categórica
83,ACTD2001_94,One-Hot categórica
84,ACTD2001_97,One-Hot categórica
85,ACTD2001_98,One-Hot categórica
86,ACTD2001_99,One-Hot categórica
87,ACTD9001_2,One-Hot categórica
88,ACTD9001_85,One-Hot categórica
89,ACTD9001_94,One-Hot categórica
90,ACTD9001_97,One-Hot categórica
91,ACTD9001_98,One-Hot categórica
92,ACTD9001_99,One-Hot categórica
93,ACTD7590_2,One-Hot categórica
94,ACTD7590_85,One-Hot categórica
95,ACTD7590_94,One-Hot categórica
96,ACTD7590_97,One-Hot categórica
97,ACTD7590_98,One-Hot categórica
98,ACTD7590_99,One-Hot categórica
99,ACTDVIET_2,One-Hot categórica
100,ACTDVIET_85,One-Hot categórica
101,ACTDVIET_94,One-Hot categórica
102,ACTDVIET_97,One-Hot categórica
103,ACTDVIET_98,One-Hot categórica
104,ACTDVIET_99,One-Hot categórica
105,ACTDPRIV_2,One-Hot categórica
106,ACTDPRIV_85,One-Hot categórica
107,ACTDPRIV_94,One-Hot categórica
108,ACTDPRIV_97,One-Hot categórica
109,ACTDPRIV_98,One-Hot categórica
110,ACTDPRIV_99,One-Hot categórica
111,COMBATPY_2,One-Hot categórica
112,COMBATPY_85,One-Hot categórica
113,COMBATPY_94,One-Hot categórica
114,COMBATPY_97,One-Hot categórica
115,COMBATPY_98,One-Hot categórica
116,COMBATPY_99,One-Hot categórica
117,NOMARR2_2,One-Hot categórica
118,NOMARR2_94,One-Hot categórica
119,NOMARR2_97,One-Hot categórica
120,NOMARR2_99,One-Hot categórica
121,HEALTH_2,One-Hot categórica
122,HEALTH_3,One-Hot categórica
123,HEALTH_4,One-Hot categórica
124,HEALTH_5,One-Hot categórica
125,HEALTH_94,One-Hot categórica
126,HEALTH_97,One-Hot categórica
127,MOVSINPYR2_1,One-Hot categórica
128,MOVSINPYR2_2,One-Hot categórica
129,MOVSINPYR2_3,One-Hot categórica
130,MOVSINPYR2_985,One-Hot categórica
131,MOVSINPYR2_994,One-Hot categórica
132,MOVSINPYR2_997,One-Hot categórica
133,MOVSINPYR2_998,One-Hot categórica
134,SPEAKENGL_2,One-Hot categórica
135,SPEAKENGL_3,One-Hot categórica
136,SPEAKENGL_4,One-Hot categórica
137,SPEAKENGL_85,One-Hot categórica
138,SPEAKENGL_94,One-Hot categórica
139,SPEAKENGL_97,One-Hot categórica
140,SPEAKENGL_98,One-Hot categórica
141,LVLDIFSEE2_2,One-Hot categórica
142,LVLDIFSEE2_3,One-Hot categórica
143,LVLDIFSEE2_85,One-Hot categórica
144,LVLDIFSEE2_94,One-Hot categórica
145,LVLDIFSEE2_97,One-Hot categórica
146,LVLDIFSEE2_98,One-Hot categórica
147,LVLDIFHEAR2_2,One-Hot categórica
148,LVLDIFHEAR2_3,One-Hot categórica
149,LVLDIFHEAR2_85,One-Hot categórica
150,LVLDIFHEAR2_94,One-Hot categórica
151,LVLDIFHEAR2_97,One-Hot categórica
152,LVLDIFHEAR2_98,One-Hot categórica
153,LVLDIFWALK2_2,One-Hot categórica
154,LVLDIFWALK2_3,One-Hot categórica
155,LVLDIFWALK2_85,One-Hot categórica
156,LVLDIFWALK2_94,One-Hot categórica
157,LVLDIFWALK2_97,One-Hot categórica
158,LVLDIFWALK2_98,One-Hot categórica
159,LVLDIFMEM2_2,One-Hot categórica
160,LVLDIFMEM2_3,One-Hot categórica
161,LVLDIFMEM2_85,One-Hot categórica
162,LVLDIFMEM2_94,One-Hot categórica
163,LVLDIFMEM2_97,One-Hot categórica
164,LVLDIFMEM2_98,One-Hot categórica
165,LVLDIFCARE2_2,One-Hot categórica
166,LVLDIFCARE2_3,One-Hot categórica
167,LVLDIFCARE2_85,One-Hot categórica
168,LVLDIFCARE2_94,One-Hot categórica
169,LVLDIFCARE2_97,One-Hot categórica
170,LVLDIFCARE2_98,One-Hot categórica
171,LVLDIFCOMM2_2,One-Hot categórica
172,LVLDIFCOMM2_3,One-Hot categórica
173,LVLDIFCOMM2_85,One-Hot categórica
174,LVLDIFCOMM2_94,One-Hot categórica
175,LVLDIFCOMM2_97,One-Hot categórica
176,LVLDIFCOMM2_98,One-Hot categórica
177,IRSEX_2,One-Hot categórica
178,IRMARIT_2,One-Hot categórica
179,IRMARIT_3,One-Hot categórica
180,IRMARIT_4,One-Hot categórica
181,IREDUHIGHST2_2,One-Hot categórica
182,IREDUHIGHST2_3,One-Hot categórica
183,IREDUHIGHST2_4,One-Hot categórica
184,IREDUHIGHST2_5,One-Hot categórica
185,IREDUHIGHST2_6,One-Hot categórica
186,IREDUHIGHST2_7,One-Hot categórica
187,IREDUHIGHST2_8,One-Hot categórica
188,IREDUHIGHST2_9,One-Hot categórica
189,IREDUHIGHST2_10,One-Hot categórica
190,IREDUHIGHST2_11,One-Hot categórica
191,CATAGE_3,One-Hot categórica
192,CATAGE_4,One-Hot categórica
193,CATAG2_3,One-Hot categórica
194,CATAG3_3,One-Hot categórica
