clave_modelo,modelo,clave_configuracion,batch_size,learning_rate,target,descripcion,epocas_ejecutadas,mejor_epoca,loss,pr_auc,roc_auc,recall,precision,f2,accuracy,false_negatives,false_positives,estrategia_pesos,pr_auc_base,roc_auc_base,recall_base,precision_base,f2_base,false_negatives_base,false_positives_base,delta_pr_auc,delta_roc_auc,delta_recall,delta_precision,delta_f2,delta_false_negatives,delta_false_positives
multisalida_focal_drop_menor,Focal + Adam — Dropout menor,focal_drop_menor,256,0.0005,IRAMDEYR,Episodio depresivo mayor,18,8,0.536865234375,0.49590209126472473,0.8900545835494995,0.8911483287811279,0.31028738617897034,0.6483899354934692,0.7691596150398254,91.0,1656.0,focal_drop_menor,0.49319586157798767,0.8915574550628662,0.8492823243141174,0.338256299495697,0.6522139310836792,126.0,1389.0,0.0027062296867370605,-0.0015028715133666992,0.0418660044670105,-0.027968913316726685,-0.003823995590209961,-35.0,267.0
multisalida_focal_drop_menor,Focal + Adam — Dropout menor,focal_drop_menor,256,0.0005,IRSUICTHNK,Ideación suicida,18,8,0.5562391877174377,0.2861383855342865,0.8131124377250671,0.7317939400672913,0.19171707332134247,0.4680754244327545,0.7505285143852234,151.0,1737.0,focal_drop_menor,0.2930675148963928,0.8201987147331238,0.721136748790741,0.2008906453847885,0.47507598996162415,157.0,1615.0,-0.006929129362106323,-0.007086277008056641,0.010657191276550293,-0.009173572063446045,-0.007000565528869629,-6.0,122.0
multisalida_focal_drop_menor,Focal + Adam — Dropout menor,focal_drop_menor,256,0.0005,IRSUIPLANYR,Planificación suicida,18,8,0.5246673822402954,0.1558137685060501,0.8510321974754333,0.8160919547080994,0.07001972198486328,0.2606460750102997,0.746564507484436,32.0,1886.0,focal_drop_menor,0.1504260152578354,0.8605257272720337,0.8620689511299133,0.07378258556127548,0.27482590079307556,24.0,1883.0,0.005387753248214722,-0.009493529796600342,-0.045976996421813965,-0.003762863576412201,-0.014179825782775879,8.0,3.0
multisalida_focal_drop_menor,Focal + Adam — Dropout menor,focal_drop_menor,256,0.0005,IRSUITRYYR,Intento suicida,18,8,0.5520174503326416,0.06956315040588379,0.8529775738716125,0.761904776096344,0.039384614676237106,0.16318202018737793,0.7910940647125244,20.0,1561.0,focal_drop_menor,0.09040940552949905,0.8713246583938599,0.8452380895614624,0.03898956626653671,0.16458041965961456,13.0,1750.0,-0.020846255123615265,-0.018347084522247314,-0.08333331346511841,0.0003950484097003937,-0.0013983994722366333,7.0,-189.0
multisalida_focal_drop_mayor,Focal + Adam — Dropout mayor,focal_drop_mayor,256,0.0005,IRAMDEYR,Episodio depresivo mayor,21,11,0.5350092053413391,0.4881429970264435,0.8859500885009766,0.8839712738990784,0.3047422766685486,0.6404923796653748,0.7644027471542358,97.0,1686.0,focal_drop_mayor,0.49319586157798767,0.8915574550628662,0.8492823243141174,0.338256299495697,0.6522139310836792,126.0,1389.0,-0.0050528645515441895,-0.0056073665618896484,0.03468894958496094,-0.03351402282714844,-0.011721551418304443,-29.0,297.0
multisalida_focal_drop_mayor,Focal + Adam — Dropout mayor,focal_drop_mayor,256,0.0005,IRSUICTHNK,Ideación suicida,21,11,0.6012992262840271,0.2862586975097656,0.8102425336837769,0.7531083226203918,0.17837610840797424,0.45798224210739136,0.7235729098320007,139.0,1953.0,focal_drop_mayor,0.2930675148963928,0.8201987147331238,0.721136748790741,0.2008906453847885,0.47507598996162415,157.0,1615.0,-0.006808817386627197,-0.009956181049346924,0.03197157382965088,-0.02251453697681427,-0.017093747854232788,-18.0,338.0
multisalida_focal_drop_mayor,Focal + Adam — Dropout mayor,focal_drop_mayor,256,0.0005,IRSUIPLANYR,Planificación suicida,21,11,0.5817503333091736,0.13192208111286163,0.8475989699363708,0.8103448152542114,0.06915154308080673,0.2577696144580841,0.7448467016220093,33.0,1898.0,focal_drop_mayor,0.1504260152578354,0.8605257272720337,0.8620689511299133,0.07378258556127548,0.27482590079307556,24.0,1883.0,-0.018503934144973755,-0.012926757335662842,-0.051724135875701904,-0.00463104248046875,-0.017056286334991455,9.0,15.0
multisalida_focal_drop_mayor,Focal + Adam — Dropout mayor,focal_drop_mayor,256,0.0005,IRSUITRYYR,Intento suicida,21,11,0.5993764996528625,0.08157482743263245,0.8532336950302124,0.8333333134651184,0.035246726125478745,0.1507321000099182,0.7449788451194763,14.0,1916.0,focal_drop_mayor,0.09040940552949905,0.8713246583938599,0.8452380895614624,0.03898956626653671,0.16458041965961456,13.0,1750.0,-0.008834578096866608,-0.01809096336364746,-0.011904776096343994,-0.003742840141057968,-0.01384831964969635,1.0,166.0
multisalida_focal_capas_compartidas,Focal + Adam — Capas compartidas 128 → 64,focal_capas_compartidas,256,0.0005,IRAMDEYR,Episodio depresivo mayor,16,6,0.49370473623275757,0.4908126890659332,0.8844419717788696,0.85047847032547,0.32947173714637756,0.6461286544799805,0.792283296585083,125.0,1447.0,focal_capas_compartidas,0.49319586157798767,0.8915574550628662,0.8492823243141174,0.338256299495697,0.6522139310836792,126.0,1389.0,-0.0023831725120544434,-0.007115483283996582,0.001196146011352539,-0.008784562349319458,-0.0060852766036987305,-1.0,58.0
multisalida_focal_capas_compartidas,Focal + Adam — Capas compartidas 128 → 64,focal_capas_compartidas,256,0.0005,IRSUICTHNK,Ideación suicida,16,6,0.5630413889884949,0.2818909287452698,0.8116449117660522,0.7264653444290161,0.1928335726261139,0.46764227747917175,0.753435492515564,154.0,1712.0,focal_capas_compartidas,0.2930675148963928,0.8201987147331238,0.721136748790741,0.2008906453847885,0.47507598996162415,157.0,1615.0,-0.011176586151123047,-0.008553802967071533,0.0053285956382751465,-0.008057072758674622,-0.007433712482452393,-3.0,97.0
