estrategia_pesos,target,descripcion,clase_real,registros,media,mediana,primer_cuartil,tercer_cuartil
focal_capas_compartidas,IRAMDEYR,Episodio depresivo mayor,Negativo,6732,0.36857212,0.33247778,0.2513336,0.47764003
focal_capas_compartidas,IRAMDEYR,Episodio depresivo mayor,Positivo,836,0.59345627,0.60131395,0.5417391,0.6732662
focal_capas_compartidas,IRSUICTHNK,Ideación suicida,Negativo,7005,0.4169091,0.38790238,0.32735133,0.4966905
focal_capas_compartidas,IRSUICTHNK,Ideación suicida,Positivo,563,0.5555538,0.5776837,0.49218184,0.6431152
focal_capas_compartidas,IRSUIPLANYR,Planificación suicida,Negativo,7394,0.36853492,0.3360095,0.22262558,0.5228944
focal_capas_compartidas,IRSUIPLANYR,Planificación suicida,Positivo,174,0.5770107,0.5866276,0.53933245,0.6320479
focal_capas_compartidas,IRSUITRYYR,Intento suicida,Negativo,7484,0.43397924,0.40610254,0.35569936,0.49416846
focal_capas_compartidas,IRSUITRYYR,Intento suicida,Positivo,84,0.6086112,0.60356605,0.5588602,0.66787994
focal_drop_mayor,IRAMDEYR,Episodio depresivo mayor,Negativo,6732,0.398318,0.36248097,0.28450724,0.5002397
focal_drop_mayor,IRAMDEYR,Episodio depresivo mayor,Positivo,836,0.6277444,0.6451323,0.6035987,0.6982788
focal_drop_mayor,IRSUICTHNK,Ideación suicida,Negativo,7005,0.44231123,0.4132014,0.36103362,0.51612526
focal_drop_mayor,IRSUICTHNK,Ideación suicida,Positivo,563,0.5721819,0.60875696,0.50214577,0.6463388
focal_drop_mayor,IRSUIPLANYR,Planificación suicida,Negativo,7394,0.42739335,0.40683562,0.3405474,0.50333303
focal_drop_mayor,IRSUIPLANYR,Planificación suicida,Positivo,174,0.598848,0.6112669,0.5579842,0.65930164
focal_drop_mayor,IRSUITRYYR,Intento suicida,Negativo,7484,0.44145247,0.39784825,0.36661977,0.5041851
focal_drop_mayor,IRSUITRYYR,Intento suicida,Positivo,84,0.5968489,0.63408905,0.5483494,0.6682147
focal_drop_menor,IRAMDEYR,Episodio depresivo mayor,Negativo,6732,0.40153906,0.3708336,0.29561722,0.49729204
focal_drop_menor,IRAMDEYR,Episodio depresivo mayor,Positivo,836,0.61425436,0.62039995,0.5918807,0.6709296
focal_drop_menor,IRSUICTHNK,Ideación suicida,Negativo,7005,0.41104072,0.38564774,0.3086247,0.49851644
focal_drop_menor,IRSUICTHNK,Ideación suicida,Positivo,563,0.5610141,0.59969354,0.48780972,0.6323477
focal_drop_menor,IRSUIPLANYR,Planificación suicida,Negativo,7394,0.39031997,0.3742782,0.2723055,0.5020771
focal_drop_menor,IRSUIPLANYR,Planificación suicida,Positivo,174,0.5843453,0.5907091,0.53026307,0.64734936
focal_drop_menor,IRSUITRYYR,Intento suicida,Negativo,7484,0.41357103,0.37426126,0.33987552,0.4642371
focal_drop_menor,IRSUITRYYR,Intento suicida,Positivo,84,0.5746022,0.591923,0.5093449,0.6518716
focal_ramas_32,IRAMDEYR,Episodio depresivo mayor,Negativo,6732,0.38072246,0.34030262,0.24673513,0.5226016
focal_ramas_32,IRAMDEYR,Episodio depresivo mayor,Positivo,836,0.6373466,0.6617327,0.61189705,0.69880843
focal_ramas_32,IRSUICTHNK,Ideación suicida,Negativo,7005,0.44267893,0.4317915,0.35126445,0.53157157
focal_ramas_32,IRSUICTHNK,Ideación suicida,Positivo,563,0.5919448,0.6086873,0.5291161,0.67638814
focal_ramas_32,IRSUIPLANYR,Planificación suicida,Negativo,7394,0.40963042,0.3886416,0.3027337,0.52550304
focal_ramas_32,IRSUIPLANYR,Planificación suicida,Positivo,174,0.6269218,0.6458236,0.5670762,0.7050153
focal_ramas_32,IRSUITRYYR,Intento suicida,Negativo,7484,0.41298097,0.40900645,0.3128556,0.49145392
focal_ramas_32,IRSUITRYYR,Intento suicida,Positivo,84,0.6223834,0.63521695,0.52110547,0.6962518
focal_sin_bn_ramas,IRAMDEYR,Episodio depresivo mayor,Negativo,6732,0.33589575,0.27631563,0.2354038,0.40797615
focal_sin_bn_ramas,IRAMDEYR,Episodio depresivo mayor,Positivo,836,0.5876111,0.61421233,0.5538307,0.67099625
focal_sin_bn_ramas,IRSUICTHNK,Ideación suicida,Negativo,7005,0.45252112,0.44570625,0.37073287,0.5338075
focal_sin_bn_ramas,IRSUICTHNK,Ideación suicida,Positivo,563,0.57803255,0.5899477,0.5348572,0.6433368
focal_sin_bn_ramas,IRSUIPLANYR,Planificación suicida,Negativo,7394,0.42734832,0.42824632,0.31629783,0.5343978
focal_sin_bn_ramas,IRSUIPLANYR,Planificación suicida,Positivo,174,0.6024271,0.61213446,0.57166564,0.6609137
focal_sin_bn_ramas,IRSUITRYYR,Intento suicida,Negativo,7484,0.44854364,0.4505127,0.35561472,0.5321124
focal_sin_bn_ramas,IRSUITRYYR,Intento suicida,Positivo,84,0.62293684,0.6397202,0.57336146,0.6850157
