clave_modelo,candidato,target,descripcion,umbral,recall,precision,f1,f2,balanced_accuracy,accuracy,specificity,youden,true_negatives,false_positives,false_negatives,true_positives
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.001,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.002,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.003,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.004,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.005,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.006,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.007,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.008,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.009,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.01,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.011,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.012,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.013,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.014,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.015,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.016,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.017,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.018,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.019,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.02,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.021,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.022,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.023,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.024,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.025,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.026,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.027,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.028,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.029,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.03,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.031,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.032,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.033,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.034,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.035,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.036,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.037,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.038,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.039,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.04,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.041,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.042,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.043,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.044,1.0,0.11046511627906977,0.19895287958115185,0.38306451612903225,0.5,0.11046511627906977,0.0,0.0,0,6732,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.045,1.0,0.11047971455001983,0.19897655599190767,0.38309962423242605,0.5000742721330956,0.11059725158562368,0.00014854426619132502,0.00014854426619126393,1,6731,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.046,1.0,0.11047971455001983,0.19897655599190767,0.38309962423242605,0.5000742721330956,0.11059725158562368,0.00014854426619132502,0.00014854426619126393,1,6731,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.047,1.0,0.11047971455001983,0.19897655599190767,0.38309962423242605,0.5000742721330956,0.11059725158562368,0.00014854426619132502,0.00014854426619126393,1,6731,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.048,1.0,0.11047971455001983,0.19897655599190767,0.38309962423242605,0.5000742721330956,0.11059725158562368,0.00014854426619132502,0.00014854426619126393,1,6731,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.049,1.0,0.11049431667988369,0.19900023803856223,0.38313473877176907,0.5001485442661914,0.1107293868921776,0.00029708853238265005,0.0002970885323827499,2,6730,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.05,1.0,0.11049431667988369,0.19900023803856223,0.38313473877176907,0.5001485442661914,0.1107293868921776,0.00029708853238265005,0.0002970885323827499,2,6730,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.051,1.0,0.11049431667988369,0.19900023803856223,0.38313473877176907,0.5001485442661914,0.1107293868921776,0.00029708853238265005,0.0002970885323827499,2,6730,0,836
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.052,1.0,0.11049431667988369,0.19900023803856223,0.38313473877176907,0.5001485442661914,0.1107293868921776,0.00029708853238265005,0.0002970885323827499,2,6730,0,836
