clave_modelo,candidato,target,descripcion,criterio,umbral,recall,precision,f1,f2,balanced_accuracy,accuracy,specificity,youden,true_negatives,false_positives,false_negatives,true_positives,average_precision,roc_auc
ensemble_atencion_50,Ensemble — ramas 32 + atención (50/50),IRAMDEYR,Episodio depresivo mayor,Restricción preventiva,0.271,0.9174641148325359,0.2915241353097682,0.4424574560138449,0.6418410041841005,0.820288801325953,0.7445824524312896,0.7231134878193701,0.6405776026519061,4868,1864,69,767,0.5026468065673436,0.8942055653637415
ensemble_atencion_50,Ensemble — ramas 32 + atención (50/50),IRSUICTHNK,Ideación suicida,Restricción preventiva,0.303,0.8010657193605684,0.1864406779661017,0.3024815560026828,0.4827660029972168,0.7600617676031964,0.7251585623678647,0.7190578158458244,0.5201235352063929,5037,1968,112,451,0.2888314390622045,0.815466242711689
ensemble_atencion_50,Ensemble — ramas 32 + atención (50/50),IRSUIPLANYR,Planificación suicida,Restricción preventiva,0.257,0.8793103448275862,0.06532877882152006,0.12162162162162161,0.2518104015799868,0.7916297463926949,0.7079809725158562,0.7039491479578036,0.5832594927853898,5205,2189,21,153,0.1751171587987967,0.8595545005425336
ensemble_atencion_50,Ensemble — ramas 32 + atención (50/50),IRSUITRYYR,Intento suicida,Restricción preventiva,0.258,0.8690476190476191,0.039502164502164504,0.07556935817805384,0.16712454212454214,0.8159374920465247,0.7640063424947146,0.7628273650454303,0.6318749840930493,5709,1775,11,73,0.12056791571213776,0.8808139904812808
ensemble_bce_50,Ensemble — ramas 32 + BCE por tarea (50/50),IRAMDEYR,Episodio depresivo mayor,Restricción preventiva,0.367,0.9126794258373205,0.26511466296038916,0.41087775982767905,0.6131468981035036,0.799254151421334,0.7108879492600423,0.6858288770053476,0.5985083028426681,4617,2115,73,763,0.4600100230393602,0.8807056279086958
ensemble_bce_50,Ensemble — ramas 32 + BCE por tarea (50/50),IRSUICTHNK,Ideación suicida,Restricción preventiva,0.395,0.7975133214920072,0.1682278006744099,0.27784653465346537,0.45620808778703514,0.7402984166346546,0.6915961945031712,0.683083511777302,0.48059683326930913,4785,2220,114,449,0.2880102854038651,0.8136872545999241
ensemble_bce_50,Ensemble — ramas 32 + BCE por tarea (50/50),IRSUIPLANYR,Planificación suicida,Restricción preventiva,0.368,0.8735632183908046,0.06825325550067356,0.12661391087047066,0.26000684228532334,0.7964651363796058,0.7229122621564482,0.7193670543684069,0.5929302727592116,5319,2075,22,152,0.17428710829137958,0.8601747611452591
ensemble_bce_50,Ensemble — ramas 32 + BCE por tarea (50/50),IRSUITRYYR,Intento suicida,Restricción preventiva,0.34,0.8690476190476191,0.038441284886782515,0.07362581946545636,0.16331096196868009,0.8125302232063323,0.7572674418604651,0.7560128273650454,0.6250604464126646,5658,1826,11,73,0.10963270406189407,0.8856210709831768
ensemble_diverso_50,Ensemble — ramas 32 + BCE por tarea + atención (50/25/25),IRAMDEYR,Episodio depresivo mayor,Restricción preventiva,0.331,0.9126794258373205,0.2843831531867313,0.43364592213697073,0.6329849012775842,0.8137372173749883,0.7366543340380549,0.714795008912656,0.6274744347499766,4812,1920,73,763,0.4997607400578688,0.8914255132239934
ensemble_diverso_50,Ensemble — ramas 32 + BCE por tarea + atención (50/25/25),IRSUICTHNK,Ideación suicida,Restricción preventiva,0.355,0.7957371225577264,0.17658651951123375,0.28903225806451616,0.46773856755063686,0.7487607811218325,0.7087737843551797,0.7017844396859386,0.49752156224366506,4916,2089,115,448,0.29470428910998697,0.8179331434157029
ensemble_diverso_50,Ensemble — ramas 32 + BCE por tarea + atención (50/25/25),IRSUIPLANYR,Planificación suicida,Restricción preventiva,0.319,0.8793103448275862,0.06999085086916743,0.12966101694915252,0.265440666204025,0.8021788402525813,0.7285940803382663,0.7250473356775764,0.6043576805051627,5361,2033,21,153,0.17825358840636446,0.8614269413845957
ensemble_diverso_50,Ensemble — ramas 32 + BCE por tarea + atención (50/25/25),IRSUITRYYR,Intento suicida,Restricción preventiva,0.3,0.8690476190476191,0.03912111468381565,0.07487179487179488,0.16575840145322435,0.8147349265735155,0.7616279069767442,0.7604222340994121,0.6294698531470311,5691,1793,11,73,0.11792228603404244,0.8867329668371892
ensemble_diverso_70,Ensemble — ramas 32 + BCE por tarea + atención (70/15/15),IRAMDEYR,Episodio depresivo mayor,Restricción preventiva,0.402,0.9150717703349283,0.2929911911145155,0.443864229765013,0.6423173803526449,0.8204295274728711,0.7466966173361522,0.725787284610814,0.6408590549457422,4886,1846,71,765,0.4981918437547445,0.8928640471702673
ensemble_diverso_70,Ensemble — ramas 32 + BCE por tarea + atención (70/15/15),IRSUICTHNK,Ideación suicida,Restricción preventiva,0.408,0.7992895204262878,0.17045454545454544,0.28098657508585695,0.45993458708094853,0.7433278437249211,0.6956923890063424,0.6873661670235546,0.4866556874498422,4815,2190,113,450,0.29637777317698333,0.8180325395587774
ensemble_diverso_70,Ensemble — ramas 32 + BCE por tarea + atención (70/15/15),IRSUIPLANYR,Planificación suicida,Restricción preventiva,0.392,0.8735632183908046,0.0681308830121022,0.1264033264033264,0.2596515203279809,0.7961946467934549,0.7223837209302325,0.718826075196105,0.5923892935869097,5315,2079,22,152,0.17482800921622924,0.8616539039109063
ensemble_diverso_70,Ensemble — ramas 32 + BCE por tarea + atención (70/15/15),IRSUITRYYR,Intento suicida,Restricción preventiva,0.38,0.8690476190476191,0.039760348583877995,0.07604166666666666,0.16804788213627994,0.816739202361864,0.7655919661733616,0.764430785676109,0.6334784047237281,5721,1763,11,73,0.11361759169737055,0.8852822529332417
ensemble_focal_50,Ensemble — ramas 32 + sin BatchNormalization (50/50),IRAMDEYR,Episodio depresivo mayor,Restricción preventiva,0.435,0.9126794258373205,0.28923426838514027,0.43926309729418533,0.6377465730524908,0.817079463364293,0.742600422832981,0.7214795008912656,0.6341589267285861,4857,1875,73,763,0.4953563743503204,0.8934287286032291
ensemble_focal_50,Ensemble — ramas 32 + sin BatchNormalization (50/50),IRSUICTHNK,Ideación suicida,Restricción preventiva,0.509,0.7957371225577264,0.1815970814754763,0.2957095709570957,0.4746768383132019,0.7537572122424607,0.7180232558139535,0.7117773019271949,0.5075144244849215,4986,2019,115,448,0.2927958911366425,0.8192042476637468
ensemble_focal_50,Ensemble — ramas 32 + sin BatchNormalization (50/50),IRSUIPLANYR,Planificación suicida,Restricción preventiva,0.536,0.8735632183908046,0.08046585494970884,0.14735821619001455,0.29400386847195353,0.8193215064093595,0.7675739957716702,0.7650797944279145,0.638643012818719,5657,1737,22,152,0.1664138203348798,0.8638698976181372
ensemble_focal_50,Ensemble — ramas 32 + sin BatchNormalization (50/50),IRSUITRYYR,Intento suicida,Restricción preventiva,0.502,0.9047619047619048,0.037109375,0.07129455909943715,0.15939597315436244,0.8206332238935126,0.7383720930232558,0.7365045430251203,0.6412664477870251,5512,1972,8,76,0.1048973113974543,0.8820849558423048
ensemble_focal_70,Ensemble — ramas 32 + sin BatchNormalization (70/30),IRAMDEYR,Episodio depresivo mayor,Restricción preventiva,0.465,0.9126794258373205,0.293574451712197,0.44425036390101885,0.6419316843345111,0.8199760765550239,0.7477536997885835,0.7272727272727273,0.6399521531100478,4896,1836,73,763,0.4918022325211909,0.8930465291814855
ensemble_focal_70,Ensemble — ramas 32 + sin BatchNormalization (70/30),IRSUICTHNK,Ideación suicida,Restricción preventiva,0.506,0.7957371225577264,0.1794871794871795,0.2929061784897025,0.4717775905644482,0.7516872622067718,0.7141913319238901,0.7076374018558172,0.5033745244135437,4957,2048,115,448,0.29148498259249817,0.8183215997707803
ensemble_focal_70,Ensemble — ramas 32 + sin BatchNormalization (70/30),IRSUIPLANYR,Planificación suicida,Restricción preventiva,0.513,0.8850574712643678,0.07206364061768834,0.13327563825183905,0.2717966819625838,0.8084335232978588,0.7353329809725159,0.7318095753313497,0.6168670465957176,5411,1983,20,154,0.16871629407840566,0.8618070258892734
ensemble_focal_70,Ensemble — ramas 32 + sin BatchNormalization (70/30),IRSUITRYYR,Intento suicida,Restricción preventiva,0.504,0.8690476190476191,0.038767923526287836,0.07422470767666496,0.16448850833708878,0.8135991702934514,0.7593816067653277,0.7581507215392838,0.6271983405869028,5674,1810,11,73,0.1016998622228901,0.8807630882390369
