clave_modelo,target,descripcion,umbral,average_precision,roc_auc,recall,precision,f1,f2,balanced_accuracy,specificity,accuracy,true_negatives,false_positives,false_negatives,true_positives
sens_amplio,IRAMDEYR,Episodio depresivo mayor,0.435,0.4953563743503204,0.8934287286032291,0.9126794258373205,0.28923426838514027,0.4392630972941854,0.6377465730524908,0.817079463364293,0.7214795008912656,0.742600422832981,4857,1875,73,763
sens_amplio,IRSUICTHNK,Ideación suicida,0.509,0.2927958911366425,0.8192042476637468,0.7957371225577264,0.1815970814754763,0.2957095709570957,0.47467683831320195,0.7537572122424607,0.7117773019271949,0.7180232558139535,4986,2019,115,448
sens_amplio,IRSUIPLANYR,Planificación suicida,0.536,0.1664138203348798,0.8638698976181372,0.8735632183908046,0.08046585494970884,0.14735821619001455,0.2940038684719536,0.8193215064093595,0.7650797944279145,0.7675739957716702,5657,1737,22,152
sens_amplio,IRSUITRYYR,Intento suicida,0.502,0.1048973113974543,0.8820849558423048,0.9047619047619048,0.037109375,0.07129455909943715,0.1593959731543624,0.8206332238935126,0.7365045430251203,0.7383720930232558,5512,1972,8,76
sens_reducido,IRAMDEYR,Episodio depresivo mayor,0.435,0.5114488938642664,0.8955647631678451,0.9342105263157895,0.27744227353463585,0.42782799233086827,0.6340314986199058,0.8160357444413172,0.6978609625668449,0.7239693446088795,4698,2034,55,781
sens_reducido,IRSUICTHNK,Ideación suicida,0.509,0.28061728837583,0.7974438456164907,0.7193605683836589,0.18715341959334567,0.297029702970297,0.4585597826086957,0.7341271078891884,0.7488936473947181,0.7466966173361522,5246,1759,158,405
sens_reducido,IRSUIPLANYR,Planificación suicida,0.536,0.14160345961206555,0.833005325846679,0.7241379310344828,0.08405603735823883,0.1506276150627615,0.2870159453302961,0.7692234150709336,0.8143088991073844,0.8122357293868921,6021,1373,48,126
sens_reducido,IRSUITRYYR,Intento suicida,0.502,0.08503423106123835,0.8507800768623858,0.8095238095238095,0.04091456077015644,0.07789232531500573,0.17017017017017017,0.7982680512076556,0.7870122928915019,0.787262156448203,5890,1594,16,68
umbral_075,IRAMDEYR,Episodio depresivo mayor,0.435,0.5095133278255969,0.8961048352935491,0.9330143540669856,0.27896995708154504,0.42951541850220265,0.6351791530944625,0.8167745567126372,0.7005347593582888,0.726215644820296,4716,2016,56,780
umbral_075,IRSUICTHNK,Ideación suicida,0.509,0.28996451957384384,0.8191703971915519,0.7371225577264654,0.19971126082771895,0.31427489587277546,0.4792147806004619,0.749860350954596,0.7625981441827266,0.7607029598308668,5342,1663,148,415
umbral_075,IRSUIPLANYR,Planificación suicida,0.536,0.16018310263176022,0.8635924126116545,0.7528735632183908,0.08869329722410291,0.15869170199878863,0.3014265991716521,0.7854170358694064,0.817960508520422,0.8164640591966174,6048,1346,43,131
umbral_075,IRSUITRYYR,Intento suicida,0.502,0.10661001074909748,0.8773653635692652,0.8214285714285714,0.041666666666666664,0.07931034482758621,0.17319277108433734,0.8046880965106513,0.7879476215927311,0.7883192389006343,5897,1587,15,69
umbral_080,IRAMDEYR,Episodio depresivo mayor,0.435,0.505884485772887,0.8943710785024463,0.9413875598086124,0.26896787423103213,0.41839447102605,0.6275917065390749,0.8118256872126841,0.6822638146167558,0.7108879492600423,4593,2139,49,787
umbral_080,IRSUICTHNK,Ideación suicida,0.509,0.2961567011009345,0.8161447735251274,0.7158081705150977,0.19544131910766246,0.30704761904761907,0.4670839128419101,0.7394886676986623,0.763169164882227,0.7596458773784355,5346,1659,160,403
umbral_080,IRSUIPLANYR,Planificación suicida,0.536,0.15755118010120606,0.8581608573587158,0.7298850574712644,0.08770718232044199,0.15659679408138102,0.29617537313432835,0.7756133429092865,0.8213416283473086,0.8192389006342494,6073,1321,47,127
umbral_080,IRSUITRYYR,Intento suicida,0.502,0.09769581430610584,0.8694389300348682,0.7976190476190477,0.04387688277668631,0.08317815021725636,0.17981749865807836,0.801268102109898,0.8049171566007483,0.8048361522198731,6024,1460,17,67
umbral_085,IRAMDEYR,Episodio depresivo mayor,0.435,0.5117553776479488,0.8961991857784145,0.937799043062201,0.27099896301417215,0.42048806650576565,0.6285072951739619,0.8122595928323483,0.6867201426024956,0.7144556025369979,4623,2109,52,784
umbral_085,IRSUICTHNK,Ideación suicida,0.509,0.29069291212931864,0.8162847395225183,0.7442273534635879,0.18466284706919348,0.2959039548022599,0.46339305463393055,0.7400651399723364,0.7359029264810849,0.736522198731501,5155,1850,144,419
umbral_085,IRSUIPLANYR,Planificación suicida,0.536,0.15298203844558453,0.8556926398850886,0.7816091954022989,0.07893209518282066,0.143384290985767,0.28110789582472095,0.7834878543957666,0.7853665133892345,0.7852801268498943,5807,1587,38,136
umbral_085,IRSUITRYYR,Intento suicida,0.502,0.10545460890986665,0.8770305222570054,0.8690476190476191,0.03743589743589744,0.07177974434611603,0.15966754155730534,0.8091229543661398,0.7491982896846606,0.7505285412262156,5607,1877,11,73
