estrategia_pesos,batch_size,learning_rate,target,descripcion,estado,epocas,mejor_epoca,checkpoint,historial,clave_configuracion
sin_ponderar,128,0.001,IRAMDEYR,Episodio depresivo mayor,RECUPERADO,48,38,checkpoint_mlp_referencia_b128_lr001_iramdeyr_v1.keras,27_historial_mlp_referencia_b128_lr001_iramdeyr_v1.csv,b128_lr001
sin_ponderar,128,0.001,IRSUICTHNK,Ideación suicida,RECUPERADO,47,37,checkpoint_mlp_referencia_b128_lr001_irsuicthnk_v1.keras,27_historial_mlp_referencia_b128_lr001_irsuicthnk_v1.csv,b128_lr001
sin_ponderar,128,0.001,IRSUIPLANYR,Planificación suicida,RECUPERADO,36,26,checkpoint_mlp_referencia_b128_lr001_irsuiplanyr_v1.keras,27_historial_mlp_referencia_b128_lr001_irsuiplanyr_v1.csv,b128_lr001
sin_ponderar,128,0.001,IRSUITRYYR,Intento suicida,RECUPERADO,60,50,checkpoint_mlp_referencia_b128_lr001_irsuitryyr_v1.keras,27_historial_mlp_referencia_b128_lr001_irsuitryyr_v1.csv,b128_lr001
sin_ponderar,256,0.001,IRAMDEYR,Episodio depresivo mayor,REUTILIZADO,76,66,checkpoint_mlp_referencia_iramdeyr_v1.keras,20_historial_mlp_referencia_iramdeyr_v1.csv,b256_lr001
sin_ponderar,256,0.001,IRSUICTHNK,Ideación suicida,REUTILIZADO,66,56,checkpoint_mlp_referencia_irsuicthnk_v1.keras,20_historial_mlp_referencia_irsuicthnk_v1.csv,b256_lr001
sin_ponderar,256,0.001,IRSUIPLANYR,Planificación suicida,REUTILIZADO,43,33,checkpoint_mlp_referencia_irsuiplanyr_v1.keras,20_historial_mlp_referencia_irsuiplanyr_v1.csv,b256_lr001
sin_ponderar,256,0.001,IRSUITRYYR,Intento suicida,REUTILIZADO,44,34,checkpoint_mlp_referencia_irsuitryyr_v1.keras,20_historial_mlp_referencia_irsuitryyr_v1.csv,b256_lr001
sin_ponderar,512,0.001,IRAMDEYR,Episodio depresivo mayor,RECUPERADO,95,85,checkpoint_mlp_referencia_b512_lr001_iramdeyr_v1.keras,27_historial_mlp_referencia_b512_lr001_iramdeyr_v1.csv,b512_lr001
sin_ponderar,512,0.001,IRSUICTHNK,Ideación suicida,RECUPERADO,53,43,checkpoint_mlp_referencia_b512_lr001_irsuicthnk_v1.keras,27_historial_mlp_referencia_b512_lr001_irsuicthnk_v1.csv,b512_lr001
sin_ponderar,512,0.001,IRSUIPLANYR,Planificación suicida,RECUPERADO,88,78,checkpoint_mlp_referencia_b512_lr001_irsuiplanyr_v1.keras,27_historial_mlp_referencia_b512_lr001_irsuiplanyr_v1.csv,b512_lr001
sin_ponderar,512,0.001,IRSUITRYYR,Intento suicida,RECUPERADO,58,48,checkpoint_mlp_referencia_b512_lr001_irsuitryyr_v1.keras,27_historial_mlp_referencia_b512_lr001_irsuitryyr_v1.csv,b512_lr001
sin_ponderar,256,0.0005,IRAMDEYR,Episodio depresivo mayor,RECUPERADO,70,60,checkpoint_mlp_referencia_b256_lr0005_iramdeyr_v1.keras,27_historial_mlp_referencia_b256_lr0005_iramdeyr_v1.csv,b256_lr0005
sin_ponderar,256,0.0005,IRSUICTHNK,Ideación suicida,RECUPERADO,28,18,checkpoint_mlp_referencia_b256_lr0005_irsuicthnk_v1.keras,27_historial_mlp_referencia_b256_lr0005_irsuicthnk_v1.csv,b256_lr0005
sin_ponderar,256,0.0005,IRSUIPLANYR,Planificación suicida,RECUPERADO,85,75,checkpoint_mlp_referencia_b256_lr0005_irsuiplanyr_v1.keras,27_historial_mlp_referencia_b256_lr0005_irsuiplanyr_v1.csv,b256_lr0005
sin_ponderar,256,0.0005,IRSUITRYYR,Intento suicida,RECUPERADO,100,95,checkpoint_mlp_referencia_b256_lr0005_irsuitryyr_v1.keras,27_historial_mlp_referencia_b256_lr0005_irsuitryyr_v1.csv,b256_lr0005
